project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
ant-ivy,154,77,295,226,2005-09-21 16:56:02+00:00,2005-12-26 11:09:35+00:00,2005-12-26 16:44:23+00:00,2006-01-27 07:53:09+00:00,jit,label_adhoc,True,True,jit,0.7651331719128329,0.681800692574067,0.6684350132625995,0.6639412594587661,61.611111111111114,86.72307692307692,38.729166666666664,113.13207547169812
ant-ivy,154,77,295,226,2005-09-21 16:56:02+00:00,2005-12-26 11:09:35+00:00,2005-12-26 16:44:23+00:00,2006-01-27 07:53:09+00:00,static,label_adhoc,True,True,static,0.8281938325991189,0.7515069898678979,0.6647887323943662,0.7783442349621649,52.666666666666664,82.15116279069767,48.69230769230769,108.63265306122449
ant-ivy,154,77,295,226,2005-09-21 16:56:02+00:00,2005-12-26 11:09:35+00:00,2005-12-26 16:44:23+00:00,2006-01-27 07:53:09+00:00,pmd,label_adhoc,True,True,pmd,0.8225108225108225,0.5830126971912274,0.574712643678161,0.6465307169424138,51.26923076923077,86.96,73.87037037037037,82.25531914893617
ant-ivy,154,77,295,226,2005-09-21 16:56:02+00:00,2005-12-26 11:09:35+00:00,2005-12-26 16:44:23+00:00,2006-01-27 07:53:09+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.841648590021692,0.7699115044247787,0.6979166666666667,0.7219443375657303,47.42857142857143,82.65517241379311,49.16326530612245,104.73076923076923
ant-ivy,182,91,295,40,2005-09-21 16:56:02+00:00,2005-12-26 11:09:35+00:00,2005-12-26 16:44:23+00:00,2006-01-27 07:53:09+00:00,jit,label_bug,True,True,jit,0.21818181818181814,0.668921568627451,0.348993288590604,0.6979411764705883,243.0,323.5,175.64285714285714,317.4117647058824
ant-ivy,182,91,295,40,2005-09-21 16:56:02+00:00,2005-12-26 11:09:35+00:00,2005-12-26 16:44:23+00:00,2006-01-27 07:53:09+00:00,static,label_bug,True,True,static,0.36111111111111116,0.7695588235294117,0.31788079470198677,0.6972549019607843,270.95652173913044,202.875,267.61538461538464,243.11111111111111
ant-ivy,182,91,295,40,2005-09-21 16:56:02+00:00,2005-12-26 11:09:35+00:00,2005-12-26 16:44:23+00:00,2006-01-27 07:53:09+00:00,pmd,label_bug,True,True,pmd,0.3829787234042553,0.7776960784313727,0.30985915492957744,0.7219607843137255,309.7142857142857,135.1,298.8,210.8125
ant-ivy,182,91,295,40,2005-09-21 16:56:02+00:00,2005-12-26 11:09:35+00:00,2005-12-26 16:44:23+00:00,2006-01-27 07:53:09+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.29850746268656714,0.7830392156862745,0.34615384615384615,0.747549019607843,273.60869565217394,195.25,204.15384615384616,288.94444444444446
ant-ivy,404,202,104,81,2006-01-30 17:57:44+00:00,2006-05-02 06:51:02+00:00,2006-05-02 13:05:40+00:00,2006-06-07 17:32:38+00:00,jit,label_adhoc,True,True,jit,0.87248322147651,0.8529253891572732,0.6612903225806452,0.7938808373590982,182.83333333333334,74.52777777777777,87.47058823529412,91.72
ant-ivy,404,202,104,81,2006-01-30 17:57:44+00:00,2006-05-02 06:51:02+00:00,2006-05-02 13:05:40+00:00,2006-06-07 17:32:38+00:00,static,label_adhoc,True,True,static,0.8590604026845637,0.8596349973161568,0.7659574468085106,0.7987117552334944,162.25,73.0,93.29411764705883,87.76
ant-ivy,404,202,104,81,2006-01-30 17:57:44+00:00,2006-05-02 06:51:02+00:00,2006-05-02 13:05:40+00:00,2006-06-07 17:32:38+00:00,pmd,label_adhoc,True,True,pmd,0.7619047619047619,0.6223832528180354,0.6511627906976744,0.6747181964573269,131.0,75.45161290322581,94.89473684210526,85.95652173913044
ant-ivy,404,202,104,81,2006-01-30 17:57:44+00:00,2006-05-02 06:51:02+00:00,2006-05-02 13:05:40+00:00,2006-06-07 17:32:38+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.8413793103448276,0.8749329039184112,0.753623188405797,0.789049919484702,136.5,75.46875,98.23529411764706,84.4
ant-ivy,530,265,104,5,2006-01-30 17:57:44+00:00,2006-05-02 06:51:02+00:00,2006-05-02 13:05:40+00:00,2006-06-07 17:32:38+00:00,jit,label_bug,True,True,jit,0.0,0.5595959595959596,0.039999999999999994,0.4181818181818182,502.1666666666667,inf,241.33333333333334,inf
ant-ivy,530,265,104,5,2006-01-30 17:57:44+00:00,2006-05-02 06:51:02+00:00,2006-05-02 13:05:40+00:00,2006-06-07 17:32:38+00:00,static,label_bug,True,True,static,0.22222222222222224,0.6313131313131314,0.125,0.7171717171717171,792.25,305.5,1043.0,423.5
ant-ivy,530,265,104,5,2006-01-30 17:57:44+00:00,2006-05-02 06:51:02+00:00,2006-05-02 13:05:40+00:00,2006-06-07 17:32:38+00:00,pmd,label_bug,True,True,pmd,0.25,0.593939393939394,0.08333333333333333,0.6262626262626263,844.0,202.0,767.0,493.0
ant-ivy,530,265,104,5,2006-01-30 17:57:44+00:00,2006-05-02 06:51:02+00:00,2006-05-02 13:05:40+00:00,2006-06-07 17:32:38+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.25,0.6090909090909091,0.0851063829787234,0.6686868686868688,836.5,217.0,700.0,560.0
ant-ivy,702,351,73,55,2006-06-07 17:46:52+00:00,2006-09-08 02:17:31+00:00,2006-09-10 14:25:43+00:00,2006-10-11 15:49:29+00:00,jit,label_adhoc,True,True,jit,0.8703703703703703,0.8459595959595959,0.7692307692307692,0.8434343434343434,82.5,75.58823529411765,63.5,85.15384615384616
ant-ivy,702,351,73,55,2006-06-07 17:46:52+00:00,2006-09-08 02:17:31+00:00,2006-09-10 14:25:43+00:00,2006-10-11 15:49:29+00:00,static,label_adhoc,True,True,static,0.8727272727272727,0.8196969696969697,0.6956521739130435,0.7242424242424241,80.6,75.75,120.5,59.46666666666667
ant-ivy,702,351,73,55,2006-06-07 17:46:52+00:00,2006-09-08 02:17:31+00:00,2006-09-10 14:25:43+00:00,2006-10-11 15:49:29+00:00,pmd,label_adhoc,True,True,pmd,0.8288288288288289,0.6898989898989899,0.6808510638297872,0.6454545454545454,100.25,71.41176470588235,58.8,93.36363636363636
ant-ivy,702,351,73,55,2006-06-07 17:46:52+00:00,2006-09-08 02:17:31+00:00,2006-09-10 14:25:43+00:00,2006-10-11 15:49:29+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.8648648648648648,0.8101010101010101,0.7578947368421052,0.7969696969696969,95.8,71.0,105.0,68.125
ant-ivy,926,463,73,3,2006-06-07 17:46:52+00:00,2006-09-08 02:17:31+00:00,2006-09-10 14:25:43+00:00,2006-10-11 15:49:29+00:00,jit,label_bug,True,True,jit,0.0,0.31190476190476185,0.0606060606060606,0.36666666666666664,413.0,inf,330.0,955.0
