project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
archiva,566,283,115,22,2006-02-28 02:01:37+00:00,2006-06-15 10:25:38+00:00,2006-06-15 10:50:19+00:00,2006-07-22 14:19:12+00:00,jit,label_adhoc,True,True,jit,0.4888888888888889,0.7553763440860215,0.425,0.7751710654936461,502.3333333333333,349.5,471.75,448.0
archiva,566,283,115,22,2006-02-28 02:01:37+00:00,2006-06-15 10:25:38+00:00,2006-06-15 10:50:19+00:00,2006-07-22 14:19:12+00:00,static,label_adhoc,True,True,static,0.4888888888888889,0.823802541544477,0.45070422535211263,0.7473118279569892,591.3333333333334,338.7142857142857,364.1666666666667,533.4285714285714
archiva,566,283,115,22,2006-02-28 02:01:37+00:00,2006-06-15 10:25:38+00:00,2006-06-15 10:50:19+00:00,2006-07-22 14:19:12+00:00,pmd,label_adhoc,True,True,pmd,0.1904761904761905,0.5403225806451613,0.3448275862068966,0.5625610948191593,431.0,747.0,430.8,470.625
archiva,566,283,115,22,2006-02-28 02:01:37+00:00,2006-06-15 10:25:38+00:00,2006-06-15 10:50:19+00:00,2006-07-22 14:19:12+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6274509803921569,0.8597262952101661,0.48,0.7541544477028348,527.3333333333334,393.57142857142856,593.5,393.8888888888889
archiva,636,318,115,7,2006-02-28 02:01:37+00:00,2006-06-15 10:25:38+00:00,2006-06-15 10:50:19+00:00,2006-07-22 14:19:12+00:00,jit,label_bug,True,True,jit,0.08695652173913043,0.4212962962962963,0.06153846153846154,0.3743386243386243,1045.75,868.0,519.75,1920.0
archiva,636,318,115,7,2006-02-28 02:01:37+00:00,2006-06-15 10:25:38+00:00,2006-06-15 10:50:19+00:00,2006-07-22 14:19:12+00:00,static,label_bug,True,True,static,0.0,0.6792328042328042,0.14814814814814814,0.7751322751322752,877.8333333333334,inf,1004.3333333333334,968.6666666666666
archiva,636,318,115,7,2006-02-28 02:01:37+00:00,2006-06-15 10:25:38+00:00,2006-06-15 10:50:19+00:00,2006-07-22 14:19:12+00:00,pmd,label_bug,True,True,pmd,0.0,0.3353174603174603,0.10810810810810811,0.4894179894179894,934.1666666666666,inf,637.0,1336.0
archiva,636,318,115,7,2006-02-28 02:01:37+00:00,2006-06-15 10:25:38+00:00,2006-06-15 10:50:19+00:00,2006-07-22 14:19:12+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.2222222222222222,0.6078042328042328,0.13559322033898308,0.5687830687830688,1284.5,390.5,933.0,1040.0
archiva,2022,1011,116,19,2006-07-22 14:48:16+00:00,2006-10-25 03:18:54+00:00,2006-10-25 06:17:38+00:00,2006-11-30 03:32:08+00:00,jit,label_adhoc,True,True,jit,0.2,0.5998372219207814,0.3142857142857143,0.6793271839392295,842.0,1475.0,638.2,2494.0
archiva,2022,1011,116,19,2006-07-22 14:48:16+00:00,2006-10-25 03:18:54+00:00,2006-10-25 06:17:38+00:00,2006-11-30 03:32:08+00:00,static,label_adhoc,True,True,static,0.48484848484848486,0.7661421595225176,0.35135135135135137,0.749864351600651,1048.0,445.0,583.75,1675.0
archiva,2022,1011,116,19,2006-07-22 14:48:16+00:00,2006-10-25 03:18:54+00:00,2006-10-25 06:17:38+00:00,2006-11-30 03:32:08+00:00,pmd,label_adhoc,True,True,pmd,0.38461538461538464,0.7004883342376559,0.43589743589743596,0.6885512750949538,783.0,1770.0,1771.0,535.75
archiva,2022,1011,116,19,2006-07-22 14:48:16+00:00,2006-10-25 03:18:54+00:00,2006-10-25 06:17:38+00:00,2006-11-30 03:32:08+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.29411764705882354,0.7824199674443842,0.4,0.7786218122626153,720.3333333333334,inf,1041.6666666666667,853.3333333333334
archiva,2112,1056,116,10,2006-07-22 14:48:16+00:00,2006-10-25 03:18:54+00:00,2006-10-25 06:17:38+00:00,2006-11-30 03:32:08+00:00,jit,label_bug,True,True,jit,0.0,0.6344339622641509,0.05714285714285715,0.23679245283018868,1080.4,inf,609.5,3247.0
