project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
calcite,1972,986,327,201,2012-07-20 10:42:33-07:00,2013-06-01 16:11:09-07:00,2013-06-02 00:45:37-07:00,2013-07-02 17:06:29-07:00,jit,label_adhoc,True,True,jit,0.6939890710382514,0.7255587143646844,0.6086956521739131,0.6180604911948195,111.54054054054055,189.6851851851852,137.61904761904762,175.30612244897958
calcite,1972,986,327,201,2012-07-20 10:42:33-07:00,2013-06-01 16:11:09-07:00,2013-06-02 00:45:37-07:00,2013-07-02 17:06:29-07:00,static,label_adhoc,True,True,static,0.641711229946524,0.6558082602858721,0.5838509316770186,0.6631919766248126,87.14285714285714,218.57142857142858,80.80434782608695,236.73333333333332
calcite,1972,986,327,201,2012-07-20 10:42:33-07:00,2013-06-01 16:11:09-07:00,2013-06-02 00:45:37-07:00,2013-07-02 17:06:29-07:00,pmd,label_adhoc,True,True,pmd,0.6632390745501285,0.6262733949301114,0.5192307692307693,0.6493721866856195,88.91666666666667,203.07272727272726,90.16981132075472,252.39473684210526
calcite,1972,986,327,201,2012-07-20 10:42:33-07:00,2013-06-01 16:11:09-07:00,2013-06-02 00:45:37-07:00,2013-07-02 17:06:29-07:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6873385012919896,0.7038024164889836,0.6227544910179641,0.6983337281844745,87.76666666666667,192.40983606557376,90.3953488372093,218.39583333333334
calcite,3778,1889,327,10,2012-07-20 10:42:33-07:00,2013-06-01 16:11:09-07:00,2013-06-02 00:45:37-07:00,2013-07-02 17:06:29-07:00,jit,label_bug,True,True,jit,0.0,0.655993690851735,0.07079646017699115,0.5725552050473186,1741.25,inf,967.0,3178.3333333333335
calcite,3778,1889,327,10,2012-07-20 10:42:33-07:00,2013-06-01 16:11:09-07:00,2013-06-02 00:45:37-07:00,2013-07-02 17:06:29-07:00,static,label_bug,True,True,static,0.0,0.6097791798107256,0.14184397163120568,0.9186119873817035,1796.25,,inf,624.875
calcite,3778,1889,327,10,2012-07-20 10:42:33-07:00,2013-06-01 16:11:09-07:00,2013-06-02 00:45:37-07:00,2013-07-02 17:06:29-07:00,pmd,label_bug,True,True,pmd,0.26666666666666666,0.8954258675078864,0.10695187165775402,0.8757097791798106,2689.4,307.6666666666667,inf,797.5
calcite,3778,1889,327,10,2012-07-20 10:42:33-07:00,2013-06-01 16:11:09-07:00,2013-06-02 00:45:37-07:00,2013-07-02 17:06:29-07:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7072555205047318,0.12244897959183675,0.8160883280757099,1796.25,,5614.0,1250.857142857143
calcite,2248,1124,259,141,2013-07-02 17:06:30-07:00,2013-10-13 14:58:59-07:00,2013-10-13 23:48:46-07:00,2013-11-14 18:00:43-08:00,jit,label_adhoc,True,True,jit,0.6801346801346801,0.6964478903714388,0.5296442687747035,0.5986897463637456,36.1,251.72727272727272,60.51428571428571,383.94444444444446
calcite,2248,1124,259,141,2013-07-02 17:06:30-07:00,2013-10-13 14:58:59-07:00,2013-10-13 23:48:46-07:00,2013-11-14 18:00:43-08:00,static,label_adhoc,True,True,static,0.6148648648648648,0.6043394638778699,0.5,0.5409304002884961,151.69230769230768,188.33333333333334,144.21052631578948,236.6
calcite,2248,1124,259,141,2013-07-02 17:06:30-07:00,2013-10-13 14:58:59-07:00,2013-10-13 23:48:46-07:00,2013-11-14 18:00:43-08:00,pmd,label_adhoc,True,True,pmd,0.6746987951807228,0.5922887366269985,0.47413793103448276,0.5063709580478424,119.05263157894737,199.02941176470588,154.97435897435898,213.21428571428572
calcite,2248,1124,259,141,2013-07-02 17:06:30-07:00,2013-10-13 14:58:59-07:00,2013-10-13 23:48:46-07:00,2013-11-14 18:00:43-08:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6993464052287582,0.7186260367832672,0.5158730158730159,0.5572184156749609,77.1875,210.64864864864865,109.58333333333333,299.05882352941177
calcite,3126,1563,259,3,2013-07-02 17:06:30-07:00,2013-10-13 14:58:59-07:00,2013-10-13 23:48:46-07:00,2013-11-14 18:00:43-08:00,jit,label_bug,True,True,jit,0.0,0.6315104166666666,0.03252032520325203,0.7604166666666666,969.8888888888889,inf,3909.0,640.0
calcite,3126,1563,259,3,2013-07-02 17:06:30-07:00,2013-10-13 14:58:59-07:00,2013-10-13 23:48:46-07:00,2013-11-14 18:00:43-08:00,static,label_bug,True,True,static,0.0,0.36588541666666663,0.01408450704225352,0.38671875,986.3333333333334,inf,2990.5,435.42857142857144
calcite,3126,1563,259,3,2013-07-02 17:06:30-07:00,2013-10-13 14:58:59-07:00,2013-10-13 23:48:46-07:00,2013-11-14 18:00:43-08:00,pmd,label_bug,True,True,pmd,0.0,0.6009114583333333,0.039999999999999994,0.6666666666666666,1003.2222222222222,,inf,422.1111111111111
calcite,3126,1563,259,3,2013-07-02 17:06:30-07:00,2013-10-13 14:58:59-07:00,2013-10-13 23:48:46-07:00,2013-11-14 18:00:43-08:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.38736979166666663,0.03809523809523809,0.7044270833333334,1003.2222222222222,,4724.0,538.125
calcite,3560,1780,493,245,2013-11-14 18:06:22-08:00,2014-02-14 23:35:04-08:00,2014-02-16 14:02:50-08:00,2014-03-17 11:22:49-07:00,jit,label_adhoc,True,True,jit,0.649402390438247,0.7075789993416721,0.5916870415647921,0.6954904542462147,178.8846153846154,366.3658536585366,190.21621621621622,421.1333333333333
calcite,3560,1780,493,245,2013-11-14 18:06:22-08:00,2014-02-14 23:35:04-08:00,2014-02-16 14:02:50-08:00,2014-03-17 11:22:49-07:00,static,label_adhoc,True,True,static,0.65234375,0.6967988808426596,0.5925925925925926,0.6393186306780776,254.33333333333334,315.5348837209302,230.30555555555554,367.1290322580645
calcite,3560,1780,493,245,2013-11-14 18:06:22-08:00,2014-02-14 23:35:04-08:00,2014-02-16 14:02:50-08:00,2014-03-17 11:22:49-07:00,pmd,label_adhoc,True,True,pmd,0.43147208121827413,0.5973502304147466,0.4530892448512586,0.4714614878209349,235.29545454545453,405.17391304347825,227.97142857142856,365.40625
calcite,3560,1780,493,245,2013-11-14 18:06:22-08:00,2014-02-14 23:35:04-08:00,2014-02-16 14:02:50-08:00,2014-03-17 11:22:49-07:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6236559139784946,0.7060154707044108,0.4885844748858447,0.5622613561553653,183.88235294117646,406.6666666666667,189.36363636363637,493.04347826086956
calcite,5744,2872,493,13,2013-11-14 18:06:22-08:00,2014-02-14 23:35:04-08:00,2014-02-16 14:02:50-08:00,2014-03-17 11:22:49-07:00,jit,label_bug,True,True,jit,0.0,0.7911858974358975,0.11834319526627217,0.8126602564102564,936.7619047619048,,793.4444444444445,1044.25
calcite,5744,2872,493,13,2013-11-14 18:06:22-08:00,2014-02-14 23:35:04-08:00,2014-02-16 14:02:50-08:00,2014-03-17 11:22:49-07:00,static,label_bug,True,True,static,0.20689655172413793,0.7774038461538462,0.08602150537634408,0.6833333333333332,971.4444444444445,728.6666666666666,1105.875,832.6923076923077
