project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-bcel,3484,1742,430,5,2002-01-30 08:56:09+00:00,2006-03-20 12:41:31+00:00,2006-04-09 20:02:13+00:00,2006-06-04 14:54:02+00:00,jit,label_bug,True,True,jit,0.0,0.8047058823529412,0.07874015748031496,0.8341176470588236,114.33333333333333,,inf,111.0
commons-bcel,3484,1742,430,5,2002-01-30 08:56:09+00:00,2006-03-20 12:41:31+00:00,2006-04-09 20:02:13+00:00,2006-06-04 14:54:02+00:00,static,label_bug,True,True,static,0.0,0.772470588235294,0.008968609865470852,0.19858823529411768,114.33333333333333,,83.6,268.0
commons-bcel,3484,1742,430,5,2002-01-30 08:56:09+00:00,2006-03-20 12:41:31+00:00,2006-04-09 20:02:13+00:00,2006-06-04 14:54:02+00:00,pmd,label_bug,True,True,pmd,0.0,0.6014117647058823,0.019851116625310174,0.23905882352941177,114.33333333333333,,162.0,90.5
commons-bcel,3484,1742,430,5,2002-01-30 08:56:09+00:00,2006-03-20 12:41:31+00:00,2006-04-09 20:02:13+00:00,2006-06-04 14:54:02+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.8056470588235295,0.031545741324921134,0.7185882352941176,114.33333333333333,,inf,50.0
commons-bcel,1512,756,18,2,2006-06-04 15:52:18+00:00,2010-01-10 19:26:09+00:00,2010-01-10 20:06:47+00:00,2010-03-05 09:12:23+00:00,jit,label_bug,True,True,jit,0.0,0.96875,0.6666666666666666,0.9375,103.5,,inf,29.0
commons-bcel,1512,756,18,2,2006-06-04 15:52:18+00:00,2010-01-10 19:26:09+00:00,2010-01-10 20:06:47+00:00,2010-03-05 09:12:23+00:00,static,label_bug,True,True,static,0.6666666666666666,0.96875,0.5714285714285715,1.0,165.0,42.0,inf,32.0
commons-bcel,1512,756,18,2,2006-06-04 15:52:18+00:00,2010-01-10 19:26:09+00:00,2010-01-10 20:06:47+00:00,2010-03-05 09:12:23+00:00,pmd,label_bug,True,True,pmd,0.0,1.0,0.5714285714285715,1.0,103.5,,inf,42.0
commons-bcel,1512,756,18,2,2006-06-04 15:52:18+00:00,2010-01-10 19:26:09+00:00,2010-01-10 20:06:47+00:00,2010-03-05 09:12:23+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.6666666666666666,1.0,0.5714285714285715,1.0,165.0,42.0,inf,47.5
commons-bcel,2556,1278,8,1,2010-05-06 16:43:17+00:00,2012-03-19 15:44:22+00:00,2012-03-19 15:44:53+00:00,2012-05-28 12:24:46+00:00,jit,label_bug,True,True,jit,0.0,0.4285714285714286,0.0,0.0,1260.0,,44.0,inf
commons-bcel,2556,1278,8,1,2010-05-06 16:43:17+00:00,2012-03-19 15:44:22+00:00,2012-03-19 15:44:53+00:00,2012-05-28 12:24:46+00:00,static,label_bug,True,True,static,0.0,0.9285714285714285,0.2857142857142857,0.8571428571428572,1260.0,,inf,82.0
commons-bcel,2556,1278,8,1,2010-05-06 16:43:17+00:00,2012-03-19 15:44:22+00:00,2012-03-19 15:44:53+00:00,2012-05-28 12:24:46+00:00,pmd,label_bug,True,True,pmd,0.0,1.0,0.6666666666666666,0.8571428571428572,1260.0,,inf,1168.0
commons-bcel,2556,1278,8,1,2010-05-06 16:43:17+00:00,2012-03-19 15:44:22+00:00,2012-03-19 15:44:53+00:00,2012-05-28 12:24:46+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,1.0,0.5,1.0,1260.0,,inf,16.0
commons-bcel,112,56,82,10,2012-08-26 22:02:59+00:00,2013-12-17 02:51:54+00:00,2013-12-31 22:05:01+00:00,2014-04-18 22:09:58+00:00,jit,label_adhoc,True,True,jit,0.37037037037037035,0.7680555555555556,0.38095238095238093,0.8152777777777779,151.8,251.33333333333334,296.0,173.85714285714286
