project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-beanutils,672,336,15,3,2001-07-14 23:54:51+00:00,2003-03-25 22:07:54+00:00,2003-03-26 19:51:46+00:00,2003-05-06 10:24:00+00:00,jit,label_adhoc,True,True,jit,0.5,0.7361111111111112,0.2,0.5,inf,316.0,112.0,847.0
commons-beanutils,672,336,15,3,2001-07-14 23:54:51+00:00,2003-03-25 22:07:54+00:00,2003-03-26 19:51:46+00:00,2003-05-06 10:24:00+00:00,static,label_adhoc,True,True,static,0.4,0.611111111111111,0.4444444444444444,0.7777777777777779,286.0,392.5,342.0,364.5
commons-beanutils,672,336,15,3,2001-07-14 23:54:51+00:00,2003-03-25 22:07:54+00:00,2003-03-26 19:51:46+00:00,2003-05-06 10:24:00+00:00,pmd,label_adhoc,True,True,pmd,0.4,0.6388888888888888,0.4,0.5555555555555556,189.0,441.0,243.0,414.0
commons-beanutils,672,336,15,3,2001-07-14 23:54:51+00:00,2003-03-25 22:07:54+00:00,2003-03-26 19:51:46+00:00,2003-05-06 10:24:00+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.36363636363636365,0.6666666666666667,0.4,0.7222222222222221,193.0,439.0,247.0,412.0
commons-beanutils,1044,522,33,6,2003-05-06 11:32:23+00:00,2004-07-08 13:12:06+00:00,2004-07-12 00:55:45+00:00,2004-09-16 21:01:28+00:00,jit,label_adhoc,True,True,jit,0.5333333333333333,0.7283950617283951,0.5882352941176471,0.9259259259259259,86.0,330.57142857142856,275.0,276.375
commons-beanutils,1044,522,33,6,2003-05-06 11:32:23+00:00,2004-07-08 13:12:06+00:00,2004-07-12 00:55:45+00:00,2004-09-16 21:01:28+00:00,static,label_adhoc,True,True,static,0.7142857142857143,0.9259259259259259,0.3157894736842105,0.7407407407407408,264.0,277.75,88.8,510.5
commons-beanutils,1044,522,33,6,2003-05-06 11:32:23+00:00,2004-07-08 13:12:06+00:00,2004-07-12 00:55:45+00:00,2004-09-16 21:01:28+00:00,pmd,label_adhoc,True,True,pmd,0.6666666666666666,0.7469135802469136,0.36363636363636365,0.6296296296296295,212.4,356.0,93.5,328.42857142857144
commons-beanutils,1044,522,33,6,2003-05-06 11:32:23+00:00,2004-07-08 13:12:06+00:00,2004-07-12 00:55:45+00:00,2004-09-16 21:01:28+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.8333333333333334,0.9104938271604938,0.5714285714285715,0.7037037037037037,846.0,205.0,198.0,298.57142857142856
commons-beanutils,1116,558,33,2,2003-05-06 11:32:23+00:00,2004-07-08 13:12:06+00:00,2004-07-12 00:55:45+00:00,2004-09-16 21:01:28+00:00,jit,label_bug,True,True,jit,0.0,0.564516129032258,0.1818181818181818,0.7258064516129032,848.0,inf,1558.0,928.0
commons-beanutils,1116,558,33,2,2003-05-06 11:32:23+00:00,2004-07-08 13:12:06+00:00,2004-07-12 00:55:45+00:00,2004-09-16 21:01:28+00:00,static,label_bug,True,True,static,0.0,0.8387096774193548,0.14285714285714285,0.43548387096774194,1243.0,,926.0,1560.0
