project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-codec,558,279,55,13,2003-07-25 22:40:36+00:00,2004-03-21 01:18:56+00:00,2004-03-21 01:26:35+00:00,2004-05-24 00:17:24+00:00,jit,label_adhoc,True,True,jit,0.4444444444444445,0.8379120879120879,0.5238095238095238,0.7838827838827839,745.1666666666666,1052.0,644.0,881.1666666666666
commons-codec,558,279,55,13,2003-07-25 22:40:36+00:00,2004-03-21 01:18:56+00:00,2004-03-21 01:26:35+00:00,2004-05-24 00:17:24+00:00,static,label_adhoc,True,True,static,0.6111111111111112,0.836996336996337,0.5625,0.663003663003663,1588.0,566.5,1005.25,638.5
commons-codec,558,279,55,13,2003-07-25 22:40:36+00:00,2004-03-21 01:18:56+00:00,2004-03-21 01:26:35+00:00,2004-05-24 00:17:24+00:00,pmd,label_adhoc,True,True,pmd,0.5454545454545455,0.7133699633699634,0.5,0.7509157509157509,782.0,888.3333333333334,807.0,846.6666666666666
commons-codec,558,279,55,13,2003-07-25 22:40:36+00:00,2004-03-21 01:18:56+00:00,2004-03-21 01:26:35+00:00,2004-05-24 00:17:24+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6111111111111112,0.8745421245421245,0.5555555555555555,0.8040293040293041,1069.3333333333333,673.4,975.25,668.5
commons-codec,486,243,69,3,2004-05-24 00:19:13+00:00,2008-03-08 09:00:24+00:00,2008-03-08 09:01:18+00:00,2008-04-27 00:33:06+00:00,jit,label_adhoc,True,True,jit,0.0,0.9570707070707071,0.18181818181818182,0.9747474747474748,80.0,inf,inf,47.0
commons-codec,486,243,69,3,2004-05-24 00:19:13+00:00,2008-03-08 09:00:24+00:00,2008-03-08 09:01:18+00:00,2008-04-27 00:33:06+00:00,static,label_adhoc,True,True,static,0.0,0.33333333333333337,0.10256410256410256,0.7803030303030303,82.5,,76.0,89.0
commons-codec,486,243,69,3,2004-05-24 00:19:13+00:00,2008-03-08 09:00:24+00:00,2008-03-08 09:01:18+00:00,2008-04-27 00:33:06+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.5328282828282829,0.0,0.5303030303030303,63.0,inf,73.5,inf
commons-codec,486,243,69,3,2004-05-24 00:19:13+00:00,2008-03-08 09:00:24+00:00,2008-03-08 09:01:18+00:00,2008-04-27 00:33:06+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.8207070707070707,0.13793103448275862,0.8181818181818181,82.5,,78.0,87.0
commons-codec,514,257,69,1,2004-05-24 00:19:13+00:00,2008-03-08 09:00:24+00:00,2008-03-08 09:01:18+00:00,2008-04-27 00:33:06+00:00,jit,label_bug,True,True,jit,0.0,0.9852941176470589,0.08695652173913045,1.0,165.0,,inf,103.0
commons-codec,514,257,69,1,2004-05-24 00:19:13+00:00,2008-03-08 09:00:24+00:00,2008-03-08 09:01:18+00:00,2008-04-27 00:33:06+00:00,static,label_bug,True,True,static,0.0,0.8823529411764706,0.0,0.07352941176470584,165.0,,96.0,inf
