project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-compress,746,373,128,23,2004-02-27 03:41:37+00:00,2009-01-08 11:13:50+00:00,2009-01-09 09:31:02+00:00,2009-02-10 14:20:05+00:00,jit,label_adhoc,True,True,jit,0.3333333333333333,0.657142857142857,0.3870967741935484,0.6335403726708074,362.85714285714283,336.6875,186.5,400.47058823529414
commons-compress,746,373,128,23,2004-02-27 03:41:37+00:00,2009-01-08 11:13:50+00:00,2009-01-09 09:31:02+00:00,2009-02-10 14:20:05+00:00,static,label_adhoc,True,True,static,0.31818181818181823,0.6973084886128363,0.38461538461538464,0.6457556935817806,489.0,293.70588235294116,701.75,269.4736842105263
commons-compress,746,373,128,23,2004-02-27 03:41:37+00:00,2009-01-08 11:13:50+00:00,2009-01-09 09:31:02+00:00,2009-02-10 14:20:05+00:00,pmd,label_adhoc,True,True,pmd,0.4545454545454545,0.6645962732919255,0.42666666666666664,0.7204968944099379,649.5,237.05882352941177,446.4,316.3888888888889
commons-compress,746,373,128,23,2004-02-27 03:41:37+00:00,2009-01-08 11:13:50+00:00,2009-01-09 09:31:02+00:00,2009-02-10 14:20:05+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.425531914893617,0.6886128364389233,0.38235294117647056,0.698136645962733,510.3333333333333,286.1764705882353,480.0,307.05555555555554
commons-compress,868,434,128,11,2004-02-27 03:41:37+00:00,2009-01-08 11:13:50+00:00,2009-01-09 09:31:02+00:00,2009-02-10 14:20:05+00:00,jit,label_bug,True,True,jit,0.2105263157894737,0.8465423465423465,0.23333333333333328,0.6480186480186481,479.1818181818182,1328.0,444.25,683.3333333333334
commons-compress,868,434,128,11,2004-02-27 03:41:37+00:00,2009-01-08 11:13:50+00:00,2009-01-09 09:31:02+00:00,2009-02-10 14:20:05+00:00,static,label_bug,True,True,static,0.12500000000000003,0.6550116550116549,0.23529411764705882,0.6899766899766899,457.25,2440.0,475.6,693.625
commons-compress,868,434,128,11,2004-02-27 03:41:37+00:00,2009-01-08 11:13:50+00:00,2009-01-09 09:31:02+00:00,2009-02-10 14:20:05+00:00,pmd,label_bug,True,True,pmd,0.0,0.47707847707847706,0.1791044776119403,0.5501165501165501,525.3846153846154,inf,235.8,843.5
commons-compress,868,434,128,11,2004-02-27 03:41:37+00:00,2009-01-08 11:13:50+00:00,2009-01-09 09:31:02+00:00,2009-02-10 14:20:05+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7389277389277389,0.23529411764705882,0.7078477078477078,457.9230769230769,inf,500.0,642.7
commons-compress,1086,543,29,2,2009-02-10 14:37:00+00:00,2009-05-11 17:41:48+00:00,2009-05-12 04:52:06+00:00,2009-08-01 20:17:00+00:00,jit,label_adhoc,True,True,jit,0.0,0.5925925925925927,0.0,0.37037037037037035,633.5,,127.5,inf
commons-compress,1086,543,29,2,2009-02-10 14:37:00+00:00,2009-05-11 17:41:48+00:00,2009-05-12 04:52:06+00:00,2009-08-01 20:17:00+00:00,static,label_adhoc,True,True,static,0.5,0.962962962962963,0.2857142857142857,0.8333333333333334,inf,381.0,inf,453.0
commons-compress,1086,543,29,2,2009-02-10 14:37:00+00:00,2009-05-11 17:41:48+00:00,2009-05-12 04:52:06+00:00,2009-08-01 20:17:00+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.8333333333333334,0.2666666666666667,0.8703703703703703,261.0,inf,inf,521.0
commons-compress,1086,543,29,2,2009-02-10 14:37:00+00:00,2009-05-11 17:41:48+00:00,2009-05-12 04:52:06+00:00,2009-08-01 20:17:00+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.8333333333333334,0.3636363636363636,0.8148148148148149,261.0,inf,inf,465.5
commons-compress,1142,571,29,1,2009-02-10 14:37:00+00:00,2009-05-11 17:41:48+00:00,2009-05-12 04:52:06+00:00,2009-08-01 20:17:00+00:00,jit,label_bug,True,True,jit,0.0,0.5535714285714286,0.0,0.0714285714285714,1267.0,,201.0,inf
commons-compress,1142,571,29,1,2009-02-10 14:37:00+00:00,2009-05-11 17:41:48+00:00,2009-05-12 04:52:06+00:00,2009-08-01 20:17:00+00:00,static,label_bug,True,True,static,0.0,0.6785714285714286,0.0,0.2142857142857143,1255.0,inf,418.0,inf
