project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-configuration,304,152,72,27,2004-03-28 14:42:45+00:00,2004-08-20 15:49:27+00:00,2004-08-23 08:06:22+00:00,2004-09-23 08:41:56+00:00,jit,label_adhoc,True,True,jit,0.6909090909090909,0.81440329218107,0.7000000000000001,0.8279835390946502,257.8181818181818,168.91666666666666,355.8333333333333,163.9655172413793
commons-configuration,304,152,72,27,2004-03-28 14:42:45+00:00,2004-08-20 15:49:27+00:00,2004-08-23 08:06:22+00:00,2004-09-23 08:41:56+00:00,static,label_adhoc,True,True,static,0.7301587301587301,0.8637860082304527,0.7213114754098361,0.8617283950617284,512.75,156.09677419354838,382.42857142857144,150.46428571428572
commons-configuration,304,152,72,27,2004-03-28 14:42:45+00:00,2004-08-20 15:49:27+00:00,2004-08-23 08:06:22+00:00,2004-09-23 08:41:56+00:00,pmd,label_adhoc,True,True,pmd,0.5454545454545454,0.7362139917695473,0.5517241379310345,0.6477366255144034,198.21052631578948,195.25,182.85714285714286,217.85714285714286
commons-configuration,304,152,72,27,2004-03-28 14:42:45+00:00,2004-08-20 15:49:27+00:00,2004-08-23 08:06:22+00:00,2004-09-23 08:41:56+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.7241379310344828,0.8584362139917695,0.6461538461538462,0.7991769547325104,443.4,155.76666666666668,203.2,194.32
commons-configuration,440,220,72,6,2004-03-28 14:42:45+00:00,2004-08-20 15:49:27+00:00,2004-08-23 08:06:22+00:00,2004-09-23 08:41:56+00:00,jit,label_bug,True,True,jit,0.0,0.643939393939394,0.16666666666666669,0.6085858585858586,626.3636363636364,,925.0,377.5
commons-configuration,440,220,72,6,2004-03-28 14:42:45+00:00,2004-08-20 15:49:27+00:00,2004-08-23 08:06:22+00:00,2004-09-23 08:41:56+00:00,static,label_bug,True,True,static,0.2857142857142857,0.8762626262626263,0.24242424242424243,0.8055555555555556,687.2,18.0,723.6,545.3333333333334
commons-configuration,440,220,72,6,2004-03-28 14:42:45+00:00,2004-08-20 15:49:27+00:00,2004-08-23 08:06:22+00:00,2004-09-23 08:41:56+00:00,pmd,label_bug,True,True,pmd,0.2857142857142857,0.7967171717171717,0.1276595744680851,0.4545454545454545,687.2,18.0,448.2857142857143,938.0
commons-configuration,440,220,72,6,2004-03-28 14:42:45+00:00,2004-08-20 15:49:27+00:00,2004-08-23 08:06:22+00:00,2004-09-23 08:41:56+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.8737373737373737,0.17647058823529413,0.5984848484848485,626.3636363636364,,592.0,686.5
commons-configuration,206,103,36,9,2004-09-23 11:37:40+00:00,2004-12-23 18:40:21+00:00,2004-12-23 18:41:04+00:00,2005-02-14 11:54:15+00:00,jit,label_adhoc,True,True,jit,0.5384615384615384,0.7674897119341564,0.4545454545454546,0.654320987654321,478.5,216.125,99.5,381.3333333333333
commons-configuration,206,103,36,9,2004-09-23 11:37:40+00:00,2004-12-23 18:40:21+00:00,2004-12-23 18:41:04+00:00,2005-02-14 11:54:15+00:00,static,label_adhoc,True,True,static,0.6086956521739131,0.7551440329218106,0.39999999999999997,0.728395061728395,611.5,182.875,928.0,195.33333333333334
commons-configuration,206,103,36,9,2004-09-23 11:37:40+00:00,2004-12-23 18:40:21+00:00,2004-12-23 18:41:04+00:00,2005-02-14 11:54:15+00:00,pmd,label_adhoc,True,True,pmd,0.5517241379310346,0.757201646090535,0.5384615384615384,0.7078189300411522,1176.0,167.77777777777777,525.5,204.375
commons-configuration,206,103,36,9,2004-09-23 11:37:40+00:00,2004-12-23 18:40:21+00:00,2004-12-23 18:41:04+00:00,2005-02-14 11:54:15+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5833333333333334,0.7242798353909466,0.5714285714285714,0.7448559670781892,606.0,184.25,1151.0,170.55555555555554
commons-configuration,296,148,33,8,2005-02-21 11:39:33+00:00,2005-08-06 15:35:14+00:00,2005-08-07 17:19:16+00:00,2005-09-15 08:46:25+00:00,jit,label_adhoc,True,True,jit,0.5882352941176471,0.7374999999999999,0.33333333333333326,0.40499999999999997,131.0,75.0,82.0,124.0
commons-configuration,296,148,33,8,2005-02-21 11:39:33+00:00,2005-08-06 15:35:14+00:00,2005-08-07 17:19:16+00:00,2005-09-15 08:46:25+00:00,static,label_adhoc,True,True,static,0.7058823529411765,0.815,0.608695652173913,0.8600000000000001,141.0,90.33333333333333,206.0,88.28571428571429
commons-configuration,296,148,33,8,2005-02-21 11:39:33+00:00,2005-08-06 15:35:14+00:00,2005-08-07 17:19:16+00:00,2005-09-15 08:46:25+00:00,pmd,label_adhoc,True,True,pmd,0.39999999999999997,0.7349999999999999,0.44444444444444436,0.745,94.5,128.5,130.0,94.0
commons-configuration,296,148,33,8,2005-02-21 11:39:33+00:00,2005-08-06 15:35:14+00:00,2005-08-07 17:19:16+00:00,2005-09-15 08:46:25+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.631578947368421,0.785,0.36363636363636365,0.59,143.0,89.66666666666667,85.66666666666667,113.4
commons-configuration,336,168,33,1,2005-02-21 11:39:33+00:00,2005-08-06 15:35:14+00:00,2005-08-07 17:19:16+00:00,2005-09-15 08:46:25+00:00,jit,label_bug,True,True,jit,0.0,0.703125,0.0,0.25,804.0,inf,649.0,inf
commons-configuration,336,168,33,1,2005-02-21 11:39:33+00:00,2005-08-06 15:35:14+00:00,2005-08-07 17:19:16+00:00,2005-09-15 08:46:25+00:00,static,label_bug,True,True,static,0.0,0.71875,0.1111111111111111,0.59375,750.0,inf,inf,244.0
commons-configuration,336,168,33,1,2005-02-21 11:39:33+00:00,2005-08-06 15:35:14+00:00,2005-08-07 17:19:16+00:00,2005-09-15 08:46:25+00:00,pmd,label_bug,True,True,pmd,0.0,0.875,0.1111111111111111,0.8125,804.0,inf,inf,268.0
commons-configuration,336,168,33,1,2005-02-21 11:39:33+00:00,2005-08-06 15:35:14+00:00,2005-08-07 17:19:16+00:00,2005-09-15 08:46:25+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.765625,0.1,0.625,767.0,inf,inf,301.0
