project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-dbcp,114,57,9,4,2002-01-16 00:19:36+00:00,2002-09-05 23:38:49+00:00,2002-09-30 13:31:12+00:00,2002-10-31 21:14:32+00:00,jit,label_adhoc,True,True,jit,0.6,0.6749999999999999,0.5,0.7,23.5,35.666666666666664,27.666666666666668,35.5
commons-dbcp,114,57,9,4,2002-01-16 00:19:36+00:00,2002-09-05 23:38:49+00:00,2002-09-30 13:31:12+00:00,2002-10-31 21:14:32+00:00,static,label_adhoc,True,True,static,1.0,1.0,0.888888888888889,1.0,inf,15.8,inf,18.0
commons-dbcp,114,57,9,4,2002-01-16 00:19:36+00:00,2002-09-05 23:38:49+00:00,2002-09-30 13:31:12+00:00,2002-10-31 21:14:32+00:00,pmd,label_adhoc,True,True,pmd,1.0,1.0,0.7272727272727273,0.85,inf,15.8,inf,24.8
commons-dbcp,114,57,9,4,2002-01-16 00:19:36+00:00,2002-09-05 23:38:49+00:00,2002-09-30 13:31:12+00:00,2002-10-31 21:14:32+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,1.0,1.0,0.8,0.9500000000000001,inf,15.8,inf,21.8
commons-dbcp,182,91,132,30,2002-10-31 21:41:50+00:00,2003-08-11 16:11:34+00:00,2003-08-11 18:35:52+00:00,2003-09-13 22:29:39+00:00,jit,label_adhoc,True,True,jit,0.4594594594594595,0.7303921568627452,0.2772277227722772,0.44803921568627453,133.25,175.06060606060606,81.16666666666667,219.07407407407408
commons-dbcp,182,91,132,30,2002-10-31 21:41:50+00:00,2003-08-11 16:11:34+00:00,2003-08-11 18:35:52+00:00,2003-09-13 22:29:39+00:00,static,label_adhoc,True,True,static,0.4923076923076923,0.7732026143790849,0.22641509433962267,0.41666666666666663,230.05555555555554,119.81481481481481,159.4,167.52
commons-dbcp,182,91,132,30,2002-10-31 21:41:50+00:00,2003-08-11 16:11:34+00:00,2003-08-11 18:35:52+00:00,2003-09-13 22:29:39+00:00,pmd,label_adhoc,True,True,pmd,0.425,0.5991830065359478,0.20224719101123598,0.4366013071895425,233.66666666666666,129.03333333333333,155.79166666666666,173.1904761904762
commons-dbcp,182,91,132,30,2002-10-31 21:41:50+00:00,2003-08-11 16:11:34+00:00,2003-08-11 18:35:52+00:00,2003-09-13 22:29:39+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4864864864864865,0.7565359477124184,0.20833333333333331,0.465359477124183,230.75,127.03448275862068,152.5,174.82608695652175
commons-dbcp,284,142,132,11,2002-10-31 21:41:50+00:00,2003-08-11 16:11:34+00:00,2003-08-11 18:35:52+00:00,2003-09-13 22:29:39+00:00,jit,label_bug,True,True,jit,0.0,0.4135987978963186,0.05333333333333334,0.26371149511645375,368.8,,232.16666666666666,1598.5
commons-dbcp,284,142,132,11,2002-10-31 21:41:50+00:00,2003-08-11 16:11:34+00:00,2003-08-11 18:35:52+00:00,2003-09-13 22:29:39+00:00,static,label_bug,True,True,static,0.0,0.6810668670172803,0.1846153846153846,0.5597295266716754,368.2,inf,497.625,282.9166666666667
