project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-digester,7372,3686,976,50,2001-08-04 22:04:15+00:00,2011-05-12 18:46:44+00:00,2011-05-12 18:51:06+00:00,2011-06-13 18:53:18+00:00,jit,label_adhoc,True,True,jit,0.0,0.4730669546436285,0.16632860040567954,0.8101511879049677,578.8260869565217,inf,1287.111111111111,411.8378378378378
commons-digester,7372,3686,976,50,2001-08-04 22:04:15+00:00,2011-05-12 18:46:44+00:00,2011-05-12 18:51:06+00:00,2011-06-13 18:53:18+00:00,static,label_adhoc,True,True,static,0.04494382022471911,0.7748704103671705,0.13358070500927646,0.6618358531317494,593.8604651162791,428.6666666666667,1028.923076923077,407.45454545454544
commons-digester,7372,3686,976,50,2001-08-04 22:04:15+00:00,2011-05-12 18:46:44+00:00,2011-05-12 18:51:06+00:00,2011-06-13 18:53:18+00:00,pmd,label_adhoc,True,True,pmd,0.12213740458015267,0.6383477321814255,0.08858603066439523,0.5338228941684665,646.6315789473684,281.25,739.7368421052631,472.85185185185185
commons-digester,7372,3686,976,50,2001-08-04 22:04:15+00:00,2011-05-12 18:46:44+00:00,2011-05-12 18:51:06+00:00,2011-06-13 18:53:18+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.043956043956043966,0.7129805615550756,0.14258188824662812,0.7337365010799137,576.6888888888889,871.0,1030.0,425.3529411764706
commons-digester,7896,3948,976,8,2001-08-04 22:04:15+00:00,2011-05-12 18:46:44+00:00,2011-05-12 18:51:06+00:00,2011-06-13 18:53:18+00:00,jit,label_bug,True,True,jit,0.0,0.32541322314049587,0.006006006006006005,0.4629390495867769,4470.333333333333,,7967.5,2721.75
commons-digester,7896,3948,976,8,2001-08-04 22:04:15+00:00,2011-05-12 18:46:44+00:00,2011-05-12 18:51:06+00:00,2011-06-13 18:53:18+00:00,static,label_bug,True,True,static,0.0,0.4265237603305785,0.014705882352941176,0.40250516528925623,4470.166666666667,inf,6698.0,3356.5
commons-digester,7896,3948,976,8,2001-08-04 22:04:15+00:00,2011-05-12 18:46:44+00:00,2011-05-12 18:51:06+00:00,2011-06-13 18:53:18+00:00,pmd,label_bug,True,True,pmd,0.011299435028248588,0.6893724173553719,0.009501187648456057,0.5107179752066116,3868.1666666666665,inf,7856.0,2777.5
commons-digester,7896,3948,976,8,2001-08-04 22:04:15+00:00,2011-05-12 18:46:44+00:00,2011-05-12 18:51:06+00:00,2011-06-13 18:53:18+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.41154442148760334,0.011049723756906077,0.4076704545454546,4470.166666666667,inf,6938.5,3236.25
commons-digester,1110,555,31,1,2011-06-13 20:53:21+00:00,2012-02-25 21:48:02+00:00,2012-03-15 09:57:47+00:00,2012-04-19 20:20:24+00:00,jit,label_adhoc,True,True,jit,0.0,0.19999999999999996,0.0,0.0,1220.0,,503.0,inf
commons-digester,1110,555,31,1,2011-06-13 20:53:21+00:00,2012-02-25 21:48:02+00:00,2012-03-15 09:57:47+00:00,2012-04-19 20:20:24+00:00,static,label_adhoc,True,True,static,0.0,0.5833333333333333,0.19999999999999998,0.8,1220.0,,inf,211.0
commons-digester,1110,555,31,1,2011-06-13 20:53:21+00:00,2012-02-25 21:48:02+00:00,2012-03-15 09:57:47+00:00,2012-04-19 20:20:24+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.26666666666666666,0.0,0.4666666666666667,1220.0,,931.0,inf
commons-digester,1110,555,31,1,2011-06-13 20:53:21+00:00,2012-02-25 21:48:02+00:00,2012-03-15 09:57:47+00:00,2012-04-19 20:20:24+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.09999999999999998,0.0,0.6666666666666667,1220.0,,1051.0,inf
commons-digester,1148,574,31,1,2011-06-13 20:53:21+00:00,2012-02-25 21:48:02+00:00,2012-03-15 09:57:47+00:00,2012-04-19 20:20:24+00:00,jit,label_bug,True,True,jit,0.0,0.016666666666666663,0.0,0.033333333333333326,1122.0,inf,547.0,inf
commons-digester,1148,574,31,1,2011-06-13 20:53:21+00:00,2012-02-25 21:48:02+00:00,2012-03-15 09:57:47+00:00,2012-04-19 20:20:24+00:00,static,label_bug,True,True,static,0.0,0.5666666666666667,0.08333333333333333,0.9333333333333333,1220.0,,inf,501.0
commons-digester,1148,574,31,1,2011-06-13 20:53:21+00:00,2012-02-25 21:48:02+00:00,2012-03-15 09:57:47+00:00,2012-04-19 20:20:24+00:00,pmd,label_bug,True,True,pmd,0.0,0.7999999999999999,0.0,0.19999999999999996,1220.0,,1011.0,inf
commons-digester,1148,574,31,1,2011-06-13 20:53:21+00:00,2012-02-25 21:48:02+00:00,2012-03-15 09:57:47+00:00,2012-04-19 20:20:24+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.30000000000000004,0.0,0.33333333333333337,1220.0,,827.0,inf
