project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-io,522,261,54,9,2002-06-12 19:50:40+00:00,2003-11-22 20:47:30+00:00,2003-11-22 20:48:10+00:00,2003-12-25 11:03:35+00:00,jit,label_adhoc,True,True,jit,0.761904761904762,0.9308641975308641,0.4864864864864865,0.854320987654321,8684.0,191.0,inf,232.66666666666666
commons-io,522,261,54,9,2002-06-12 19:50:40+00:00,2003-11-22 20:47:30+00:00,2003-11-22 20:48:10+00:00,2003-12-25 11:03:35+00:00,static,label_adhoc,True,True,static,0.5882352941176471,0.8814814814814815,0.5,0.8395061728395062,1589.5,225.0,8269.0,242.875
commons-io,522,261,54,9,2002-06-12 19:50:40+00:00,2003-11-22 20:47:30+00:00,2003-11-22 20:48:10+00:00,2003-12-25 11:03:35+00:00,pmd,label_adhoc,True,True,pmd,0.36363636363636365,0.7172839506172839,0.35000000000000003,0.7432098765432098,2323.6666666666665,540.1666666666666,2765.0,668.8571428571429
commons-io,522,261,54,9,2002-06-12 19:50:40+00:00,2003-11-22 20:47:30+00:00,2003-11-22 20:48:10+00:00,2003-12-25 11:03:35+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5217391304347826,0.8864197530864197,0.5142857142857142,0.8592592592592592,1518.3333333333333,367.3333333333333,inf,199.55555555555554
commons-io,616,308,54,1,2002-06-12 19:50:40+00:00,2003-11-22 20:47:30+00:00,2003-11-22 20:48:10+00:00,2003-12-25 11:03:35+00:00,jit,label_bug,True,True,jit,0.0,0.38679245283018865,0.0,0.41509433962264153,10212.0,,6598.0,inf
commons-io,616,308,54,1,2002-06-12 19:50:40+00:00,2003-11-22 20:47:30+00:00,2003-11-22 20:48:10+00:00,2003-12-25 11:03:35+00:00,static,label_bug,True,True,static,0.0,0.339622641509434,0.0909090909090909,0.7735849056603774,10212.0,,inf,3997.0
commons-io,616,308,54,1,2002-06-12 19:50:40+00:00,2003-11-22 20:47:30+00:00,2003-11-22 20:48:10+00:00,2003-12-25 11:03:35+00:00,pmd,label_bug,True,True,pmd,0.0,0.22641509433962265,0.05714285714285715,0.37735849056603776,10212.0,,inf,8130.0
commons-io,616,308,54,1,2002-06-12 19:50:40+00:00,2003-11-22 20:47:30+00:00,2003-11-22 20:48:10+00:00,2003-12-25 11:03:35+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.5943396226415094,0.07999999999999999,0.8301886792452831,10212.0,,inf,2254.0
commons-io,300,150,20,12,2003-12-25 11:05:59+00:00,2004-06-13 05:38:07+00:00,2004-07-03 11:20:45+00:00,2004-08-13 23:39:01+00:00,jit,label_adhoc,True,True,jit,0.6666666666666666,0.7604166666666666,0.6666666666666666,0.6770833333333334,206.75,229.75,206.75,229.75
commons-io,300,150,20,12,2003-12-25 11:05:59+00:00,2004-06-13 05:38:07+00:00,2004-07-03 11:20:45+00:00,2004-08-13 23:39:01+00:00,static,label_adhoc,True,True,static,0.6,0.671875,0.7272727272727272,0.7708333333333333,274.375,117.5,223.5,221.375
commons-io,300,150,20,12,2003-12-25 11:05:59+00:00,2004-06-13 05:38:07+00:00,2004-07-03 11:20:45+00:00,2004-08-13 23:39:01+00:00,pmd,label_adhoc,True,True,pmd,0.5882352941176471,0.7083333333333334,0.6,0.7916666666666666,201.88888888888889,282.6666666666667,195.625,275.0
commons-io,300,150,20,12,2003-12-25 11:05:59+00:00,2004-06-13 05:38:07+00:00,2004-07-03 11:20:45+00:00,2004-08-13 23:39:01+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5263157894736842,0.703125,0.761904761904762,0.8229166666666666,303.75,58.75,199.0,238.57142857142858
commons-io,364,182,20,1,2003-12-25 11:05:59+00:00,2004-06-13 05:38:07+00:00,2004-07-03 11:20:45+00:00,2004-08-13 23:39:01+00:00,jit,label_bug,True,True,jit,0.0,0.026315789473684237,0.25,1.0,1664.0,inf,inf,280.0
commons-io,364,182,20,1,2003-12-25 11:05:59+00:00,2004-06-13 05:38:07+00:00,2004-07-03 11:20:45+00:00,2004-08-13 23:39:01+00:00,static,label_bug,True,True,static,0.0,0.4473684210526316,0.25,0.7894736842105263,2665.0,,inf,749.0
commons-io,364,182,20,1,2003-12-25 11:05:59+00:00,2004-06-13 05:38:07+00:00,2004-07-03 11:20:45+00:00,2004-08-13 23:39:01+00:00,pmd,label_bug,True,True,pmd,0.0,0.0,0.19999999999999998,0.9473684210526316,2665.0,,inf,1471.0
commons-io,364,182,20,1,2003-12-25 11:05:59+00:00,2004-06-13 05:38:07+00:00,2004-07-03 11:20:45+00:00,2004-08-13 23:39:01+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.10526315789473689,0.25,0.9473684210526316,2665.0,,inf,671.0
commons-io,258,129,21,1,2004-08-13 23:39:46+00:00,2005-04-06 23:35:43+00:00,2005-04-06 23:58:19+00:00,2005-06-25 16:33:04+00:00,jit,label_adhoc,True,True,jit,0.0,0.625,0.16666666666666669,1.0,1264.0,inf,inf,385.0
commons-io,258,129,21,1,2004-08-13 23:39:46+00:00,2005-04-06 23:35:43+00:00,2005-04-06 23:58:19+00:00,2005-06-25 16:33:04+00:00,static,label_adhoc,True,True,static,0.4,0.85,0.18181818181818182,1.0,inf,269.0,inf,502.0
commons-io,258,129,21,1,2004-08-13 23:39:46+00:00,2005-04-06 23:35:43+00:00,2005-04-06 23:58:19+00:00,2005-06-25 16:33:04+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.9500000000000001,0.14285714285714288,0.95,1374.0,inf,inf,509.0
commons-io,258,129,21,1,2004-08-13 23:39:46+00:00,2005-04-06 23:35:43+00:00,2005-04-06 23:58:19+00:00,2005-06-25 16:33:04+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4,0.875,0.15384615384615385,1.0,inf,269.0,inf,370.0
commons-io,92,46,25,8,2005-08-15 22:22:30+00:00,2006-01-01 16:25:19+00:00,2006-01-01 16:58:56+00:00,2006-03-04 19:14:04+00:00,jit,label_adhoc,True,True,jit,0.47058823529411764,0.6727941176470588,0.3157894736842105,0.47058823529411764,191.33333333333334,132.125,171.0,135.28571428571428
commons-io,92,46,25,8,2005-08-15 22:22:30+00:00,2006-01-01 16:25:19+00:00,2006-01-01 16:58:56+00:00,2006-03-04 19:14:04+00:00,static,label_adhoc,True,True,static,0.5555555555555556,0.7352941176470589,0.4210526315789474,0.5220588235294118,283.5,118.22222222222223,179.0,136.75
commons-io,92,46,25,8,2005-08-15 22:22:30+00:00,2006-01-01 16:25:19+00:00,2006-01-01 16:58:56+00:00,2006-03-04 19:14:04+00:00,pmd,label_adhoc,True,True,pmd,0.5333333333333333,0.6176470588235294,0.45454545454545453,0.6617647058823529,270.25,78.57142857142857,303.0,113.88888888888889
commons-io,92,46,25,8,2005-08-15 22:22:30+00:00,2006-01-01 16:25:19+00:00,2006-01-01 16:58:56+00:00,2006-03-04 19:14:04+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5,0.6875,0.5263157894736842,0.625,259.5,123.55555555555556,282.5,118.44444444444444
commons-io,130,65,25,1,2005-08-15 22:22:30+00:00,2006-01-01 16:25:19+00:00,2006-01-01 16:58:56+00:00,2006-03-04 19:14:04+00:00,jit,label_bug,True,True,jit,1.0,1.0,0.18181818181818182,0.9583333333333334,inf,24.0,inf,372.0
commons-io,130,65,25,1,2005-08-15 22:22:30+00:00,2006-01-01 16:25:19+00:00,2006-01-01 16:58:56+00:00,2006-03-04 19:14:04+00:00,static,label_bug,True,True,static,0.5,1.0,0.15384615384615385,1.0,inf,47.5,inf,507.0
commons-io,130,65,25,1,2005-08-15 22:22:30+00:00,2006-01-01 16:25:19+00:00,2006-01-01 16:58:56+00:00,2006-03-04 19:14:04+00:00,pmd,label_bug,True,True,pmd,1.0,1.0,0.2857142857142857,1.0,inf,24.0,inf,284.5
commons-io,130,65,25,1,2005-08-15 22:22:30+00:00,2006-01-01 16:25:19+00:00,2006-01-01 16:58:56+00:00,2006-03-04 19:14:04+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,1.0,0.9999999999999999,0.16666666666666669,1.0,inf,24.0,inf,632.5
