project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-jcs,88,44,8,1,2002-07-14 21:11:19+00:00,2002-11-21 23:56:31+00:00,2002-11-22 00:02:26+00:00,2003-02-10 20:44:25+00:00,jit,label_adhoc,True,True,jit,0.0,0.0,0.5,0.7142857142857143,46.0,,inf,18.0
commons-jcs,88,44,8,1,2002-07-14 21:11:19+00:00,2002-11-21 23:56:31+00:00,2002-11-22 00:02:26+00:00,2003-02-10 20:44:25+00:00,static,label_adhoc,True,True,static,0.0,0.7142857142857143,0.0,0.4285714285714286,45.0,inf,41.0,inf
commons-jcs,88,44,8,1,2002-07-14 21:11:19+00:00,2002-11-21 23:56:31+00:00,2002-11-22 00:02:26+00:00,2003-02-10 20:44:25+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.7142857142857143,0.5,0.7142857142857143,43.0,inf,inf,5.0
commons-jcs,88,44,8,1,2002-07-14 21:11:19+00:00,2002-11-21 23:56:31+00:00,2002-11-22 00:02:26+00:00,2003-02-10 20:44:25+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.8571428571428572,0.5,0.7142857142857143,45.0,inf,inf,5.0
commons-jcs,1016,508,78,24,2003-02-10 20:51:19+00:00,2004-05-25 05:36:20+00:00,2004-05-25 05:38:06+00:00,2004-06-29 01:26:50+00:00,jit,label_adhoc,True,True,jit,0.10810810810810811,0.4934413580246914,0.39024390243902435,0.60570987654321,192.1578947368421,inf,79.44444444444444,359.1
commons-jcs,1016,508,78,24,2003-02-10 20:51:19+00:00,2004-05-25 05:36:20+00:00,2004-05-25 05:38:06+00:00,2004-06-29 01:26:50+00:00,static,label_adhoc,True,True,static,0.39999999999999997,0.5779320987654321,0.3666666666666667,0.5092592592592593,141.54545454545453,343.625,114.33333333333333,647.75
commons-jcs,1016,508,78,24,2003-02-10 20:51:19+00:00,2004-05-25 05:36:20+00:00,2004-05-25 05:38:06+00:00,2004-06-29 01:26:50+00:00,pmd,label_adhoc,True,True,pmd,0.23529411764705882,0.5347222222222223,0.44067796610169496,0.5270061728395062,217.78571428571428,251.4,211.7,243.22222222222223
commons-jcs,1016,508,78,24,2003-02-10 20:51:19+00:00,2004-05-25 05:36:20+00:00,2004-05-25 05:38:06+00:00,2004-06-29 01:26:50+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.23529411764705882,0.49961419753086417,0.3913043478260869,0.5902777777777778,218.15384615384616,245.0,110.22222222222223,331.4
commons-jcs,1068,534,78,1,2003-02-10 20:51:19+00:00,2004-05-25 05:36:20+00:00,2004-05-25 05:38:06+00:00,2004-06-29 01:26:50+00:00,jit,label_bug,True,True,jit,0.0,0.8961038961038961,0.0909090909090909,1.0,3870.0,inf,inf,2582.0
commons-jcs,1068,534,78,1,2003-02-10 20:51:19+00:00,2004-05-25 05:36:20+00:00,2004-05-25 05:38:06+00:00,2004-06-29 01:26:50+00:00,static,label_bug,True,True,static,0.0,1.0,0.05882352941176471,0.961038961038961,4306.0,,inf,2143.0
