project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-jexl,34,17,16,8,2002-08-05 05:04:53+00:00,2002-11-20 12:58:39+00:00,2002-12-16 10:41:59+00:00,2003-02-18 20:22:00+00:00,jit,label_adhoc,True,True,jit,0.0,0.5859375,0.13333333333333333,0.203125,244.6,,63.4,inf
commons-jexl,34,17,16,8,2002-08-05 05:04:53+00:00,2002-11-20 12:58:39+00:00,2002-12-16 10:41:59+00:00,2003-02-18 20:22:00+00:00,static,label_adhoc,True,True,static,0.2222222222222222,0.5703125,0.4444444444444445,0.296875,243.0,inf,358.3333333333333,74.0
commons-jexl,34,17,16,8,2002-08-05 05:04:53+00:00,2002-11-20 12:58:39+00:00,2002-12-16 10:41:59+00:00,2003-02-18 20:22:00+00:00,pmd,label_adhoc,True,True,pmd,0.5333333333333333,0.625,0.5555555555555556,0.515625,113.0,442.0,160.0,301.0
commons-jexl,34,17,16,8,2002-08-05 05:04:53+00:00,2002-11-20 12:58:39+00:00,2002-12-16 10:41:59+00:00,2003-02-18 20:22:00+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.2222222222222222,0.703125,0.5263157894736842,0.40625,243.0,inf,154.5,304.6666666666667
commons-jexl,50,25,16,1,2002-08-05 05:04:53+00:00,2002-11-20 12:58:39+00:00,2002-12-16 10:41:59+00:00,2003-02-18 20:22:00+00:00,jit,label_bug,True,True,jit,0.0,1.0,0.5,1.0,407.6666666666667,,inf,284.6666666666667
commons-jexl,50,25,16,1,2002-08-05 05:04:53+00:00,2002-11-20 12:58:39+00:00,2002-12-16 10:41:59+00:00,2003-02-18 20:22:00+00:00,static,label_bug,True,True,static,0.0,0.3333333333333333,0.0,0.0,407.6666666666667,,307.6666666666667,inf
commons-jexl,50,25,16,1,2002-08-05 05:04:53+00:00,2002-11-20 12:58:39+00:00,2002-12-16 10:41:59+00:00,2003-02-18 20:22:00+00:00,pmd,label_bug,True,True,pmd,0.0,0.6,0.0,0.1333333333333333,407.6666666666667,,305.6666666666667,inf
commons-jexl,50,25,16,1,2002-08-05 05:04:53+00:00,2002-11-20 12:58:39+00:00,2002-12-16 10:41:59+00:00,2003-02-18 20:22:00+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.43333333333333335,0.0,0.0,407.6666666666667,,309.3333333333333,inf
commons-jexl,908,454,173,23,2003-02-18 20:22:41+00:00,2006-04-26 07:16:13+00:00,2006-04-26 23:35:42+00:00,2006-08-06 18:36:29+00:00,jit,label_adhoc,True,True,jit,0.47368421052631576,0.7949275362318841,0.4090909090909091,0.7692753623188405,2174.714285714286,inf,1105.0,4203.333333333333
commons-jexl,908,454,173,23,2003-02-18 20:22:41+00:00,2006-04-26 07:16:13+00:00,2006-04-26 23:35:42+00:00,2006-08-06 18:36:29+00:00,static,label_adhoc,True,True,static,0.09999999999999999,0.5259420289855072,0.19298245614035087,0.48260869565217396,2256.0,inf,2225.8333333333335,3675.0
commons-jexl,908,454,173,23,2003-02-18 20:22:41+00:00,2006-04-26 07:16:13+00:00,2006-04-26 23:35:42+00:00,2006-08-06 18:36:29+00:00,pmd,label_adhoc,True,True,pmd,0.26666666666666666,0.5643478260869567,0.15517241379310345,0.40318840579710147,2761.8333333333335,459.0,2620.8,1963.0
commons-jexl,908,454,173,23,2003-02-18 20:22:41+00:00,2006-04-26 07:16:13+00:00,2006-04-26 23:35:42+00:00,2006-08-06 18:36:29+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.2857142857142857,0.6550724637681159,0.3008849557522124,0.6452173913043476,2358.1428571428573,inf,3561.75,927.6666666666666
commons-jexl,1004,502,173,7,2003-02-18 20:22:41+00:00,2006-04-26 07:16:13+00:00,2006-04-26 23:35:42+00:00,2006-08-06 18:36:29+00:00,jit,label_bug,True,True,jit,0.0,0.6919104991394148,0.0923076923076923,0.6376936316695353,8377.5,inf,3118.5,inf
commons-jexl,1004,502,173,7,2003-02-18 20:22:41+00:00,2006-04-26 07:16:13+00:00,2006-04-26 23:35:42+00:00,2006-08-06 18:36:29+00:00,static,label_bug,True,True,static,0.0,0.7431153184165233,0.2222222222222222,0.8803786574870913,8515.0,,inf,1760.0
commons-jexl,1004,502,173,7,2003-02-18 20:22:41+00:00,2006-04-26 07:16:13+00:00,2006-04-26 23:35:42+00:00,2006-08-06 18:36:29+00:00,pmd,label_bug,True,True,pmd,0.2,0.6802925989672978,0.17857142857142858,0.7564543889845095,8328.5,inf,7284.5,inf
commons-jexl,1004,502,173,7,2003-02-18 20:22:41+00:00,2006-04-26 07:16:13+00:00,2006-04-26 23:35:42+00:00,2006-08-06 18:36:29+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7216006884681583,0.21818181818181817,0.8313253012048193,8515.0,,3393.5,inf
commons-jexl,798,399,66,27,2006-08-06 18:55:35+00:00,2009-06-15 18:30:33+00:00,2009-06-15 18:34:16+00:00,2009-07-17 06:15:35+00:00,jit,label_adhoc,True,True,jit,0.5106382978723405,0.6339031339031339,0.5,0.6153846153846154,96.8,314.3,156.05882352941177,242.75
commons-jexl,798,399,66,27,2006-08-06 18:55:35+00:00,2009-06-15 18:30:33+00:00,2009-06-15 18:34:16+00:00,2009-07-17 06:15:35+00:00,static,label_adhoc,True,True,static,0.7924528301886792,0.841880341880342,0.5,0.6315289648622981,317.0,108.875,218.26666666666668,132.1
commons-jexl,798,399,66,27,2006-08-06 18:55:35+00:00,2009-06-15 18:30:33+00:00,2009-06-15 18:34:16+00:00,2009-07-17 06:15:35+00:00,pmd,label_adhoc,True,True,pmd,0.5757575757575758,0.6348528015194682,0.4406779661016949,0.51661918328585,170.14285714285714,189.11111111111111,87.2,328.7
commons-jexl,798,399,66,27,2006-08-06 18:55:35+00:00,2009-06-15 18:30:33+00:00,2009-06-15 18:34:16+00:00,2009-07-17 06:15:35+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.7547169811320754,0.8547008547008548,0.5818181818181818,0.6419753086419753,305.5,145.3684210526316,182.91666666666666,184.6153846153846
commons-jexl,918,459,66,8,2006-08-06 18:55:35+00:00,2009-06-15 18:30:33+00:00,2009-06-15 18:34:16+00:00,2009-07-17 06:15:35+00:00,jit,label_bug,True,True,jit,0.3157894736842105,0.7823275862068966,0.13333333333333333,0.40086206896551724,664.0,1275.0,681.5,934.5
commons-jexl,918,459,66,8,2006-08-06 18:55:35+00:00,2009-06-15 18:30:33+00:00,2009-06-15 18:34:16+00:00,2009-07-17 06:15:35+00:00,static,label_bug,True,True,static,0.23529411764705882,0.6831896551724138,0.2857142857142857,0.7521551724137931,743.0,880.0,725.75,846.0
commons-jexl,918,459,66,8,2006-08-06 18:55:35+00:00,2009-06-15 18:30:33+00:00,2009-06-15 18:34:16+00:00,2009-07-17 06:15:35+00:00,pmd,label_bug,True,True,pmd,0.5263157894736842,0.7327586206896552,0.20833333333333334,0.5818965517241379,927.5,442.5,1070.0,613.75
commons-jexl,918,459,66,8,2006-08-06 18:55:35+00:00,2009-06-15 18:30:33+00:00,2009-06-15 18:34:16+00:00,2009-07-17 06:15:35+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.33333333333333326,0.7209051724137931,0.2790697674418604,0.6443965517241379,1237.0,294.6666666666667,940.5,678.5
commons-jexl,1036,518,229,70,2009-07-17 18:40:59+00:00,2009-11-02 23:28:13+00:00,2009-11-02 23:29:35+00:00,2009-12-07 20:38:09+00:00,jit,label_adhoc,True,True,jit,0.15789473684210528,0.6969901168014375,0.47852760736196315,0.6929919137466307,376.0625,427.0,635.0,300.3076923076923
commons-jexl,1036,518,229,70,2009-07-17 18:40:59+00:00,2009-11-02 23:28:13+00:00,2009-11-02 23:29:35+00:00,2009-12-07 20:38:09+00:00,static,label_adhoc,True,True,static,0.36170212765957444,0.649056603773585,0.4052287581699346,0.5415543575920935,375.61538461538464,390.25,379.8,378.0
commons-jexl,1036,518,229,70,2009-07-17 18:40:59+00:00,2009-11-02 23:28:13+00:00,2009-11-02 23:29:35+00:00,2009-12-07 20:38:09+00:00,pmd,label_adhoc,True,True,pmd,0.14814814814814814,0.5088499550763702,0.3409090909090909,0.4658580413297394,379.125,378.0,256.55555555555554,516.875
commons-jexl,1036,518,229,70,2009-07-17 18:40:59+00:00,2009-11-02 23:28:13+00:00,2009-11-02 23:29:35+00:00,2009-12-07 20:38:09+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.33707865168539325,0.6287061994609162,0.41290322580645167,0.531895777178796,428.0,261.6,555.5,282.8181818181818
commons-jexl,1216,608,229,5,2009-07-17 18:40:59+00:00,2009-11-02 23:28:13+00:00,2009-11-02 23:29:35+00:00,2009-12-07 20:38:09+00:00,jit,label_bug,True,True,jit,0.0,0.828125,0.08219178082191782,0.7437499999999999,1283.0,inf,1520.5,1134.3333333333333
commons-jexl,1216,608,229,5,2009-07-17 18:40:59+00:00,2009-11-02 23:28:13+00:00,2009-11-02 23:29:35+00:00,2009-12-07 20:38:09+00:00,static,label_bug,True,True,static,0.25,0.7638392857142857,0.11764705882352941,0.9249999999999999,1593.75,69.0,inf,683.8
commons-jexl,1216,608,229,5,2009-07-17 18:40:59+00:00,2009-11-02 23:28:13+00:00,2009-11-02 23:29:35+00:00,2009-12-07 20:38:09+00:00,pmd,label_bug,True,True,pmd,0.22222222222222224,0.9419642857142857,0.11363636363636363,0.936607142857143,1588.25,91.0,inf,717.8
commons-jexl,1216,608,229,5,2009-07-17 18:40:59+00:00,2009-11-02 23:28:13+00:00,2009-11-02 23:29:35+00:00,2009-12-07 20:38:09+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.25,0.9223214285714286,0.13698630136986303,0.9303571428571429,1593.75,69.0,inf,666.4
commons-jexl,278,139,10,3,2009-12-07 20:49:55+00:00,2010-12-21 17:11:32+00:00,2010-12-21 17:13:06+00:00,2011-02-03 16:57:58+00:00,jit,label_adhoc,True,True,jit,0.5,0.8095238095238095,0.28571428571428575,0.47619047619047616,89.5,170.0,32.0,285.0
commons-jexl,278,139,10,3,2009-12-07 20:49:55+00:00,2010-12-21 17:11:32+00:00,2010-12-21 17:13:06+00:00,2011-02-03 16:57:58+00:00,static,label_adhoc,True,True,static,0.3333333333333333,0.5714285714285714,0.4444444444444444,0.5238095238095237,68.0,213.0,42.0,153.5
commons-jexl,278,139,10,3,2009-12-07 20:49:55+00:00,2010-12-21 17:11:32+00:00,2010-12-21 17:13:06+00:00,2011-02-03 16:57:58+00:00,pmd,label_adhoc,True,True,pmd,0.4,0.3333333333333333,0.2222222222222222,0.47619047619047616,101.33333333333333,inf,70.0,inf
commons-jexl,278,139,10,3,2009-12-07 20:49:55+00:00,2010-12-21 17:11:32+00:00,2010-12-21 17:13:06+00:00,2011-02-03 16:57:58+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.5238095238095238,0.5,0.4761904761904762,82.0,inf,43.0,153.0
commons-jexl,300,150,10,1,2009-12-07 20:49:55+00:00,2010-12-21 17:11:32+00:00,2010-12-21 17:13:06+00:00,2011-02-03 16:57:58+00:00,jit,label_bug,True,True,jit,0.0,0.6111111111111112,0.0,0.33333333333333337,349.0,,317.0,inf
