project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-lang,486,243,40,14,2002-10-19 17:18:49+00:00,2003-01-19 17:42:18+00:00,2003-01-19 17:51:42+00:00,2003-03-06 22:50:21+00:00,jit,label_adhoc,True,True,jit,0.5925925925925927,0.7005494505494506,0.6060606060606061,0.7335164835164835,100.66666666666667,94.88888888888889,117.0,90.0
commons-lang,486,243,40,14,2002-10-19 17:18:49+00:00,2003-01-19 17:42:18+00:00,2003-01-19 17:51:42+00:00,2003-03-06 22:50:21+00:00,static,label_adhoc,True,True,static,0.22222222222222224,0.7005494505494505,0.6285714285714286,0.7335164835164836,92.41666666666667,116.33333333333333,137.5,82.54545454545455
commons-lang,486,243,40,14,2002-10-19 17:18:49+00:00,2003-01-19 17:42:18+00:00,2003-01-19 17:51:42+00:00,2003-03-06 22:50:21+00:00,pmd,label_adhoc,True,True,pmd,0.17391304347826086,0.6414835164835165,0.3225806451612903,0.35714285714285704,93.15384615384616,123.5,103.0,88.5
commons-lang,486,243,40,14,2002-10-19 17:18:49+00:00,2003-01-19 17:42:18+00:00,2003-01-19 17:51:42+00:00,2003-03-06 22:50:21+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.22222222222222224,0.5961538461538461,0.3333333333333333,0.5082417582417582,92.41666666666667,116.33333333333333,118.25,73.14285714285714
commons-lang,570,285,40,3,2002-10-19 17:18:49+00:00,2003-01-19 17:42:18+00:00,2003-01-19 17:51:42+00:00,2003-03-06 22:50:21+00:00,jit,label_bug,True,True,jit,0.0,0.608108108108108,0.0,0.6036036036036037,486.0,,338.3333333333333,inf
commons-lang,570,285,40,3,2002-10-19 17:18:49+00:00,2003-01-19 17:42:18+00:00,2003-01-19 17:51:42+00:00,2003-03-06 22:50:21+00:00,static,label_bug,True,True,static,0.0,0.6711711711711711,0.23529411764705882,0.7477477477477477,481.0,inf,1100.0,179.0
commons-lang,570,285,40,3,2002-10-19 17:18:49+00:00,2003-01-19 17:42:18+00:00,2003-01-19 17:51:42+00:00,2003-03-06 22:50:21+00:00,pmd,label_bug,True,True,pmd,0.0,0.7567567567567568,0.13333333333333333,0.6216216216216216,474.6666666666667,inf,491.0,476.0
commons-lang,570,285,40,3,2002-10-19 17:18:49+00:00,2003-01-19 17:42:18+00:00,2003-01-19 17:51:42+00:00,2003-03-06 22:50:21+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.8018018018018017,0.2727272727272727,0.6936936936936937,481.0,inf,inf,210.66666666666666
commons-lang,490,245,218,44,2003-03-17 05:28:37+00:00,2003-06-20 08:03:51+00:00,2003-06-21 22:24:56+00:00,2003-07-21 22:57:51+00:00,jit,label_adhoc,True,True,jit,0.5822784810126581,0.8618077324973877,0.5441176470588235,0.8620689655172414,447.59090909090907,509.27272727272725,592.125,453.1666666666667
commons-lang,490,245,218,44,2003-03-17 05:28:37+00:00,2003-06-20 08:03:51+00:00,2003-06-21 22:24:56+00:00,2003-07-21 22:57:51+00:00,static,label_adhoc,True,True,static,0.4594594594594595,0.846394984326019,0.5535714285714286,0.8301985370950888,390.44117647058823,777.6,410.57142857142856,510.1
commons-lang,490,245,218,44,2003-03-17 05:28:37+00:00,2003-06-20 08:03:51+00:00,2003-06-21 22:24:56+00:00,2003-07-21 22:57:51+00:00,pmd,label_adhoc,True,True,pmd,0.07407407407407407,0.6192528735632183,0.27450980392156865,0.5172413793103448,475.04761904761904,549.5,303.21875,945.6666666666666
commons-lang,490,245,218,44,2003-03-17 05:28:37+00:00,2003-06-20 08:03:51+00:00,2003-06-21 22:24:56+00:00,2003-07-21 22:57:51+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.43478260869565216,0.8488113897596656,0.5079365079365079,0.7633228840125391,403.7352941176471,732.4,436.2142857142857,498.1333333333333
commons-lang,592,296,218,7,2003-03-17 05:28:37+00:00,2003-06-20 08:03:51+00:00,2003-06-21 22:24:56+00:00,2003-07-21 22:57:51+00:00,jit,label_bug,True,True,jit,0.25,0.5199729180771834,0.1388888888888889,0.8375084631008801,3358.6666666666665,179.8,3590.0,1541.2222222222222
commons-lang,592,296,218,7,2003-03-17 05:28:37+00:00,2003-06-20 08:03:51+00:00,2003-06-21 22:24:56+00:00,2003-07-21 22:57:51+00:00,static,label_bug,True,True,static,0.36363636363636365,0.9001354096140826,0.1263157894736842,0.8402166553825321,3873.6,280.5,8220.0,1283.1
commons-lang,592,296,218,7,2003-03-17 05:28:37+00:00,2003-06-20 08:03:51+00:00,2003-06-21 22:24:56+00:00,2003-07-21 22:57:51+00:00,pmd,label_bug,True,True,pmd,0.0,0.8696682464454976,0.13333333333333333,0.8124576844955991,1859.7272727272727,inf,6388.5,919.3333333333334
commons-lang,592,296,218,7,2003-03-17 05:28:37+00:00,2003-06-20 08:03:51+00:00,2003-06-21 22:24:56+00:00,2003-07-21 22:57:51+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.2,0.940419769803656,0.1647058823529412,0.8957345971563981,3238.0,324.6,inf,1215.2727272727273
commons-lang,1038,519,32,8,2003-07-21 23:03:53+00:00,2003-10-21 23:23:06+00:00,2003-10-23 03:55:34+00:00,2003-11-29 12:56:16+00:00,jit,label_adhoc,True,True,jit,0.5882352941176471,0.8385416666666666,0.4210526315789474,0.6875,322.2,184.2,199.0,289.3333333333333
commons-lang,1038,519,32,8,2003-07-21 23:03:53+00:00,2003-10-21 23:23:06+00:00,2003-10-23 03:55:34+00:00,2003-11-29 12:56:16+00:00,static,label_adhoc,True,True,static,0.4,0.7734375,0.5454545454545454,0.8072916666666667,266.3333333333333,233.5,264.3333333333333,248.42857142857142
commons-lang,1038,519,32,8,2003-07-21 23:03:53+00:00,2003-10-21 23:23:06+00:00,2003-10-23 03:55:34+00:00,2003-11-29 12:56:16+00:00,pmd,label_adhoc,True,True,pmd,0.18181818181818182,0.7421875,0.5454545454545454,0.6822916666666666,278.44444444444446,26.0,267.0,247.28571428571428
commons-lang,1038,519,32,8,2003-07-21 23:03:53+00:00,2003-10-21 23:23:06+00:00,2003-10-23 03:55:34+00:00,2003-11-29 12:56:16+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4,0.7578125,0.43478260869565216,0.703125,266.3333333333333,233.5,204.0,286.0
commons-lang,1158,579,32,1,2003-07-21 23:03:53+00:00,2003-10-21 23:23:06+00:00,2003-10-23 03:55:34+00:00,2003-11-29 12:56:16+00:00,jit,label_bug,True,True,jit,0.0,1.0,0.0,0.5806451612903225,2532.0,,2239.0,inf
commons-lang,1158,579,32,1,2003-07-21 23:03:53+00:00,2003-10-21 23:23:06+00:00,2003-10-23 03:55:34+00:00,2003-11-29 12:56:16+00:00,static,label_bug,True,True,static,0.0,0.9677419354838709,0.18181818181818182,0.8064516129032258,2532.0,,inf,1558.0
commons-lang,1158,579,32,1,2003-07-21 23:03:53+00:00,2003-10-21 23:23:06+00:00,2003-10-23 03:55:34+00:00,2003-11-29 12:56:16+00:00,pmd,label_bug,True,True,pmd,0.0,0.6451612903225806,0.0,0.6129032258064516,2532.0,,957.0,inf
commons-lang,1158,579,32,1,2003-07-21 23:03:53+00:00,2003-10-21 23:23:06+00:00,2003-10-23 03:55:34+00:00,2003-11-29 12:56:16+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.9354838709677419,0.11764705882352941,0.6774193548387097,2527.0,inf,inf,718.0
commons-lang,790,395,53,12,2003-11-29 13:13:32+00:00,2004-08-30 21:21:18+00:00,2004-09-01 17:40:55+00:00,2004-10-02 01:40:30+00:00,jit,label_adhoc,True,True,jit,0.43478260869565216,0.6747967479674797,0.5294117647058824,0.7378048780487805,123.0,66.14285714285714,320.0,63.5
commons-lang,790,395,53,12,2003-11-29 13:13:32+00:00,2004-08-30 21:21:18+00:00,2004-09-01 17:40:55+00:00,2004-10-02 01:40:30+00:00,static,label_adhoc,True,True,static,0.4166666666666667,0.5904471544715447,0.32432432432432434,0.45121951219512196,85.8,87.66666666666667,78.75,91.42857142857143
commons-lang,790,395,53,12,2003-11-29 13:13:32+00:00,2004-08-30 21:21:18+00:00,2004-09-01 17:40:55+00:00,2004-10-02 01:40:30+00:00,pmd,label_adhoc,True,True,pmd,0.5599999999999999,0.6646341463414633,0.4,0.5833333333333334,146.0,53.0,92.25,83.71428571428571
commons-lang,790,395,53,12,2003-11-29 13:13:32+00:00,2004-08-30 21:21:18+00:00,2004-09-01 17:40:55+00:00,2004-10-02 01:40:30+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4166666666666667,0.7378048780487805,0.3529411764705882,0.5914634146341463,89.75,85.14285714285714,85.5,87.57142857142857
commons-lang,934,467,53,3,2003-11-29 13:13:32+00:00,2004-08-30 21:21:18+00:00,2004-09-01 17:40:55+00:00,2004-10-02 01:40:30+00:00,jit,label_bug,True,True,jit,0.0,0.9133333333333333,0.25,0.9199999999999999,472.5,inf,inf,314.5
commons-lang,934,467,53,3,2003-11-29 13:13:32+00:00,2004-08-30 21:21:18+00:00,2004-09-01 17:40:55+00:00,2004-10-02 01:40:30+00:00,static,label_bug,True,True,static,0.8,0.9866666666666667,0.2727272727272727,0.8200000000000001,772.0,183.0,inf,265.0
commons-lang,934,467,53,3,2003-11-29 13:13:32+00:00,2004-08-30 21:21:18+00:00,2004-09-01 17:40:55+00:00,2004-10-02 01:40:30+00:00,pmd,label_bug,True,True,pmd,0.0,0.9333333333333333,0.2857142857142857,0.96,477.5,,inf,175.5
commons-lang,934,467,53,3,2003-11-29 13:13:32+00:00,2004-08-30 21:21:18+00:00,2004-09-01 17:40:55+00:00,2004-10-02 01:40:30+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.99,0.2727272727272727,0.9466666666666667,477.5,,inf,300.5
commons-lang,1058,529,80,11,2004-10-02 01:46:30+00:00,2005-05-02 21:06:38+00:00,2005-05-02 21:16:58+00:00,2005-07-06 01:15:52+00:00,jit,label_adhoc,True,True,jit,0.26666666666666666,0.6976284584980238,0.3555555555555555,0.6350461133069828,200.4,420.5,169.33333333333334,259.6666666666667
commons-lang,1058,529,80,11,2004-10-02 01:46:30+00:00,2005-05-02 21:06:38+00:00,2005-05-02 21:16:58+00:00,2005-07-06 01:15:52+00:00,static,label_adhoc,True,True,static,0.39999999999999997,0.7865612648221345,0.33333333333333337,0.8880105401844531,202.5,306.25,537.0,209.8181818181818
commons-lang,1058,529,80,11,2004-10-02 01:46:30+00:00,2005-05-02 21:06:38+00:00,2005-05-02 21:16:58+00:00,2005-07-06 01:15:52+00:00,pmd,label_adhoc,True,True,pmd,0.3076923076923077,0.8662714097496707,0.38095238095238093,0.7588932806324111,258.4,130.5,131.5,289.875
