project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-net,634,317,29,2,2002-08-06 15:23:38+00:00,2003-04-19 19:56:41+00:00,2003-04-19 20:46:17+00:00,2003-06-23 12:47:39+00:00,jit,label_adhoc,True,True,jit,0.0,0.7777777777777778,0.13333333333333336,0.4814814814814815,206.2,inf,138.5,295.3333333333333
commons-net,634,317,29,2,2002-08-06 15:23:38+00:00,2003-04-19 19:56:41+00:00,2003-04-19 20:46:17+00:00,2003-06-23 12:47:39+00:00,static,label_adhoc,True,True,static,0.0,0.787037037037037,0.09999999999999999,0.5185185185185186,213.2,inf,51.5,353.3333333333333
commons-net,634,317,29,2,2002-08-06 15:23:38+00:00,2003-04-19 19:56:41+00:00,2003-04-19 20:46:17+00:00,2003-06-23 12:47:39+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.19444444444444445,0.09090909090909091,0.24074074074074076,213.6,inf,190.0,296.5
commons-net,634,317,29,2,2002-08-06 15:23:38+00:00,2003-04-19 19:56:41+00:00,2003-04-19 20:46:17+00:00,2003-06-23 12:47:39+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.6574074074074074,0.14285714285714285,0.5925925925925926,213.6,inf,170.5,274.0
commons-net,702,351,29,1,2002-08-06 15:23:38+00:00,2003-04-19 19:56:41+00:00,2003-04-19 20:46:17+00:00,2003-06-23 12:47:39+00:00,jit,label_bug,True,True,jit,0.0,0.9642857142857143,0.19999999999999998,0.9642857142857143,562.5,inf,inf,260.5
commons-net,702,351,29,1,2002-08-06 15:23:38+00:00,2003-04-19 19:56:41+00:00,2003-04-19 20:46:17+00:00,2003-06-23 12:47:39+00:00,static,label_bug,True,True,static,1.0,1.0,0.18181818181818182,1.0,inf,232.0,inf,252.0
commons-net,702,351,29,1,2002-08-06 15:23:38+00:00,2003-04-19 19:56:41+00:00,2003-04-19 20:46:17+00:00,2003-06-23 12:47:39+00:00,pmd,label_bug,True,True,pmd,0.0,0.9642857142857143,0.15384615384615385,0.9285714285714286,581.5,,inf,320.0
commons-net,702,351,29,1,2002-08-06 15:23:38+00:00,2003-04-19 19:56:41+00:00,2003-04-19 20:46:17+00:00,2003-06-23 12:47:39+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,1.0,0.18181818181818182,0.9642857142857143,581.5,,inf,271.0
commons-net,358,179,264,8,2003-07-15 01:52:40+00:00,2004-01-01 21:04:22+00:00,2004-01-01 21:31:21+00:00,2004-02-08 11:26:59+00:00,jit,label_adhoc,True,True,jit,0.0,0.781494140625,0.11650485436893204,0.83935546875,658.3,inf,529.0,693.625
commons-net,358,179,264,8,2003-07-15 01:52:40+00:00,2004-01-01 21:04:22+00:00,2004-01-01 21:31:21+00:00,2004-02-08 11:26:59+00:00,static,label_adhoc,True,True,static,0.1,0.822265625,0.08450704225352113,0.70751953125,592.75,932.5,1333.0,492.625
commons-net,358,179,264,8,2003-07-15 01:52:40+00:00,2004-01-01 21:04:22+00:00,2004-01-01 21:31:21+00:00,2004-02-08 11:26:59+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.651611328125,0.027972027972027972,0.4091796875,615.3,inf,506.2857142857143,1021.0
commons-net,358,179,264,8,2003-07-15 01:52:40+00:00,2004-01-01 21:04:22+00:00,2004-01-01 21:31:21+00:00,2004-02-08 11:26:59+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.86669921875,0.12389380530973451,0.857421875,642.9,inf,2039.0,507.55555555555554
commons-net,364,182,264,1,2003-07-15 01:52:40+00:00,2004-01-01 21:04:22+00:00,2004-01-01 21:31:21+00:00,2004-02-08 11:26:59+00:00,jit,label_bug,True,True,jit,0.0,0.7338403041825096,0.0,0.6768060836501901,1651.75,,593.5,inf
commons-net,364,182,264,1,2003-07-15 01:52:40+00:00,2004-01-01 21:04:22+00:00,2004-01-01 21:31:21+00:00,2004-02-08 11:26:59+00:00,static,label_bug,True,True,static,0.0,0.9885931558935361,0.013513513513513513,0.9923954372623575,1651.75,,inf,781.0
commons-net,364,182,264,1,2003-07-15 01:52:40+00:00,2004-01-01 21:04:22+00:00,2004-01-01 21:31:21+00:00,2004-02-08 11:26:59+00:00,pmd,label_bug,True,True,pmd,0.0,0.8612167300380228,0.0,0.21292775665399244,1581.5,inf,710.25,inf
commons-net,364,182,264,1,2003-07-15 01:52:40+00:00,2004-01-01 21:04:22+00:00,2004-01-01 21:31:21+00:00,2004-02-08 11:26:59+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.9695817490494296,0.01941747572815534,0.935361216730038,1651.75,,inf,1112.5
commons-net,126,63,10,2,2004-09-14 01:47:17+00:00,2005-01-02 03:28:13+00:00,2005-01-02 15:50:15+00:00,2005-02-05 12:48:48+00:00,jit,label_adhoc,True,True,jit,0.6666666666666666,1.0,0.5714285714285715,1.0,511.0,inf,inf,659.0
commons-net,126,63,10,2,2004-09-14 01:47:17+00:00,2005-01-02 03:28:13+00:00,2005-01-02 15:50:15+00:00,2005-02-05 12:48:48+00:00,static,label_adhoc,True,True,static,0.6666666666666666,1.0,0.6666666666666666,1.0,511.0,inf,inf,572.0
commons-net,126,63,10,2,2004-09-14 01:47:17+00:00,2005-01-02 03:28:13+00:00,2005-01-02 15:50:15+00:00,2005-02-05 12:48:48+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.75,0.28571428571428575,0.375,708.0,inf,363.0,inf
commons-net,126,63,10,2,2004-09-14 01:47:17+00:00,2005-01-02 03:28:13+00:00,2005-01-02 15:50:15+00:00,2005-02-05 12:48:48+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6666666666666666,1.0,0.5714285714285715,1.0,511.0,inf,inf,585.0
commons-net,498,249,258,1,2005-02-05 12:56:14+00:00,2006-01-28 14:14:29+00:00,2006-01-28 17:51:49+00:00,2006-04-17 16:08:55+00:00,jit,label_adhoc,True,True,jit,0.0,0.9883268482490272,0.07999999999999999,0.9961089494163424,59260.0,inf,inf,13337.0
commons-net,498,249,258,1,2005-02-05 12:56:14+00:00,2006-01-28 14:14:29+00:00,2006-01-28 17:51:49+00:00,2006-04-17 16:08:55+00:00,static,label_adhoc,True,True,static,0.0,0.2334630350194552,0.020618556701030924,0.9610894941634242,50017.0,inf,inf,26453.0
commons-net,498,249,258,1,2005-02-05 12:56:14+00:00,2006-01-28 14:14:29+00:00,2006-01-28 17:51:49+00:00,2006-04-17 16:08:55+00:00,pmd,label_adhoc,True,True,pmd,0.02173913043478261,0.6828793774319065,0.016260162601626018,0.980544747081712,inf,20122.0,inf,27250.0
commons-net,498,249,258,1,2005-02-05 12:56:14+00:00,2006-01-28 14:14:29+00:00,2006-01-28 17:51:49+00:00,2006-04-17 16:08:55+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.5408560311284047,0.018348623853211007,0.9883268482490273,51958.0,inf,inf,29667.0
commons-net,512,256,258,1,2005-02-05 12:56:14+00:00,2006-01-28 14:14:29+00:00,2006-01-28 17:51:49+00:00,2006-04-17 16:08:55+00:00,jit,label_bug,True,True,jit,0.0,0.9883268482490272,0.18181818181818182,0.9883268482490273,29774.0,inf,inf,176.0
commons-net,512,256,258,1,2005-02-05 12:56:14+00:00,2006-01-28 14:14:29+00:00,2006-01-28 17:51:49+00:00,2006-04-17 16:08:55+00:00,static,label_bug,True,True,static,0.0,0.9105058365758755,0.024999999999999998,0.9844357976653696,29775.0,inf,inf,12295.0
commons-net,512,256,258,1,2005-02-05 12:56:14+00:00,2006-01-28 14:14:29+00:00,2006-01-28 17:51:49+00:00,2006-04-17 16:08:55+00:00,pmd,label_bug,True,True,pmd,0.5,0.9941634241245135,0.02247191011235955,0.9961089494163424,inf,134.0,inf,14795.5
commons-net,512,256,258,1,2005-02-05 12:56:14+00:00,2006-01-28 14:14:29+00:00,2006-01-28 17:51:49+00:00,2006-04-17 16:08:55+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.9961089494163425,0.029411764705882353,1.0,29779.0,,inf,14377.5
commons-net,918,459,218,3,2006-04-23 16:59:49+00:00,2006-11-11 16:27:37+00:00,2006-11-11 17:46:12+00:00,2006-12-18 23:13:08+00:00,jit,label_adhoc,True,True,jit,0.0,0.9806201550387597,0.17647058823529413,0.9922480620155039,1110.3333333333333,,inf,424.6666666666667
commons-net,918,459,218,3,2006-04-23 16:59:49+00:00,2006-11-11 16:27:37+00:00,2006-11-11 17:46:12+00:00,2006-12-18 23:13:08+00:00,static,label_adhoc,True,True,static,0.3333333333333333,0.9248062015503875,0.0821917808219178,0.8310077519379845,1635.5,60.0,inf,351.0
commons-net,918,459,218,3,2006-04-23 16:59:49+00:00,2006-11-11 16:27:37+00:00,2006-11-11 17:46:12+00:00,2006-12-18 23:13:08+00:00,pmd,label_adhoc,True,True,pmd,0.16666666666666666,0.43488372093023253,0.015625,0.27286821705426356,1606.0,119.0,748.5,1834.0
