project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-validator,1044,522,79,10,2004-10-04 03:54:46+00:00,2007-10-25 20:54:00+00:00,2007-10-25 21:09:57+00:00,2007-12-02 03:39:09+00:00,jit,label_adhoc,True,True,jit,0.41666666666666663,0.7811594202898551,0.33333333333333337,0.7811594202898551,393.8333333333333,739.0,704.0,484.5
commons-validator,1044,522,79,10,2004-10-04 03:54:46+00:00,2007-10-25 20:54:00+00:00,2007-10-25 21:09:57+00:00,2007-12-02 03:39:09+00:00,static,label_adhoc,True,True,static,0.30769230769230765,0.7891304347826088,0.1509433962264151,0.40724637681159426,629.8571428571429,85.5,332.6,729.25
commons-validator,1044,522,79,10,2004-10-04 03:54:46+00:00,2007-10-25 20:54:00+00:00,2007-10-25 21:09:57+00:00,2007-12-02 03:39:09+00:00,pmd,label_adhoc,True,True,pmd,0.18181818181818182,0.6601449275362319,0.3,0.5826086956521738,564.75,62.0,743.75,321.0
commons-validator,1044,522,79,10,2004-10-04 03:54:46+00:00,2007-10-25 20:54:00+00:00,2007-10-25 21:09:57+00:00,2007-12-02 03:39:09+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4210526315789474,0.7956521739130435,0.23809523809523808,0.5434782608695652,717.4,248.25,257.4,823.25
commons-validator,1160,580,79,10,2004-10-04 03:54:46+00:00,2007-10-25 20:54:00+00:00,2007-10-25 21:09:57+00:00,2007-12-02 03:39:09+00:00,jit,label_bug,True,True,jit,0.0,0.3543478260869565,0.3829787234042553,0.7637681159420289,305.3333333333333,,1786.0,199.57142857142858
commons-validator,1160,580,79,10,2004-10-04 03:54:46+00:00,2007-10-25 20:54:00+00:00,2007-10-25 21:09:57+00:00,2007-12-02 03:39:09+00:00,static,label_bug,True,True,static,0.0,0.6942028985507247,0.2978723404255319,0.7166666666666667,305.3333333333333,,529.3333333333334,156.0
commons-validator,1160,580,79,10,2004-10-04 03:54:46+00:00,2007-10-25 20:54:00+00:00,2007-10-25 21:09:57+00:00,2007-12-02 03:39:09+00:00,pmd,label_bug,True,True,pmd,0.18181818181818182,0.7659420289855073,0.35,0.727536231884058,322.7142857142857,62.0,545.8571428571429,94.875
commons-validator,1160,580,79,10,2004-10-04 03:54:46+00:00,2007-10-25 20:54:00+00:00,2007-10-25 21:09:57+00:00,2007-12-02 03:39:09+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7079710144927536,0.391304347826087,0.7565217391304347,305.3333333333333,,1386.0,139.07692307692307
commons-validator,300,150,7,2,2008-03-02 21:05:44+00:00,2011-05-27 20:39:42+00:00,2011-05-27 21:04:29+00:00,2011-10-22 06:31:53+00:00,jit,label_adhoc,True,True,jit,0.0,0.7,0.4,0.8,75.0,,60.0,90.0
commons-validator,300,150,7,2,2008-03-02 21:05:44+00:00,2011-05-27 20:39:42+00:00,2011-05-27 21:04:29+00:00,2011-10-22 06:31:53+00:00,static,label_adhoc,True,True,static,0.0,0.7,0.3333333333333333,0.6,75.0,,59.0,91.0
commons-validator,300,150,7,2,2008-03-02 21:05:44+00:00,2011-05-27 20:39:42+00:00,2011-05-27 21:04:29+00:00,2011-10-22 06:31:53+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.5,0.3333333333333333,0.3,72.5,inf,57.0,93.0
commons-validator,300,150,7,2,2008-03-02 21:05:44+00:00,2011-05-27 20:39:42+00:00,2011-05-27 21:04:29+00:00,2011-10-22 06:31:53+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.7,0.4,0.5,75.0,,61.0,89.0
commons-validator,652,326,98,10,2011-10-22 06:57:52+00:00,2015-01-03 21:35:43+00:00,2015-01-04 03:13:09+00:00,2015-03-18 10:20:51+00:00,jit,label_adhoc,True,True,jit,0.0,0.61875,0.24,0.5795454545454546,332.25,,190.33333333333334,758.0
commons-validator,652,326,98,10,2011-10-22 06:57:52+00:00,2015-01-03 21:35:43+00:00,2015-01-04 03:13:09+00:00,2015-03-18 10:20:51+00:00,static,label_adhoc,True,True,static,0.0,0.5056818181818182,0.1509433962264151,0.4096590909090909,328.0,inf,202.66666666666666,721.0
commons-validator,652,326,98,10,2011-10-22 06:57:52+00:00,2015-01-03 21:35:43+00:00,2015-01-04 03:13:09+00:00,2015-03-18 10:20:51+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.34090909090909094,0.25,0.6488636363636363,332.25,,291.5,373.0
