project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
commons-vfs,1974,987,325,83,2002-10-20 03:14:05+00:00,2004-05-03 19:48:49+00:00,2004-05-07 19:09:56+00:00,2004-06-15 19:26:21+00:00,jit,label_adhoc,True,True,jit,0.5870646766169154,0.73956984964652,0.5206611570247934,0.7476351687742706,357.09090909090907,205.53333333333333,511.55555555555554,171.5625
commons-vfs,1974,987,325,83,2002-10-20 03:14:05+00:00,2004-05-03 19:48:49+00:00,2004-05-07 19:09:56+00:00,2004-06-15 19:26:21+00:00,static,label_adhoc,True,True,static,0.49751243781094523,0.7704371203823558,0.543103448275862,0.7453948023498955,385.64285714285717,173.88888888888889,378.9166666666667,191.27586206896552
commons-vfs,1974,987,325,83,2002-10-20 03:14:05+00:00,2004-05-03 19:48:49+00:00,2004-05-07 19:09:56+00:00,2004-06-15 19:26:21+00:00,pmd,label_adhoc,True,True,pmd,0.38509316770186336,0.6799014238773274,0.5164319248826291,0.7189584785422682,279.3076923076923,188.8,305.0,195.4090909090909
commons-vfs,1974,987,325,83,2002-10-20 03:14:05+00:00,2004-05-03 19:48:49+00:00,2004-05-07 19:09:56+00:00,2004-06-15 19:26:21+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5368421052631579,0.8032709349795878,0.5416666666666666,0.7756148561186896,497.1818181818182,154.16666666666666,671.7142857142857,158.58823529411765
commons-vfs,2666,1333,325,13,2002-10-20 03:14:05+00:00,2004-05-03 19:48:49+00:00,2004-05-07 19:09:56+00:00,2004-06-15 19:26:21+00:00,jit,label_bug,True,True,jit,0.0,0.6715976331360947,0.12173913043478261,0.6264792899408284,654.4666666666667,inf,744.0,625.5555555555555
commons-vfs,2666,1333,325,13,2002-10-20 03:14:05+00:00,2004-05-03 19:48:49+00:00,2004-05-07 19:09:56+00:00,2004-06-15 19:26:21+00:00,static,label_bug,True,True,static,0.0,0.7066074950690335,0.11428571428571428,0.6119329388560159,669.1333333333333,inf,913.1428571428571,462.75
commons-vfs,2666,1333,325,13,2002-10-20 03:14:05+00:00,2004-05-03 19:48:49+00:00,2004-05-07 19:09:56+00:00,2004-06-15 19:26:21+00:00,pmd,label_bug,True,True,pmd,0.2,0.610207100591716,0.06282722513089006,0.472016765285996,743.4615384615385,214.5,678.375,666.7142857142857
commons-vfs,2666,1333,325,13,2002-10-20 03:14:05+00:00,2004-05-03 19:48:49+00:00,2004-05-07 19:09:56+00:00,2004-06-15 19:26:21+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7752712031558185,0.09302325581395349,0.589250493096647,672.9333333333333,,670.1111111111111,677.1666666666666
commons-vfs,130,65,48,25,2004-06-15 20:17:16+00:00,2004-09-20 11:31:53+00:00,2004-09-20 11:32:42+00:00,2004-11-08 21:07:44+00:00,jit,label_adhoc,True,True,jit,0.6274509803921569,0.7060869565217391,0.6666666666666666,0.5399999999999999,25.272727272727273,177.53846153846155,54.55555555555556,139.66666666666666
commons-vfs,130,65,48,25,2004-06-15 20:17:16+00:00,2004-09-20 11:31:53+00:00,2004-09-20 11:32:42+00:00,2004-11-08 21:07:44+00:00,static,label_adhoc,True,True,static,0.68,0.7173913043478259,0.5909090909090909,0.571304347826087,43.1,153.92857142857142,96.8,115.57142857142857
commons-vfs,130,65,48,25,2004-06-15 20:17:16+00:00,2004-09-20 11:31:53+00:00,2004-09-20 11:32:42+00:00,2004-11-08 21:07:44+00:00,pmd,label_adhoc,True,True,pmd,0.39024390243902435,0.47304347826086957,0.41860465116279066,0.4147826086956522,89.07692307692308,129.8181818181818,87.46153846153847,131.72727272727272
commons-vfs,130,65,48,25,2004-06-15 20:17:16+00:00,2004-09-20 11:31:53+00:00,2004-09-20 11:32:42+00:00,2004-11-08 21:07:44+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6538461538461539,0.6286956521739131,0.5116279069767442,0.6226086956521739,39.875,141.6875,75.23076923076923,146.1818181818182
commons-vfs,222,111,48,2,2004-06-15 20:17:16+00:00,2004-09-20 11:31:53+00:00,2004-09-20 11:32:42+00:00,2004-11-08 21:07:44+00:00,jit,label_bug,True,True,jit,0.0,0.842391304347826,0.2666666666666667,0.9021739130434783,646.5,,inf,253.5
commons-vfs,222,111,48,2,2004-06-15 20:17:16+00:00,2004-09-20 11:31:53+00:00,2004-09-20 11:32:42+00:00,2004-11-08 21:07:44+00:00,static,label_bug,True,True,static,0.0,0.7608695652173914,0.18181818181818182,0.782608695652174,646.5,,inf,333.0
commons-vfs,222,111,48,2,2004-06-15 20:17:16+00:00,2004-09-20 11:31:53+00:00,2004-09-20 11:32:42+00:00,2004-11-08 21:07:44+00:00,pmd,label_bug,True,True,pmd,0.0,0.5217391304347826,0.3636363636363636,0.8804347826086956,624.25,inf,inf,207.0
commons-vfs,222,111,48,2,2004-06-15 20:17:16+00:00,2004-09-20 11:31:53+00:00,2004-09-20 11:32:42+00:00,2004-11-08 21:07:44+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.717391304347826,0.16,0.9347826086956522,646.5,,inf,446.75
commons-vfs,548,274,16,6,2004-11-18 17:57:30+00:00,2005-03-25 19:43:39+00:00,2005-03-30 23:11:40+00:00,2005-05-12 20:09:06+00:00,jit,label_adhoc,True,True,jit,1.0,1.0,0.6666666666666666,0.8833333333333333,inf,35.90909090909091,97.5,41.111111111111114
commons-vfs,548,274,16,6,2004-11-18 17:57:30+00:00,2005-03-25 19:43:39+00:00,2005-03-30 23:11:40+00:00,2005-05-12 20:09:06+00:00,static,label_adhoc,True,True,static,1.0,1.0,0.8571428571428571,0.9833333333333334,inf,35.90909090909091,inf,36.90909090909091
commons-vfs,548,274,16,6,2004-11-18 17:57:30+00:00,2005-03-25 19:43:39+00:00,2005-03-30 23:11:40+00:00,2005-05-12 20:09:06+00:00,pmd,label_adhoc,True,True,pmd,0.5,0.5833333333333333,0.4615384615384615,0.6666666666666667,59.0,17.0,31.0,75.8
commons-vfs,548,274,16,6,2004-11-18 17:57:30+00:00,2005-03-25 19:43:39+00:00,2005-03-30 23:11:40+00:00,2005-05-12 20:09:06+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,1.0,1.0,0.9090909090909091,0.9833333333333334,inf,35.90909090909091,185.0,38.0
commons-vfs,656,328,16,2,2004-11-18 17:57:30+00:00,2005-03-25 19:43:39+00:00,2005-03-30 23:11:40+00:00,2005-05-12 20:09:06+00:00,jit,label_bug,True,True,jit,0.6666666666666666,1.0,0.0,0.4642857142857143,536.0,14.5,121.66666666666667,inf
commons-vfs,656,328,16,2,2004-11-18 17:57:30+00:00,2005-03-25 19:43:39+00:00,2005-03-30 23:11:40+00:00,2005-05-12 20:09:06+00:00,static,label_bug,True,True,static,0.5,0.5178571428571428,0.28571428571428575,0.8214285714285714,413.0,76.0,393.0,86.0
commons-vfs,656,328,16,2,2004-11-18 17:57:30+00:00,2005-03-25 19:43:39+00:00,2005-03-30 23:11:40+00:00,2005-05-12 20:09:06+00:00,pmd,label_bug,True,True,pmd,0.0,0.6964285714285714,0.5,0.75,188.33333333333334,,inf,66.33333333333333
commons-vfs,656,328,16,2,2004-11-18 17:57:30+00:00,2005-03-25 19:43:39+00:00,2005-03-30 23:11:40+00:00,2005-05-12 20:09:06+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.625,0.4444444444444445,0.8571428571428571,188.33333333333334,,inf,126.0
commons-vfs,656,328,41,16,2005-05-12 20:35:11+00:00,2005-08-13 05:23:40+00:00,2005-08-13 05:51:55+00:00,2005-09-15 05:40:30+00:00,jit,label_adhoc,True,True,jit,0.3076923076923077,0.50875,0.8275862068965517,0.9025000000000001,41.57142857142857,46.5,144.5,29.9375
commons-vfs,656,328,41,16,2005-05-12 20:35:11+00:00,2005-08-13 05:23:40+00:00,2005-08-13 05:51:55+00:00,2005-09-15 05:40:30+00:00,static,label_adhoc,True,True,static,0.7027027027027026,0.77375,0.8275862068965517,0.8624999999999999,56.5,38.714285714285715,90.33333333333333,33.13333333333333
commons-vfs,656,328,41,16,2005-05-12 20:35:11+00:00,2005-08-13 05:23:40+00:00,2005-08-13 05:51:55+00:00,2005-09-15 05:40:30+00:00,pmd,label_adhoc,True,True,pmd,0.5,0.5037499999999999,0.5454545454545454,0.625,38.0,47.333333333333336,33.77777777777778,51.55555555555556
commons-vfs,656,328,41,16,2005-05-12 20:35:11+00:00,2005-08-13 05:23:40+00:00,2005-08-13 05:51:55+00:00,2005-09-15 05:40:30+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.7272727272727272,0.78125,0.8275862068965517,0.8400000000000001,63.25,36.785714285714285,68.0,35.42857142857143
commons-vfs,740,370,41,2,2005-05-12 20:35:11+00:00,2005-08-13 05:23:40+00:00,2005-08-13 05:51:55+00:00,2005-09-15 05:40:30+00:00,jit,label_bug,True,True,jit,0.0,0.9935897435897436,0.3076923076923077,0.9743589743589743,256.0,,inf,95.33333333333333
commons-vfs,740,370,41,2,2005-05-12 20:35:11+00:00,2005-08-13 05:23:40+00:00,2005-08-13 05:51:55+00:00,2005-09-15 05:40:30+00:00,static,label_bug,True,True,static,0.6666666666666666,0.8782051282051282,0.09090909090909091,0.641025641025641,744.0,12.0,429.0,169.5
commons-vfs,740,370,41,2,2005-05-12 20:35:11+00:00,2005-08-13 05:23:40+00:00,2005-08-13 05:51:55+00:00,2005-09-15 05:40:30+00:00,pmd,label_bug,True,True,pmd,0.6666666666666666,0.9743589743589743,0.09523809523809525,0.5,744.0,12.0,398.0,185.0
commons-vfs,740,370,41,2,2005-05-12 20:35:11+00:00,2005-08-13 05:23:40+00:00,2005-08-13 05:51:55+00:00,2005-09-15 05:40:30+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.6666666666666666,1.0,0.11764705882352941,0.8205128205128205,744.0,12.0,400.0,184.0
commons-vfs,88,44,29,16,2005-09-30 07:02:41+00:00,2006-02-01 14:59:11+00:00,2006-02-17 11:51:44+00:00,2006-03-29 06:23:53+00:00,jit,label_adhoc,True,True,jit,0.717948717948718,0.8533653846153847,0.5294117647058824,0.6298076923076923,22.333333333333332,168.84615384615384,39.25,175.41666666666666
commons-vfs,88,44,29,16,2005-09-30 07:02:41+00:00,2006-02-01 14:59:11+00:00,2006-02-17 11:51:44+00:00,2006-03-29 06:23:53+00:00,static,label_adhoc,True,True,static,0.8484848484848485,0.8197115384615385,0.6666666666666666,0.6730769230769231,27.0,157.71428571428572,54.333333333333336,193.6
commons-vfs,88,44,29,16,2005-09-30 07:02:41+00:00,2006-02-01 14:59:11+00:00,2006-02-17 11:51:44+00:00,2006-03-29 06:23:53+00:00,pmd,label_adhoc,True,True,pmd,0.21052631578947367,0.6298076923076923,0.5625,0.5096153846153846,149.73333333333332,16.0,131.44444444444446,154.14285714285714
commons-vfs,88,44,29,16,2005-09-30 07:02:41+00:00,2006-02-01 14:59:11+00:00,2006-02-17 11:51:44+00:00,2006-03-29 06:23:53+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.823529411764706,0.8221153846153846,0.4615384615384615,0.5240384615384615,18.5,158.92857142857142,89.71428571428571,181.55555555555554
commons-vfs,134,67,29,2,2005-09-30 07:02:41+00:00,2006-02-01 14:59:11+00:00,2006-02-17 11:51:44+00:00,2006-03-29 06:23:53+00:00,jit,label_bug,True,True,jit,0.0,0.2037037037037037,0.25,0.8518518518518519,754.0,,inf,696.6666666666666
commons-vfs,134,67,29,2,2005-09-30 07:02:41+00:00,2006-02-01 14:59:11+00:00,2006-02-17 11:51:44+00:00,2006-03-29 06:23:53+00:00,static,label_bug,True,True,static,0.0,0.8055555555555556,0.3636363636363636,0.9444444444444444,446.6666666666667,inf,inf,626.0
commons-vfs,134,67,29,2,2005-09-30 07:02:41+00:00,2006-02-01 14:59:11+00:00,2006-02-17 11:51:44+00:00,2006-03-29 06:23:53+00:00,pmd,label_bug,True,True,pmd,0.0,0.7222222222222223,0.16666666666666669,0.6666666666666667,754.0,,535.5,1191.0
commons-vfs,134,67,29,2,2005-09-30 07:02:41+00:00,2006-02-01 14:59:11+00:00,2006-02-17 11:51:44+00:00,2006-03-29 06:23:53+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.8333333333333333,0.4,0.9259259259259259,565.3333333333334,inf,inf,625.3333333333334
commons-vfs,134,67,36,19,2006-03-29 06:29:53+00:00,2006-07-27 13:07:39+00:00,2006-08-05 23:49:49+00:00,2006-10-02 18:49:41+00:00,jit,label_adhoc,True,True,jit,0.6153846153846154,0.7554179566563468,0.5714285714285714,0.6439628482972136,18.5,1076.8,424.2,834.25
commons-vfs,134,67,36,19,2006-03-29 06:29:53+00:00,2006-07-27 13:07:39+00:00,2006-08-05 23:49:49+00:00,2006-10-02 18:49:41+00:00,static,label_adhoc,True,True,static,0.7142857142857143,0.6795665634674922,0.6153846153846154,0.653250773993808,28.333333333333332,895.5,71.8,1274.75
commons-vfs,134,67,36,19,2006-03-29 06:29:53+00:00,2006-07-27 13:07:39+00:00,2006-08-05 23:49:49+00:00,2006-10-02 18:49:41+00:00,pmd,label_adhoc,True,True,pmd,0.7346938775510204,0.7554179566563467,0.6153846153846154,0.5913312693498451,32.0,770.5714285714286,26.4,1331.5
commons-vfs,134,67,36,19,2006-03-29 06:29:53+00:00,2006-07-27 13:07:39+00:00,2006-08-05 23:49:49+00:00,2006-10-02 18:49:41+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6153846153846154,0.6934984520123839,0.631578947368421,0.5696594427244581,25.0,1071.6,27.0,1070.0
commons-vfs,208,104,36,1,2006-03-29 06:29:53+00:00,2006-07-27 13:07:39+00:00,2006-08-05 23:49:49+00:00,2006-10-02 18:49:41+00:00,jit,label_bug,True,True,jit,0.0,0.6857142857142857,0.11764705882352941,0.9428571428571428,5458.0,,inf,4745.0
commons-vfs,208,104,36,1,2006-03-29 06:29:53+00:00,2006-07-27 13:07:39+00:00,2006-08-05 23:49:49+00:00,2006-10-02 18:49:41+00:00,static,label_bug,True,True,static,0.0,0.7,0.0,0.3142857142857143,5458.0,,2139.0,inf
commons-vfs,208,104,36,1,2006-03-29 06:29:53+00:00,2006-07-27 13:07:39+00:00,2006-08-05 23:49:49+00:00,2006-10-02 18:49:41+00:00,pmd,label_bug,True,True,pmd,0.0,0.5428571428571429,0.0,0.11428571428571432,5458.0,,4913.0,inf
commons-vfs,208,104,36,1,2006-03-29 06:29:53+00:00,2006-07-27 13:07:39+00:00,2006-08-05 23:49:49+00:00,2006-10-02 18:49:41+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.6714285714285714,0.125,0.6857142857142857,5458.0,,inf,4278.0
commons-vfs,1596,798,10,3,2006-10-02 19:10:50+00:00,2007-01-16 12:54:32+00:00,2007-01-16 14:48:22+00:00,2007-03-19 19:41:43+00:00,jit,label_adhoc,True,True,jit,0.8571428571428571,0.8571428571428571,0.28571428571428575,0.3333333333333333,inf,44.0,23.0,156.0
commons-vfs,1596,798,10,3,2006-10-02 19:10:50+00:00,2007-01-16 12:54:32+00:00,2007-01-16 14:48:22+00:00,2007-03-19 19:41:43+00:00,static,label_adhoc,True,True,static,0.8,0.7619047619047619,0.2222222222222222,0.23809523809523814,167.0,19.333333333333332,36.666666666666664,115.0
commons-vfs,1596,798,10,3,2006-10-02 19:10:50+00:00,2007-01-16 12:54:32+00:00,2007-01-16 14:48:22+00:00,2007-03-19 19:41:43+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.42857142857142855,0.25,0.38095238095238093,56.25,,37.0,114.0
commons-vfs,1596,798,10,3,2006-10-02 19:10:50+00:00,2007-01-16 12:54:32+00:00,2007-01-16 14:48:22+00:00,2007-03-19 19:41:43+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.8,0.8333333333333334,0.2222222222222222,0.2857142857142857,167.0,19.333333333333332,36.666666666666664,115.0
commons-vfs,60,30,41,13,2007-03-19 19:47:13+00:00,2007-06-27 07:43:53+00:00,2007-08-01 22:56:34+00:00,2008-05-24 11:25:36+00:00,jit,label_adhoc,True,True,jit,0.3225806451612903,0.5563186813186813,0.64,0.7843406593406593,60.375,236.0,56.4,134.6
