project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
deltaspike,1938,969,554,57,2012-03-28 23:19:18+02:00,2012-06-29 15:03:50+02:00,2012-07-04 14:39:19+02:00,2012-08-04 15:52:26+02:00,jit,label_adhoc,True,True,jit,0.27956989247311825,0.729005612623107,0.2411764705882353,0.7029545695223975,1092.05,2201.5,1072.888888888889,1276.0
deltaspike,1938,969,554,57,2012-03-28 23:19:18+02:00,2012-06-29 15:03:50+02:00,2012-07-04 14:39:19+02:00,2012-08-04 15:52:26+02:00,static,label_adhoc,True,True,static,0.24489795918367344,0.7562038900067068,0.2621082621082621,0.7240813300857779,1201.9,1103.0,1730.375,885.7857142857143
deltaspike,1938,969,554,57,2012-03-28 23:19:18+02:00,2012-06-29 15:03:50+02:00,2012-07-04 14:39:19+02:00,2012-08-04 15:52:26+02:00,pmd,label_adhoc,True,True,pmd,0.11764705882352941,0.544424441385153,0.25146198830409355,0.6118465177027075,1170.2,1420.0,1427.0,958.8181818181819
deltaspike,1938,969,554,57,2012-03-28 23:19:18+02:00,2012-06-29 15:03:50+02:00,2012-07-04 14:39:19+02:00,2012-08-04 15:52:26+02:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.16,0.7793956722792897,0.25,0.6891171590949204,1187.75,1244.5,1415.8,1007.1666666666666
deltaspike,2026,1013,554,18,2012-03-28 23:19:18+02:00,2012-06-29 15:03:50+02:00,2012-07-04 14:39:19+02:00,2012-08-04 15:52:26+02:00,jit,label_bug,True,True,jit,0.0,0.7495854063018242,0.08727272727272728,0.6372305140961857,2071.0833333333335,inf,2345.4,2073.8571428571427
deltaspike,2026,1013,554,18,2012-03-28 23:19:18+02:00,2012-06-29 15:03:50+02:00,2012-07-04 14:39:19+02:00,2012-08-04 15:52:26+02:00,static,label_bug,True,True,static,0.14545454545454545,0.8484660033167496,0.12167300380228138,0.7836857379767828,2627.5555555555557,865.3333333333334,8064.0,1011.6
deltaspike,2026,1013,554,18,2012-03-28 23:19:18+02:00,2012-06-29 15:03:50+02:00,2012-07-04 14:39:19+02:00,2012-08-04 15:52:26+02:00,pmd,label_bug,True,True,pmd,0.02325581395348837,0.5694962686567164,0.05245901639344263,0.501969320066335,2011.3636363636363,4119.0,2088.4285714285716,2325.0
deltaspike,2026,1013,554,18,2012-03-28 23:19:18+02:00,2012-06-29 15:03:50+02:00,2012-07-04 14:39:19+02:00,2012-08-04 15:52:26+02:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.14285714285714285,0.8503316749585407,0.09411764705882351,0.644278606965174,2248.7272727272725,1508.0,3043.6,1575.142857142857
deltaspike,624,312,93,17,2012-08-04 16:16:27+02:00,2012-11-05 12:17:44+01:00,2012-11-05 17:05:52+01:00,2012-12-17 01:16:55+01:00,jit,label_adhoc,True,True,jit,0.0,0.8719040247678019,0.35555555555555557,0.6609907120743034,316.7,,184.42857142857142,625.3333333333334
deltaspike,624,312,93,17,2012-08-04 16:16:27+02:00,2012-11-05 12:17:44+01:00,2012-11-05 17:05:52+01:00,2012-12-17 01:16:55+01:00,static,label_adhoc,True,True,static,0.2,0.7345201238390093,0.3137254901960785,0.49419504643962847,308.4,inf,335.8,297.6
deltaspike,624,312,93,17,2012-08-04 16:16:27+02:00,2012-11-05 12:17:44+01:00,2012-11-05 17:05:52+01:00,2012-12-17 01:16:55+01:00,pmd,label_adhoc,True,True,pmd,0.0,0.5704334365325078,0.2608695652173913,0.41408668730650156,316.5,inf,299.0,328.5
deltaspike,624,312,93,17,2012-08-04 16:16:27+02:00,2012-11-05 12:17:44+01:00,2012-11-05 17:05:52+01:00,2012-12-17 01:16:55+01:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.38095238095238093,0.8204334365325077,0.37037037037037035,0.5487616099071209,353.625,169.0,305.0,324.5
deltaspike,686,343,93,4,2012-08-04 16:16:27+02:00,2012-11-05 12:17:44+01:00,2012-11-05 17:05:52+01:00,2012-12-17 01:16:55+01:00,jit,label_bug,True,True,jit,0.0,0.8398876404494382,0.0,0.38202247191011235,1055.6666666666667,,376.0,inf
deltaspike,686,343,93,4,2012-08-04 16:16:27+02:00,2012-11-05 12:17:44+01:00,2012-11-05 17:05:52+01:00,2012-12-17 01:16:55+01:00,static,label_bug,True,True,static,0.5714285714285715,0.8174157303370785,0.23529411764705882,0.8679775280898876,2988.0,89.5,inf,569.0
deltaspike,686,343,93,4,2012-08-04 16:16:27+02:00,2012-11-05 12:17:44+01:00,2012-11-05 17:05:52+01:00,2012-12-17 01:16:55+01:00,pmd,label_bug,True,True,pmd,0.0,0.8089887640449438,0.0784313725490196,0.601123595505618,1055.6666666666667,,1364.0,901.5
deltaspike,686,343,93,4,2012-08-04 16:16:27+02:00,2012-11-05 12:17:44+01:00,2012-11-05 17:05:52+01:00,2012-12-17 01:16:55+01:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.3333333333333333,0.9185393258426966,0.2424242424242424,0.9213483146067415,1508.5,150.0,inf,591.0
deltaspike,516,258,318,7,2012-12-17 01:37:32+01:00,2013-03-18 22:17:23-04:00,2013-03-20 19:20:55+01:00,2013-04-21 10:54:54+02:00,jit,label_adhoc,True,True,jit,0.18181818181818182,0.846118511713367,0.0875,0.780431786862655,565.5714285714286,168.5,inf,305.77777777777777
deltaspike,516,258,318,7,2012-12-17 01:37:32+01:00,2013-03-18 22:17:23-04:00,2013-03-20 19:20:55+01:00,2013-04-21 10:54:54+02:00,static,label_adhoc,True,True,static,0.16666666666666666,0.7262287551676619,0.048484848484848485,0.5978410656867249,587.3333333333334,257.3333333333333,401.6666666666667,515.1666666666666
deltaspike,516,258,318,7,2012-12-17 01:37:32+01:00,2013-03-18 22:17:23-04:00,2013-03-20 19:20:55+01:00,2013-04-21 10:54:54+02:00,pmd,label_adhoc,True,True,pmd,0.16666666666666663,0.8523197060174552,0.09259259259259259,0.8470372071658245,754.2,131.25,1295.5,243.57142857142858
deltaspike,516,258,318,7,2012-12-17 01:37:32+01:00,2013-03-18 22:17:23-04:00,2013-03-20 19:20:55+01:00,2013-04-21 10:54:54+02:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.2105263157894737,0.7225539733578319,0.09022556390977444,0.8778135048231511,629.1666666666666,173.66666666666666,1200.0,387.0
deltaspike,550,275,318,8,2012-12-17 01:37:32+01:00,2013-03-18 22:17:23-04:00,2013-03-20 19:20:55+01:00,2013-04-21 10:54:54+02:00,jit,label_bug,True,True,jit,0.0,0.5830645161290322,0.05298013245033112,0.5391129032258064,456.0,inf,250.8,1014.0
deltaspike,550,275,318,8,2012-12-17 01:37:32+01:00,2013-03-18 22:17:23-04:00,2013-03-20 19:20:55+01:00,2013-04-21 10:54:54+02:00,static,label_bug,True,True,static,0.13333333333333333,0.9262096774193549,0.08333333333333333,0.7685483870967742,552.0,432.0,1595.0,385.85714285714283
deltaspike,550,275,318,8,2012-12-17 01:37:32+01:00,2013-03-18 22:17:23-04:00,2013-03-20 19:20:55+01:00,2013-04-21 10:54:54+02:00,pmd,label_bug,True,True,pmd,0.1904761904761905,0.630241935483871,0.052631578947368425,0.7108870967741936,702.1666666666666,41.5,1168.5,326.5
deltaspike,550,275,318,8,2012-12-17 01:37:32+01:00,2013-03-18 22:17:23-04:00,2013-03-20 19:20:55+01:00,2013-04-21 10:54:54+02:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.28571428571428575,0.9618951612903226,0.09589041095890412,0.8616935483870968,543.4285714285714,492.0,1137.0,451.2857142857143
deltaspike,974,487,74,7,2013-04-21 19:48:47+02:00,2013-08-12 15:10:26+02:00,2013-08-16 11:23:47+02:00,2013-10-13 21:03:10-04:00,jit,label_adhoc,True,True,jit,0.0,0.6321961620469082,0.09090909090909091,0.44776119402985076,469.75,,328.5,611.0
deltaspike,974,487,74,7,2013-04-21 19:48:47+02:00,2013-08-12 15:10:26+02:00,2013-08-16 11:23:47+02:00,2013-10-13 21:03:10-04:00,static,label_adhoc,True,True,static,0.0,0.49786780383795315,0.2222222222222222,0.6012793176972282,444.25,inf,462.5,477.0
deltaspike,974,487,74,7,2013-04-21 19:48:47+02:00,2013-08-12 15:10:26+02:00,2013-08-16 11:23:47+02:00,2013-10-13 21:03:10-04:00,pmd,label_adhoc,True,True,pmd,0.16666666666666666,0.45095948827292115,0.08695652173913043,0.349680170575693,513.6666666666666,338.0,520.0,419.5
deltaspike,974,487,74,7,2013-04-21 19:48:47+02:00,2013-08-12 15:10:26+02:00,2013-08-16 11:23:47+02:00,2013-10-13 21:03:10-04:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.48294243070362475,0.15384615384615383,0.47761194029850745,469.75,,191.0,inf
deltaspike,996,498,74,8,2013-04-21 19:48:47+02:00,2013-08-12 15:10:26+02:00,2013-08-16 11:23:47+02:00,2013-10-13 21:03:10-04:00,jit,label_bug,True,True,jit,0.0,0.6164772727272727,0.23255813953488372,0.5568181818181819,310.0,inf,538.0,200.75
