project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
eagle,2072,1036,1417,496,2016-01-20 14:47:24+08:00,2016-08-03 20:02:49+08:00,2016-08-03 23:24:37+08:00,2016-09-04 18:39:08+08:00,jit,label_adhoc,True,True,jit,0.6397578203834511,0.8310621782074183,0.616822429906542,0.7942005096143743,488.8196721311475,595.0,467.03333333333336,616.8363636363637
eagle,2072,1036,1417,496,2016-01-20 14:47:24+08:00,2016-08-03 20:02:49+08:00,2016-08-03 23:24:37+08:00,2016-09-04 18:39:08+08:00,static,label_adhoc,True,True,static,0.6093321134492224,0.7465456551434275,0.559576345984113,0.6940212251760008,494.38235294117646,602.7659574468086,485.56060606060606,610.2244897959183
eagle,2072,1036,1417,496,2016-01-20 14:47:24+08:00,2016-08-03 20:02:49+08:00,2016-08-03 23:24:37+08:00,2016-09-04 18:39:08+08:00,pmd,label_adhoc,True,True,pmd,0.5483870967741936,0.7821398549963223,0.5603715170278638,0.7054328219677071,450.74226804123714,1012.5555555555555,343.8169014084507,853.1136363636364
eagle,2072,1036,1417,496,2016-01-20 14:47:24+08:00,2016-08-03 20:02:49+08:00,2016-08-03 23:24:37+08:00,2016-09-04 18:39:08+08:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6988416988416989,0.8529429792301496,0.6402164111812445,0.7871013712304297,555.8490566037735,524.0,482.3965517241379,595.9473684210526
eagle,3530,1765,1417,46,2016-01-20 14:47:24+08:00,2016-08-03 20:02:49+08:00,2016-08-03 23:24:37+08:00,2016-09-04 18:39:08+08:00,jit,label_bug,True,True,jit,0.049999999999999996,0.7046506834110297,0.07957559681697612,0.6184314844765801,2190.346153846154,inf,1967.9285714285713,2866.4166666666665
eagle,3530,1765,1417,46,2016-01-20 14:47:24+08:00,2016-08-03 20:02:49+08:00,2016-08-03 23:24:37+08:00,2016-09-04 18:39:08+08:00,static,label_bug,True,True,static,0.1282051282051282,0.7858751149589318,0.10263929618768329,0.7148067104303428,2271.9615384615386,inf,3973.4444444444443,1540.4117647058824
eagle,3530,1765,1417,46,2016-01-20 14:47:24+08:00,2016-08-03 20:02:49+08:00,2016-08-03 23:24:37+08:00,2016-09-04 18:39:08+08:00,pmd,label_bug,True,True,pmd,0.12612612612612614,0.7195239907398598,0.06262626262626263,0.5686265182507214,2237.6923076923076,inf,2503.3,2307.1875
eagle,3530,1765,1417,46,2016-01-20 14:47:24+08:00,2016-08-03 20:02:49+08:00,2016-08-03 23:24:37+08:00,2016-09-04 18:39:08+08:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.07142857142857142,0.7982193257856849,0.0844250363901019,0.6516665081026227,2338.346153846154,inf,2973.2,2013.5
eagle,3344,1672,173,47,2016-09-06 17:22:42+08:00,2016-12-07 11:34:22+08:00,2016-12-07 23:28:45+08:00,2017-01-09 09:54:10+08:00,jit,label_adhoc,True,True,jit,0.18749999999999997,0.6707193515704154,0.42028985507246375,0.6307835190813914,127.45833333333333,776.5,106.0,248.76923076923077
eagle,3344,1672,173,47,2016-09-06 17:22:42+08:00,2016-12-07 11:34:22+08:00,2016-12-07 23:28:45+08:00,2017-01-09 09:54:10+08:00,static,label_adhoc,True,True,static,0.38636363636363635,0.6637960148598446,0.4427480916030534,0.602499155690645,130.66666666666666,282.5,113.63636363636364,224.13333333333333
eagle,3344,1672,173,47,2016-09-06 17:22:42+08:00,2016-12-07 11:34:22+08:00,2016-12-07 23:28:45+08:00,2017-01-09 09:54:10+08:00,pmd,label_adhoc,True,True,pmd,0.18461538461538457,0.5272711921648092,0.34375,0.46757852077001016,153.5,308.75,118.06666666666666,258.27272727272725
eagle,3344,1672,173,47,2016-09-06 17:22:42+08:00,2016-12-07 11:34:22+08:00,2016-12-07 23:28:45+08:00,2017-01-09 09:54:10+08:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.37037037037037035,0.6588145896656534,0.4210526315789474,0.610435663627153,116.57894736842105,342.42857142857144,112.75,232.78571428571428
eagle,4084,2042,173,4,2016-09-06 17:22:42+08:00,2016-12-07 11:34:22+08:00,2016-12-07 23:28:45+08:00,2017-01-09 09:54:10+08:00,jit,label_bug,True,True,jit,0.0,0.6042899408284024,0.07999999999999999,0.7248520710059171,1153.0,,inf,851.25
eagle,4084,2042,173,4,2016-09-06 17:22:42+08:00,2016-12-07 11:34:22+08:00,2016-12-07 23:28:45+08:00,2017-01-09 09:54:10+08:00,static,label_bug,True,True,static,0.0,0.4755917159763314,0.07142857142857142,0.6360946745562129,996.75,inf,1753.0,953.0
eagle,4084,2042,173,4,2016-09-06 17:22:42+08:00,2016-12-07 11:34:22+08:00,2016-12-07 23:28:45+08:00,2017-01-09 09:54:10+08:00,pmd,label_bug,True,True,pmd,0.0,0.49112426035502954,0.0,0.3136094674556213,1132.75,inf,476.5,inf
eagle,4084,2042,173,4,2016-09-06 17:22:42+08:00,2016-12-07 11:34:22+08:00,2016-12-07 23:28:45+08:00,2017-01-09 09:54:10+08:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.6479289940828402,0.075,0.599112426035503,1116.0,inf,1738.0,958.0
