project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
giraph,384,192,494,208,2011-01-30 23:14:45+00:00,2011-06-28 06:38:44+00:00,2011-06-28 07:43:33+00:00,2011-08-01 00:48:08+00:00,jit,label_adhoc,True,True,jit,0.49079754601226994,0.5645928590640129,0.513064133016627,0.6848608122646584,143.0,454.55555555555554,124.73333333333333,537.8181818181819
giraph,384,192,494,208,2011-01-30 23:14:45+00:00,2011-06-28 06:38:44+00:00,2011-06-28 07:43:33+00:00,2011-08-01 00:48:08+00:00,static,label_adhoc,True,True,static,0.6593001841620626,0.7206663528778912,0.6606334841628959,0.7357702393760086,192.91666666666666,455.52,242.66666666666666,537.9375
giraph,384,192,494,208,2011-01-30 23:14:45+00:00,2011-06-28 06:38:44+00:00,2011-06-28 07:43:33+00:00,2011-08-01 00:48:08+00:00,pmd,label_adhoc,True,True,pmd,0.608695652173913,0.6486518289402905,0.5263157894736842,0.6711605701990319,234.3846153846154,444.0,248.55555555555554,699.2
giraph,384,192,494,208,2011-01-30 23:14:45+00:00,2011-06-28 06:38:44+00:00,2011-06-28 07:43:33+00:00,2011-08-01 00:48:08+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6845124282982792,0.7170605836471222,0.6852248394004282,0.7639692038730501,217.0,435.2307692307692,226.1,540.0588235294117
giraph,538,269,494,20,2011-01-30 23:14:45+00:00,2011-06-28 06:38:44+00:00,2011-06-28 07:43:33+00:00,2011-08-01 00:48:08+00:00,jit,label_bug,True,True,jit,0.0,0.6636603375527426,0.14102564102564102,0.7263713080168775,1370.3,,829.5,2181.5
giraph,538,269,494,20,2011-01-30 23:14:45+00:00,2011-06-28 06:38:44+00:00,2011-06-28 07:43:33+00:00,2011-08-01 00:48:08+00:00,static,label_bug,True,True,static,0.09523809523809523,0.7035864978902953,0.07051282051282051,0.5525316455696203,1362.7,inf,1137.3333333333333,1719.75
giraph,538,269,494,20,2011-01-30 23:14:45+00:00,2011-06-28 06:38:44+00:00,2011-06-28 07:43:33+00:00,2011-08-01 00:48:08+00:00,pmd,label_bug,True,True,pmd,0.14814814814814817,0.7192510548523205,0.09646302250803858,0.6368143459915612,1686.125,107.0,1136.0,1604.6
giraph,538,269,494,20,2011-01-30 23:14:45+00:00,2011-06-28 06:38:44+00:00,2011-06-28 07:43:33+00:00,2011-08-01 00:48:08+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7780590717299578,0.11016949152542371,0.7236286919831224,1370.3,,1311.4,1429.2
giraph,630,315,120,22,2011-08-02 05:37:30+00:00,2011-11-07 22:09:35+00:00,2011-11-11 17:43:15+00:00,2011-12-14 19:06:10+00:00,jit,label_adhoc,True,True,jit,0.0,0.6945732838589982,0.29629629629629634,0.6034322820037106,1096.1,,457.2857142857143,2586.6666666666665
giraph,630,315,120,22,2011-08-02 05:37:30+00:00,2011-11-07 22:09:35+00:00,2011-11-11 17:43:15+00:00,2011-12-14 19:06:10+00:00,static,label_adhoc,True,True,static,0.15384615384615385,0.6648886827458256,0.35443037974683544,0.5904452690166976,1298.75,285.5,883.8,1308.4
giraph,630,315,120,22,2011-08-02 05:37:30+00:00,2011-11-07 22:09:35+00:00,2011-11-11 17:43:15+00:00,2011-12-14 19:06:10+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.6616419294990724,0.3333333333333333,0.5732838589981447,1069.8,inf,669.7777777777778,4933.0
