project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
gora,190,95,13,2,2011-01-11 10:05:54+00:00,2012-01-04 17:23:26+00:00,2012-01-09 14:44:25+00:00,2012-02-15 22:54:59+00:00,jit,label_adhoc,True,True,jit,0.0,0.3181818181818182,0.0,0.36363636363636365,31.0,,11.666666666666666,inf
gora,190,95,13,2,2011-01-11 10:05:54+00:00,2012-01-04 17:23:26+00:00,2012-01-09 14:44:25+00:00,2012-02-15 22:54:59+00:00,static,label_adhoc,True,True,static,0.0,0.04545454545454547,0.4444444444444445,0.7954545454545454,17.666666666666668,inf,inf,23.0
gora,190,95,13,2,2011-01-11 10:05:54+00:00,2012-01-04 17:23:26+00:00,2012-01-09 14:44:25+00:00,2012-02-15 22:54:59+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.7954545454545454,0.0,0.04545454545454547,25.0,inf,11.666666666666666,inf
gora,190,95,13,2,2011-01-11 10:05:54+00:00,2012-01-04 17:23:26+00:00,2012-01-09 14:44:25+00:00,2012-02-15 22:54:59+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.2954545454545454,0.4444444444444445,0.7272727272727273,31.0,,inf,23.0
gora,198,99,54,4,2012-02-16 19:11:38+00:00,2012-05-18 13:06:00+00:00,2012-05-20 20:56:41+00:00,2012-07-09 12:53:52+00:00,jit,label_adhoc,True,True,jit,0.8,0.995,0.2857142857142857,0.8699999999999999,inf,241.0,776.0,614.0
gora,198,99,54,4,2012-02-16 19:11:38+00:00,2012-05-18 13:06:00+00:00,2012-05-20 20:56:41+00:00,2012-07-09 12:53:52+00:00,static,label_adhoc,True,True,static,0.0,0.9199999999999999,0.33333333333333337,0.86,646.0,inf,inf,432.0
gora,198,99,54,4,2012-02-16 19:11:38+00:00,2012-05-18 13:06:00+00:00,2012-05-20 20:56:41+00:00,2012-07-09 12:53:52+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.8049999999999999,0.12903225806451613,0.61,695.0,,358.0,inf
gora,198,99,54,4,2012-02-16 19:11:38+00:00,2012-05-18 13:06:00+00:00,2012-05-20 20:56:41+00:00,2012-07-09 12:53:52+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.9,0.16666666666666666,0.7050000000000001,695.0,,542.0,848.0
gora,210,105,54,8,2012-02-16 19:11:38+00:00,2012-05-18 13:06:00+00:00,2012-05-20 20:56:41+00:00,2012-07-09 12:53:52+00:00,jit,label_bug,True,True,jit,0.0,0.96875,0.4666666666666667,0.8423913043478262,231.66666666666666,,172.33333333333334,291.0
gora,210,105,54,8,2012-02-16 19:11:38+00:00,2012-05-18 13:06:00+00:00,2012-05-20 20:56:41+00:00,2012-07-09 12:53:52+00:00,static,label_bug,True,True,static,0.0,0.9565217391304348,0.14285714285714288,0.43478260869565216,231.66666666666666,,120.33333333333333,inf
gora,210,105,54,8,2012-02-16 19:11:38+00:00,2012-05-18 13:06:00+00:00,2012-05-20 20:56:41+00:00,2012-07-09 12:53:52+00:00,pmd,label_bug,True,True,pmd,0.0,0.7934782608695652,0.3529411764705882,0.6657608695652174,231.66666666666666,,109.66666666666667,inf
gora,210,105,54,8,2012-02-16 19:11:38+00:00,2012-05-18 13:06:00+00:00,2012-05-20 20:56:41+00:00,2012-07-09 12:53:52+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.9375,0.4999999999999999,0.8125,231.66666666666666,,662.0,145.6
gora,450,225,68,13,2012-07-09 13:11:05+00:00,2012-11-03 21:09:11+00:00,2012-11-03 21:22:02+00:00,2012-12-27 22:01:01+00:00,jit,label_adhoc,True,True,jit,0.0,0.1342657342657343,0.18181818181818185,0.6027972027972028,2166.3333333333335,inf,1446.3333333333333,inf
gora,450,225,68,13,2012-07-09 13:11:05+00:00,2012-11-03 21:09:11+00:00,2012-11-03 21:22:02+00:00,2012-12-27 22:01:01+00:00,static,label_adhoc,True,True,static,0.0,0.5,0.3902439024390244,0.5881118881118881,2228.0,inf,558.0,inf
gora,450,225,68,13,2012-07-09 13:11:05+00:00,2012-11-03 21:09:11+00:00,2012-11-03 21:22:02+00:00,2012-12-27 22:01:01+00:00,pmd,label_adhoc,True,True,pmd,0.0,0.7503496503496505,0.26666666666666666,0.5454545454545455,2188.0,inf,1015.6666666666666,inf
gora,450,225,68,13,2012-07-09 13:11:05+00:00,2012-11-03 21:09:11+00:00,2012-11-03 21:22:02+00:00,2012-12-27 22:01:01+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.0,0.548951048951049,0.2105263157894737,0.5832167832167833,2228.0,inf,1068.0,inf
gora,434,217,68,2,2012-07-09 13:11:05+00:00,2012-11-03 21:09:11+00:00,2012-11-03 21:22:02+00:00,2012-12-27 22:01:01+00:00,jit,label_bug,True,True,jit,0.0,0.3977272727272727,0.14814814814814814,0.9393939393939394,3378.0,,inf,2869.0
gora,434,217,68,2,2012-07-09 13:11:05+00:00,2012-11-03 21:09:11+00:00,2012-11-03 21:22:02+00:00,2012-12-27 22:01:01+00:00,static,label_bug,True,True,static,0.0,0.7272727272727273,0.13333333333333333,0.9696969696969697,3347.0,inf,inf,2546.0
gora,434,217,68,2,2012-07-09 13:11:05+00:00,2012-11-03 21:09:11+00:00,2012-11-03 21:22:02+00:00,2012-12-27 22:01:01+00:00,pmd,label_bug,True,True,pmd,0.0,0.8106060606060606,0.0,0.5227272727272727,3378.0,,2410.0,inf
gora,434,217,68,2,2012-07-09 13:11:05+00:00,2012-11-03 21:09:11+00:00,2012-11-03 21:22:02+00:00,2012-12-27 22:01:01+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7045454545454546,0.15384615384615385,0.9621212121212122,3342.0,inf,inf,1907.0
gora,272,136,88,2,2012-12-27 22:54:54+00:00,2013-07-12 20:59:56+02:00,2013-07-12 21:24:29+02:00,2013-08-18 21:53:34+00:00,jit,label_adhoc,True,True,jit,0.0,0.43023255813953487,0.07142857142857144,0.7209302325581395,1328.75,inf,535.6666666666666,3779.0
gora,272,136,88,2,2012-12-27 22:54:54+00:00,2013-07-12 20:59:56+02:00,2013-07-12 21:24:29+02:00,2013-08-18 21:53:34+00:00,static,label_adhoc,True,True,static,0.0,0.2965116279069767,0.05555555555555555,0.5901162790697674,1346.5,,547.6666666666666,3743.0
