project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
jspwiki,864,432,92,29,2001-10-06 15:27:27+00:00,2002-11-01 20:54:38+00:00,2002-11-01 20:55:02+00:00,2002-12-02 21:19:22+00:00,jit,label_adhoc,True,True,jit,0.5357142857142857,0.8147235905856595,0.611764705882353,0.8160919540229886,127.38888888888889,136.30434782608697,239.66666666666666,123.92105263157895
jspwiki,864,432,92,29,2001-10-06 15:27:27+00:00,2002-11-01 20:54:38+00:00,2002-11-01 20:55:02+00:00,2002-12-02 21:19:22+00:00,static,label_adhoc,True,True,static,0.509090909090909,0.7629994526546251,0.525,0.6609195402298851,99.76190476190476,166.65,121.36363636363636,136.43333333333334
jspwiki,864,432,92,29,2001-10-06 15:27:27+00:00,2002-11-01 20:54:38+00:00,2002-11-01 20:55:02+00:00,2002-12-02 21:19:22+00:00,pmd,label_adhoc,True,True,pmd,0.5357142857142857,0.7835249042145594,0.5454545454545455,0.7268746579091406,89.5,192.94117647058823,96.54545454545455,145.53333333333333
jspwiki,864,432,92,29,2001-10-06 15:27:27+00:00,2002-11-01 20:54:38+00:00,2002-11-01 20:55:02+00:00,2002-12-02 21:19:22+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5818181818181819,0.8130815544608647,0.5675675675675675,0.7427476737821566,101.0,150.5,80.45454545454545,151.43333333333334
jspwiki,1150,575,88,17,2002-12-02 21:20:08+00:00,2003-06-10 19:00:50+00:00,2003-06-10 19:01:03+00:00,2003-07-15 11:26:11+00:00,jit,label_adhoc,True,True,jit,0.5714285714285715,0.884009942004971,0.4285714285714286,0.7613918806959403,128.11111111111111,64.5625,124.0,84.26086956521739
jspwiki,1150,575,88,17,2002-12-02 21:20:08+00:00,2003-06-10 19:00:50+00:00,2003-06-10 19:01:03+00:00,2003-07-15 11:26:11+00:00,static,label_adhoc,True,True,static,0.42857142857142855,0.8007456503728252,0.41379310344827586,0.7945318972659486,135.75,64.70588235294117,92.28571428571429,85.55555555555556
jspwiki,1150,575,88,17,2002-12-02 21:20:08+00:00,2003-06-10 19:00:50+00:00,2003-06-10 19:01:03+00:00,2003-07-15 11:26:11+00:00,pmd,label_adhoc,True,True,pmd,0.39024390243902435,0.7361226180613091,0.5599999999999999,0.7928748964374481,104.0,72.15384615384616,159.75,73.66666666666667
jspwiki,1150,575,88,17,2002-12-02 21:20:08+00:00,2003-06-10 19:00:50+00:00,2003-06-10 19:01:03+00:00,2003-07-15 11:26:11+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5238095238095238,0.8446561723280862,0.5333333333333333,0.796188898094449,179.83333333333334,58.26315789473684,327.0,77.45833333333333
jspwiki,1424,712,88,1,2002-12-02 21:20:08+00:00,2003-06-10 19:00:50+00:00,2003-06-10 19:01:03+00:00,2003-07-15 11:26:11+00:00,jit,label_bug,True,True,jit,0.0,0.8735632183908046,0.0,0.27586206896551724,2186.0,,1127.0,inf
jspwiki,1424,712,88,1,2002-12-02 21:20:08+00:00,2003-06-10 19:00:50+00:00,2003-06-10 19:01:03+00:00,2003-07-15 11:26:11+00:00,static,label_bug,True,True,static,0.0,0.9770114942528736,0.042553191489361694,0.9655172413793103,2186.0,,inf,1028.0
