project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
knox,1130,565,83,15,2013-01-29 14:55:06-05:00,2013-05-20 09:24:45-04:00,2013-05-21 09:11:25-04:00,2013-07-01 16:20:46-04:00,jit,label_adhoc,True,True,jit,0.5333333333333333,0.7700980392156862,0.3846153846153846,0.7450980392156863,327.0,241.36363636363637,361.5,237.0
knox,1130,565,83,15,2013-01-29 14:55:06-05:00,2013-05-20 09:24:45-04:00,2013-05-21 09:11:25-04:00,2013-07-01 16:20:46-04:00,static,label_adhoc,True,True,static,0.5,0.8980392156862745,0.3548387096774194,0.6392156862745099,222.69230769230768,465.0,211.625,324.625
knox,1130,565,83,15,2013-01-29 14:55:06-05:00,2013-05-20 09:24:45-04:00,2013-05-21 09:11:25-04:00,2013-07-01 16:20:46-04:00,pmd,label_adhoc,True,True,pmd,0.3684210526315789,0.7225490196078431,0.4489795918367347,0.7352941176470589,292.85714285714283,248.88888888888889,419.75,217.58333333333334
knox,1130,565,83,15,2013-01-29 14:55:06-05:00,2013-05-20 09:24:45-04:00,2013-05-21 09:11:25-04:00,2013-07-01 16:20:46-04:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.64,0.9333333333333333,0.4888888888888889,0.8294117647058823,312.625,223.625,375.75,232.25
knox,1098,549,83,20,2013-01-29 14:55:06-05:00,2013-05-20 09:24:45-04:00,2013-05-21 09:11:25-04:00,2013-07-01 16:20:46-04:00,jit,label_bug,True,True,jit,0.09090909090909091,0.6829365079365078,0.3050847457627119,0.5142857142857143,293.7857142857143,59.0,134.72727272727272,468.0
knox,1098,549,83,20,2013-01-29 14:55:06-05:00,2013-05-20 09:24:45-04:00,2013-05-21 09:11:25-04:00,2013-07-01 16:20:46-04:00,static,label_bug,True,True,static,0.15384615384615383,0.7047619047619047,0.4375,0.6420634920634921,235.88235294117646,inf,398.5,172.63636363636363
knox,1098,549,83,20,2013-01-29 14:55:06-05:00,2013-05-20 09:24:45-04:00,2013-05-21 09:11:25-04:00,2013-07-01 16:20:46-04:00,pmd,label_bug,True,True,pmd,0.1739130434782609,0.7821428571428571,0.3125,0.5039682539682541,237.76470588235293,inf,244.1818181818182,267.3333333333333
knox,1098,549,83,20,2013-01-29 14:55:06-05:00,2013-05-20 09:24:45-04:00,2013-05-21 09:11:25-04:00,2013-07-01 16:20:46-04:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.23076923076923075,0.7857142857142858,0.35714285714285715,0.6333333333333334,251.3125,269.0,251.3,253.85714285714286
knox,1044,522,57,14,2013-07-01 16:37:23-04:00,2013-10-02 09:57:57-07:00,2013-10-02 20:13:17-04:00,2013-12-02 13:50:35-05:00,jit,label_adhoc,True,True,jit,0.588235294117647,0.7873754152823921,0.3157894736842105,0.6096345514950167,217.25,531.5,283.375,713.5
knox,1044,522,57,14,2013-07-01 16:37:23-04:00,2013-10-02 09:57:57-07:00,2013-10-02 20:13:17-04:00,2013-12-02 13:50:35-05:00,static,label_adhoc,True,True,static,0.4799999999999999,0.7815614617940199,0.38095238095238093,0.5614617940199335,447.44444444444446,364.6666666666667,211.71428571428572,727.8
knox,1044,522,57,14,2013-07-01 16:37:23-04:00,2013-10-02 09:57:57-07:00,2013-10-02 20:13:17-04:00,2013-12-02 13:50:35-05:00,pmd,label_adhoc,True,True,pmd,0.39999999999999997,0.6345514950166112,0.5238095238095237,0.7400332225913621,546.125,188.0,534.3333333333334,390.8888888888889
knox,1044,522,57,14,2013-07-01 16:37:23-04:00,2013-10-02 09:57:57-07:00,2013-10-02 20:13:17-04:00,2013-12-02 13:50:35-05:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.56,0.8289036544850499,0.5294117647058824,0.6794019933554817,565.4285714285714,232.6,352.0,480.14285714285717
knox,1098,549,57,7,2013-07-01 16:37:23-04:00,2013-10-02 09:57:57-07:00,2013-10-02 20:13:17-04:00,2013-12-02 13:50:35-05:00,jit,label_bug,True,True,jit,0.2,0.6557142857142857,0.32432432432432434,0.8142857142857143,1585.3333333333333,182.5,1653.0,867.0
knox,1098,549,57,7,2013-07-01 16:37:23-04:00,2013-10-02 09:57:57-07:00,2013-10-02 20:13:17-04:00,2013-12-02 13:50:35-05:00,static,label_bug,True,True,static,0.0,0.5842857142857143,0.3684210526315789,0.7685714285714286,963.4,inf,inf,691.4
knox,1098,549,57,7,2013-07-01 16:37:23-04:00,2013-10-02 09:57:57-07:00,2013-10-02 20:13:17-04:00,2013-12-02 13:50:35-05:00,pmd,label_bug,True,True,pmd,0.13333333333333333,0.5385714285714285,0.25,0.5642857142857143,985.4,inf,1625.0,874.0
knox,1098,549,57,7,2013-07-01 16:37:23-04:00,2013-10-02 09:57:57-07:00,2013-10-02 20:13:17-04:00,2013-12-02 13:50:35-05:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.6171428571428571,0.42424242424242425,0.8171428571428571,963.4,inf,inf,648.6
knox,236,118,79,10,2013-12-02 12:03:57-08:00,2014-03-03 15:26:17-05:00,2014-03-04 16:24:47+02:00,2014-04-04 17:13:31-04:00,jit,label_adhoc,True,True,jit,0.32,0.7282608695652174,0.3461538461538461,0.7753623188405798,342.75,343.5,429.0,330.85714285714283
knox,236,118,79,10,2013-12-02 12:03:57-08:00,2014-03-03 15:26:17-05:00,2014-03-04 16:24:47+02:00,2014-04-04 17:13:31-04:00,static,label_adhoc,True,True,static,0.38461538461538464,0.7152173913043478,0.38095238095238093,0.7840579710144928,503.0,183.25,671.5,233.66666666666666
knox,236,118,79,10,2013-12-02 12:03:57-08:00,2014-03-03 15:26:17-05:00,2014-03-04 16:24:47+02:00,2014-04-04 17:13:31-04:00,pmd,label_adhoc,True,True,pmd,0.2727272727272727,0.5739130434782609,0.27906976744186046,0.6101449275362318,384.8333333333333,218.0,378.4,284.3333333333333
knox,236,118,79,10,2013-12-02 12:03:57-08:00,2014-03-03 15:26:17-05:00,2014-03-04 16:24:47+02:00,2014-04-04 17:13:31-04:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.45454545454545453,0.7702898550724637,0.30434782608695654,0.7884057971014493,535.5,150.75,341.0,344.4
knox,310,155,79,4,2013-12-02 12:03:57-08:00,2014-03-03 15:26:17-05:00,2014-03-04 16:24:47+02:00,2014-04-04 17:13:31-04:00,jit,label_bug,True,True,jit,0.0,0.5183333333333333,0.09523809523809525,0.6699999999999999,892.3333333333334,inf,454.0,1837.0
knox,310,155,79,4,2013-12-02 12:03:57-08:00,2014-03-03 15:26:17-05:00,2014-03-04 16:24:47+02:00,2014-04-04 17:13:31-04:00,static,label_bug,True,True,static,0.0,0.6883333333333335,0.11764705882352941,0.615,893.0,inf,827.0,1091.0
knox,310,155,79,4,2013-12-02 12:03:57-08:00,2014-03-03 15:26:17-05:00,2014-03-04 16:24:47+02:00,2014-04-04 17:13:31-04:00,pmd,label_bug,True,True,pmd,0.0,0.5133333333333334,0.04166666666666667,0.32666666666666666,915.0,,595.5,1554.0
knox,310,155,79,4,2013-12-02 12:03:57-08:00,2014-03-03 15:26:17-05:00,2014-03-04 16:24:47+02:00,2014-04-04 17:13:31-04:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7066666666666667,0.1951219512195122,0.7366666666666667,906.3333333333334,inf,inf,460.3333333333333
knox,376,188,26,4,2014-04-14 03:16:42-07:00,2014-09-16 19:49:35-04:00,2014-09-22 07:00:37-04:00,2014-10-22 21:31:07-04:00,jit,label_adhoc,True,True,jit,0.888888888888889,1.0,0.5714285714285715,0.9204545454545454,inf,94.5,inf,178.25
knox,376,188,26,4,2014-04-14 03:16:42-07:00,2014-09-16 19:49:35-04:00,2014-09-22 07:00:37-04:00,2014-10-22 21:31:07-04:00,static,label_adhoc,True,True,static,0.8571428571428571,0.9886363636363636,0.5714285714285715,0.8749999999999999,977.0,39.0,inf,179.25
knox,376,188,26,4,2014-04-14 03:16:42-07:00,2014-09-16 19:49:35-04:00,2014-09-22 07:00:37-04:00,2014-10-22 21:31:07-04:00,pmd,label_adhoc,True,True,pmd,0.888888888888889,0.9772727272727272,0.7272727272727273,0.9886363636363636,inf,95.0,inf,164.25
knox,376,188,26,4,2014-04-14 03:16:42-07:00,2014-09-16 19:49:35-04:00,2014-09-22 07:00:37-04:00,2014-10-22 21:31:07-04:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.888888888888889,1.0,0.5714285714285715,0.9204545454545454,inf,95.0,inf,187.25
knox,426,213,26,1,2014-04-14 03:16:42-07:00,2014-09-16 19:49:35-04:00,2014-09-22 07:00:37-04:00,2014-10-22 21:31:07-04:00,jit,label_bug,True,True,jit,0.0,0.9,0.13333333333333333,0.76,1094.0,,inf,696.0
knox,426,213,26,1,2014-04-14 03:16:42-07:00,2014-09-16 19:49:35-04:00,2014-09-22 07:00:37-04:00,2014-10-22 21:31:07-04:00,static,label_bug,True,True,static,0.0,0.58,0.0,0.24,1094.0,,626.0,inf
knox,426,213,26,1,2014-04-14 03:16:42-07:00,2014-09-16 19:49:35-04:00,2014-09-22 07:00:37-04:00,2014-10-22 21:31:07-04:00,pmd,label_bug,True,True,pmd,0.0,0.6,0.0,0.48,1094.0,,495.0,inf
knox,426,213,26,1,2014-04-14 03:16:42-07:00,2014-09-16 19:49:35-04:00,2014-09-22 07:00:37-04:00,2014-10-22 21:31:07-04:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.74,0.14285714285714288,0.6,1094.0,,inf,413.0
knox,414,207,53,6,2014-10-23 18:21:45-04:00,2015-04-01 11:51:49-04:00,2015-04-02 17:13:05-04:00,2015-05-18 17:13:26-04:00,jit,label_adhoc,True,True,jit,0.3333333333333333,0.7907801418439716,0.3846153846153846,0.8404255319148937,318.6,291.0,1036.0,204.28571428571428
knox,414,207,53,6,2014-10-23 18:21:45-04:00,2015-04-01 11:51:49-04:00,2015-04-02 17:13:05-04:00,2015-05-18 17:13:26-04:00,static,label_adhoc,True,True,static,0.4,0.7535460992907802,0.17647058823529413,0.6453900709219857,447.2,76.66666666666667,305.0,311.5
knox,414,207,53,6,2014-10-23 18:21:45-04:00,2015-04-01 11:51:49-04:00,2015-04-02 17:13:05-04:00,2015-05-18 17:13:26-04:00,pmd,label_adhoc,True,True,pmd,0.4,0.8333333333333334,0.32,0.5886524822695036,506.5,110.0,420.3333333333333,241.0
knox,414,207,53,6,2014-10-23 18:21:45-04:00,2015-04-01 11:51:49-04:00,2015-04-02 17:13:05-04:00,2015-05-18 17:13:26-04:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.3636363636363636,0.7464539007092198,0.2962962962962963,0.7021276595744681,440.0,88.66666666666667,402.6666666666667,251.6
knox,444,222,53,7,2014-10-23 18:21:45-04:00,2015-04-01 11:51:49-04:00,2015-04-02 17:13:05-04:00,2015-05-18 17:13:26-04:00,jit,label_bug,True,True,jit,0.0,0.6614906832298135,0.5185185185185185,0.937888198757764,137.0,,inf,105.11111111111111
