project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
kylin,9982,4991,940,98,2015-01-03 20:20:48+08:00,2015-04-03 21:01:44+08:00,2015-04-07 11:24:41+08:00,2015-05-14 15:24:14+08:00,jit,label_adhoc,True,True,jit,0.2122905027932961,0.6969375636240245,0.23639191290824263,0.6518735760337389,435.51162790697674,644.0,121.26315789473684,671.6285714285714
kylin,9982,4991,940,98,2015-01-03 20:20:48+08:00,2015-04-03 21:01:44+08:00,2015-04-07 11:24:41+08:00,2015-05-14 15:24:14+08:00,static,label_adhoc,True,True,static,0.27102803738317754,0.6989977701294294,0.25557809330628806,0.6571028648989286,475.6341463414634,485.38461538461536,417.40909090909093,519.625
kylin,9982,4991,940,98,2015-01-03 20:20:48+08:00,2015-04-03 21:01:44+08:00,2015-04-07 11:24:41+08:00,2015-05-14 15:24:14+08:00,pmd,label_adhoc,True,True,pmd,0.07936507936507936,0.6511767414804401,0.22727272727272727,0.5725071501284599,479.36538461538464,442.0,558.8,408.3103448275862
kylin,9982,4991,940,98,2015-01-03 20:20:48+08:00,2015-04-03 21:01:44+08:00,2015-04-07 11:24:41+08:00,2015-05-14 15:24:14+08:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.2639593908629442,0.7720381501769353,0.2323943661971831,0.6492922584710845,487.54761904761904,444.5,238.1904761904762,630.5757575757576
kylin,10896,5448,940,26,2015-01-03 20:20:48+08:00,2015-04-03 21:01:44+08:00,2015-04-07 11:24:41+08:00,2015-05-14 15:24:14+08:00,jit,label_bug,True,True,jit,0.06666666666666668,0.6348678673623969,0.07830342577487764,0.7784884699545531,1351.8947368421052,inf,1326.0,1360.2777777777778
kylin,10896,5448,940,26,2015-01-03 20:20:48+08:00,2015-04-03 21:01:44+08:00,2015-04-07 11:24:41+08:00,2015-05-14 15:24:14+08:00,static,label_bug,True,True,static,0.13333333333333333,0.8849520282780676,0.10672853828306265,0.7751220333277227,1328.7894736842106,inf,2157.0,1145.5333333333333
kylin,10896,5448,940,26,2015-01-03 20:20:48+08:00,2015-04-03 21:01:44+08:00,2015-04-07 11:24:41+08:00,2015-05-14 15:24:14+08:00,pmd,label_bug,True,True,pmd,0.0,0.7674844302306009,0.07709750566893424,0.6748443023060091,1355.9473684210527,inf,1865.111111111111,902.5
kylin,10896,5448,940,26,2015-01-03 20:20:48+08:00,2015-04-03 21:01:44+08:00,2015-04-07 11:24:41+08:00,2015-05-14 15:24:14+08:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.8713390001683219,0.09271523178807947,0.7731863322672952,1354.8947368421052,inf,1689.0,1240.4285714285713
kylin,8612,4306,1972,63,2015-05-14 16:38:09+08:00,2015-08-14 17:53:39+08:00,2015-08-14 18:11:35+08:00,2015-09-15 16:46:19+08:00,jit,label_adhoc,True,True,jit,0.08264462809917356,0.6554499571786109,0.14264919941775836,0.784911904346163,875.5142857142857,1124.4,2179.714285714286,636.5757575757576
kylin,8612,4306,1972,63,2015-05-14 16:38:09+08:00,2015-08-14 17:53:39+08:00,2015-08-14 18:11:35+08:00,2015-09-15 16:46:19+08:00,static,label_adhoc,True,True,static,0.13008130081300814,0.7845127923703092,0.10093896713615023,0.6937272901128323,1068.6060606060605,143.0,1976.1666666666667,448.25
kylin,8612,4306,1972,63,2015-05-14 16:38:09+08:00,2015-08-14 17:53:39+08:00,2015-08-14 18:11:35+08:00,2015-09-15 16:46:19+08:00,pmd,label_adhoc,True,True,pmd,0.15217391304347827,0.8071665544164235,0.13367609254498714,0.7615056499289081,1082.6060606060605,77.0,2898.125,408.75
kylin,8612,4306,1972,63,2015-05-14 16:38:09+08:00,2015-08-14 17:53:39+08:00,2015-08-14 18:11:35+08:00,2015-09-15 16:46:19+08:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.15384615384615383,0.8285024154589372,0.14285714285714285,0.8221540405930138,1090.8709677419354,272.0,3409.75,628.5
kylin,9012,4506,1972,26,2015-05-14 16:38:09+08:00,2015-08-14 17:53:39+08:00,2015-08-14 18:11:35+08:00,2015-09-15 16:46:19+08:00,jit,label_bug,True,True,jit,0.08163265306122448,0.5846311961419874,0.06341463414634146,0.9276029725670014,1280.1923076923076,993.3333333333334,inf,739.8620689655172
kylin,9012,4506,1972,26,2015-05-14 16:38:09+08:00,2015-08-14 17:53:39+08:00,2015-08-14 18:11:35+08:00,2015-09-15 16:46:19+08:00,static,label_bug,True,True,static,0.19047619047619047,0.9148549292434185,0.06013071895424837,0.8295912720373153,1474.7916666666667,174.0,3774.0,724.7916666666666
kylin,9012,4506,1972,26,2015-05-14 16:38:09+08:00,2015-08-14 17:53:39+08:00,2015-08-14 18:11:35+08:00,2015-09-15 16:46:19+08:00,pmd,label_bug,True,True,pmd,0.19230769230769232,0.906049885366432,0.039665970772442584,0.7254723693572616,1616.2272727272727,101.14285714285714,2692.777777777778,601.5
kylin,9012,4506,1972,26,2015-05-14 16:38:09+08:00,2015-08-14 17:53:39+08:00,2015-08-14 18:11:35+08:00,2015-09-15 16:46:19+08:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.2,0.9144003478535854,0.062176165803108814,0.8696932563839038,1593.8181818181818,171.57142857142858,3745.25,851.36
kylin,3910,1955,488,57,2015-09-16 11:04:24+08:00,2016-01-14 18:34:35+08:00,2016-01-14 18:34:44+08:00,2016-03-11 16:04:33+08:00,jit,label_adhoc,True,True,jit,0.2469135802469136,0.6199373142833883,0.20820189274447948,0.5758334350958603,442.5121951219512,250.88888888888889,200.54545454545453,571.0357142857143
kylin,3910,1955,488,57,2015-09-16 11:04:24+08:00,2016-01-14 18:34:35+08:00,2016-01-14 18:34:44+08:00,2016-03-11 16:04:33+08:00,static,label_adhoc,True,True,static,0.2,0.6160296332478529,0.2158273381294964,0.5725770342329141,406.5869565217391,424.5,195.6875,785.5
kylin,3910,1955,488,57,2015-09-16 11:04:24+08:00,2016-01-14 18:34:35+08:00,2016-01-14 18:34:44+08:00,2016-03-11 16:04:33+08:00,pmd,label_adhoc,True,True,pmd,0.13186813186813184,0.6453372410143688,0.22818791946308722,0.5948630276387024,421.0652173913044,258.0,586.7083333333334,243.07692307692307
kylin,3910,1955,488,57,2015-09-16 11:04:24+08:00,2016-01-14 18:34:35+08:00,2016-01-14 18:34:44+08:00,2016-03-11 16:04:33+08:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.16279069767441862,0.6499776122440674,0.23151125401929262,0.6078072210689136,388.0833333333333,886.5,199.04,617.0
kylin,4132,2066,488,35,2015-09-16 11:04:24+08:00,2016-01-14 18:34:35+08:00,2016-01-14 18:34:44+08:00,2016-03-11 16:04:33+08:00,jit,label_bug,True,True,jit,0.09523809523809522,0.7601387574897508,0.17073170731707316,0.6299590034689373,549.1111111111111,633.0,409.3333333333333,648.2272727272727
kylin,4132,2066,488,35,2015-09-16 11:04:24+08:00,2016-01-14 18:34:35+08:00,2016-01-14 18:34:44+08:00,2016-03-11 16:04:33+08:00,static,label_bug,True,True,static,0.1818181818181818,0.7433932513402712,0.18972332015810278,0.6503941974140649,602.6969696969697,128.0,536.3333333333334,558.6
