project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
lens,478,239,220,57,2013-08-23 16:23:46+05:18,2013-11-27 14:24:13+05:18,2013-12-10 16:45:40+05:18,2014-01-13 14:54:16+05:18,jit,label_adhoc,True,True,jit,0.44117647058823534,0.6717253255838984,0.41916167664670656,0.6622537939941878,73.0952380952381,252.72727272727272,74.33333333333333,230.28
lens,478,239,220,57,2013-08-23 16:23:46+05:18,2013-11-27 14:24:13+05:18,2013-12-10 16:45:40+05:18,2014-01-13 14:54:16+05:18,static,label_adhoc,True,True,static,0.49122807017543857,0.6471316327628889,0.39999999999999997,0.6143579808416746,103.04761904761905,224.13636363636363,114.25,209.1304347826087
lens,478,239,220,57,2013-08-23 16:23:46+05:18,2013-11-27 14:24:13+05:18,2013-12-10 16:45:40+05:18,2014-01-13 14:54:16+05:18,pmd,label_adhoc,True,True,pmd,0.4413793103448276,0.6305026369604994,0.5,0.64395651705952,95.42857142857143,231.4090909090909,130.86363636363637,200.76190476190476
lens,478,239,220,57,2013-08-23 16:23:46+05:18,2013-11-27 14:24:13+05:18,2013-12-10 16:45:40+05:18,2014-01-13 14:54:16+05:18,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4122137404580153,0.6044559250887956,0.4968152866242039,0.6994941341082768,99.0,222.3913043478261,75.81818181818181,258.42857142857144
lens,826,413,220,7,2013-08-23 16:23:46+05:18,2013-11-27 14:24:13+05:18,2013-12-10 16:45:40+05:18,2014-01-13 14:54:16+05:18,jit,label_bug,True,True,jit,0.0,0.7095908786049631,0.048780487804878044,0.5244802146210596,1013.5714285714286,,464.0,2387.5
lens,826,413,220,7,2013-08-23 16:23:46+05:18,2013-11-27 14:24:13+05:18,2013-12-10 16:45:40+05:18,2014-01-13 14:54:16+05:18,static,label_bug,True,True,static,0.0,0.7816901408450705,0.044444444444444446,0.3219315895372233,1013.5714285714286,,866.0,1382.5
lens,826,413,220,7,2013-08-23 16:23:46+05:18,2013-11-27 14:24:13+05:18,2013-12-10 16:45:40+05:18,2014-01-13 14:54:16+05:18,pmd,label_bug,True,True,pmd,0.0,0.6985244802146211,0.042105263157894736,0.4185110663983903,1012.7142857142857,inf,842.5,2040.0
lens,826,413,220,7,2013-08-23 16:23:46+05:18,2013-11-27 14:24:13+05:18,2013-12-10 16:45:40+05:18,2014-01-13 14:54:16+05:18,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.8537894030851777,0.020833333333333332,0.29040912139503694,1013.5714285714286,,784.1666666666666,2390.0
lens,1226,613,186,80,2014-01-13 15:10:17+05:18,2014-04-14 09:56:00+05:18,2014-04-14 10:42:03+05:18,2014-05-23 14:01:45+05:18,jit,label_adhoc,True,True,jit,0.5909090909090908,0.7672759433962264,0.5828571428571427,0.6584905660377359,109.20588235294117,78.56410256410257,31.612903225806452,138.02380952380952
lens,1226,613,186,80,2014-01-13 15:10:17+05:18,2014-04-14 09:56:00+05:18,2014-04-14 10:42:03+05:18,2014-05-23 14:01:45+05:18,static,label_adhoc,True,True,static,0.474820143884892,0.6971108490566038,0.5444444444444445,0.597877358490566,109.25581395348837,69.3,50.5,129.74358974358975
lens,1226,613,186,80,2014-01-13 15:10:17+05:18,2014-04-14 09:56:00+05:18,2014-04-14 10:42:03+05:18,2014-05-23 14:01:45+05:18,pmd,label_adhoc,True,True,pmd,0.39999999999999997,0.6583136792452828,0.49717514124293793,0.5525943396226415,84.0625,109.68,52.14705882352941,128.30769230769232
lens,1226,613,186,80,2014-01-13 15:10:17+05:18,2014-04-14 09:56:00+05:18,2014-04-14 10:42:03+05:18,2014-05-23 14:01:45+05:18,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5294117647058824,0.757311320754717,0.45454545454545453,0.6082547169811322,99.2,85.12121212121212,37.18181818181818,177.27586206896552
lens,1564,782,186,11,2014-01-13 15:10:17+05:18,2014-04-14 09:56:00+05:18,2014-04-14 10:42:03+05:18,2014-05-23 14:01:45+05:18,jit,label_bug,True,True,jit,0.0,0.7436363636363637,0.16666666666666663,0.6467532467532467,753.0,,452.0,993.8
lens,1564,782,186,11,2014-01-13 15:10:17+05:18,2014-04-14 09:56:00+05:18,2014-04-14 10:42:03+05:18,2014-05-23 14:01:45+05:18,static,label_bug,True,True,static,0.15384615384615385,0.8007792207792208,0.21951219512195125,0.7781818181818182,838.0,73.0,2137.5,357.42857142857144
lens,1564,782,186,11,2014-01-13 15:10:17+05:18,2014-04-14 09:56:00+05:18,2014-04-14 10:42:03+05:18,2014-05-23 14:01:45+05:18,pmd,label_bug,True,True,pmd,0.09090909090909091,0.7085714285714286,0.186046511627907,0.7153246753246754,836.5,85.0,1366.3333333333333,446.3333333333333
lens,1564,782,186,11,2014-01-13 15:10:17+05:18,2014-04-14 09:56:00+05:18,2014-04-14 10:42:03+05:18,2014-05-23 14:01:45+05:18,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.15384615384615385,0.8664935064935064,0.19512195121951223,0.7942857142857143,836.5,85.0,758.3333333333334,750.3333333333334
lens,654,327,324,110,2014-05-26 12:15:32+05:18,2014-08-26 12:34:55+05:18,2014-08-26 13:44:31+05:18,2014-09-26 14:27:39+05:18,jit,label_adhoc,True,True,jit,0.5583756345177665,0.791482582837723,0.5019305019305019,0.6482370433305014,57.86666666666667,180.66666666666666,56.0,158.84615384615384
lens,654,327,324,110,2014-05-26 12:15:32+05:18,2014-08-26 12:34:55+05:18,2014-08-26 13:44:31+05:18,2014-09-26 14:27:39+05:18,static,label_adhoc,True,True,static,0.5961538461538461,0.7543330501274427,0.5679012345679012,0.7139549702633816,85.42307692307692,132.36,70.46428571428571,154.65217391304347
lens,654,327,324,110,2014-05-26 12:15:32+05:18,2014-08-26 12:34:55+05:18,2014-08-26 13:44:31+05:18,2014-09-26 14:27:39+05:18,pmd,label_adhoc,True,True,pmd,0.4491978609625668,0.6279524214103653,0.44128113879003555,0.5720688190314358,95.09375,130.89473684210526,89.4,126.73076923076923
lens,654,327,324,110,2014-05-26 12:15:32+05:18,2014-08-26 12:34:55+05:18,2014-08-26 13:44:31+05:18,2014-09-26 14:27:39+05:18,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.5812807881773399,0.7633602378929482,0.4981132075471697,0.6530586236193714,75.42857142857143,148.6086956521739,72.77272727272727,135.48275862068965
lens,1124,562,324,10,2014-05-26 12:15:32+05:18,2014-08-26 12:34:55+05:18,2014-08-26 13:44:31+05:18,2014-09-26 14:27:39+05:18,jit,label_bug,True,True,jit,0.0,0.7531847133757963,0.09929078014184396,0.6143312101910827,589.4444444444445,inf,686.6666666666666,578.3333333333334
lens,1124,562,324,10,2014-05-26 12:15:32+05:18,2014-08-26 12:34:55+05:18,2014-08-26 13:44:31+05:18,2014-09-26 14:27:39+05:18,static,label_bug,True,True,static,0.14285714285714288,0.8197452229299363,0.12403100775193798,0.7054140127388535,625.875,523.0,2493.0,379.625
lens,1124,562,324,10,2014-05-26 12:15:32+05:18,2014-08-26 12:34:55+05:18,2014-08-26 13:44:31+05:18,2014-09-26 14:27:39+05:18,pmd,label_bug,True,True,pmd,0.0,0.6113057324840764,0.07453416149068325,0.5716560509554139,614.4444444444445,,646.75,588.6
lens,1124,562,324,10,2014-05-26 12:15:32+05:18,2014-08-26 12:34:55+05:18,2014-08-26 13:44:31+05:18,2014-09-26 14:27:39+05:18,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.15384615384615383,0.7520700636942675,0.08333333333333334,0.6229299363057326,642.75,388.0,458.6,809.25
lens,4394,2197,201,66,2014-09-29 20:33:41+05:18,2014-12-31 10:08:26+05:18,2014-12-31 10:53:00+05:18,2015-02-02 10:25:23+05:18,jit,label_adhoc,True,True,jit,0.7012987012987013,0.8688552188552189,0.6618705035971223,0.8236812570145904,111.2,164.8,76.9375,185.55172413793105
