project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
mahout,1332,666,401,45,2008-05-25 03:30:32+00:00,2008-09-12 15:06:38+00:00,2008-09-22 12:31:26+00:00,2008-11-01 17:37:59+00:00,jit,label_adhoc,True,True,jit,0.2095238095238095,0.6907303370786517,0.2153846153846154,0.5698501872659176,261.25,403.0,183.41666666666666,448.875
mahout,1332,666,401,45,2008-05-25 03:30:32+00:00,2008-09-12 15:06:38+00:00,2008-09-22 12:31:26+00:00,2008-11-01 17:37:59+00:00,static,label_adhoc,True,True,static,0.3589743589743589,0.7652309612983771,0.24902723735408558,0.659019975031211,277.5263157894737,519.0,390.2857142857143,235.3846153846154
mahout,1332,666,401,45,2008-05-25 03:30:32+00:00,2008-09-12 15:06:38+00:00,2008-09-22 12:31:26+00:00,2008-11-01 17:37:59+00:00,pmd,label_adhoc,True,True,pmd,0.15384615384615385,0.545880149812734,0.21725239616613418,0.584019975031211,281.2105263157895,449.0,307.5,277.6666666666667
mahout,1332,666,401,45,2008-05-25 03:30:32+00:00,2008-09-12 15:06:38+00:00,2008-09-22 12:31:26+00:00,2008-11-01 17:37:59+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.3428571428571429,0.7705368289637953,0.27705627705627706,0.6619850187265917,273.9,inf,282.22222222222223,295.6363636363636
mahout,1720,860,401,8,2008-05-25 03:30:32+00:00,2008-09-12 15:06:38+00:00,2008-09-22 12:31:26+00:00,2008-11-01 17:37:59+00:00,jit,label_bug,True,True,jit,0.0,0.7604961832061069,0.09523809523809523,0.7633587786259542,523.1818181818181,inf,inf,337.1818181818182
mahout,1720,860,401,8,2008-05-25 03:30:32+00:00,2008-09-12 15:06:38+00:00,2008-09-22 12:31:26+00:00,2008-11-01 17:37:59+00:00,static,label_bug,True,True,static,0.15384615384615385,0.8123409669211196,0.06629834254143646,0.6846374045801527,522.2727272727273,inf,374.22222222222223,1212.0
mahout,1720,860,401,8,2008-05-25 03:30:32+00:00,2008-09-12 15:06:38+00:00,2008-09-22 12:31:26+00:00,2008-11-01 17:37:59+00:00,pmd,label_bug,True,True,pmd,0.0,0.8303117048346056,0.04060913705583756,0.6116412213740458,526.5454545454545,,271.27272727272725,inf
mahout,1720,860,401,8,2008-05-25 03:30:32+00:00,2008-09-12 15:06:38+00:00,2008-09-22 12:31:26+00:00,2008-11-01 17:37:59+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.16666666666666666,0.8552798982188295,0.07547169811320754,0.7321882951653944,523.0,inf,335.1111111111111,1388.0
mahout,1046,523,147,44,2008-11-01 18:18:51+00:00,2009-03-18 11:07:16+00:00,2009-03-19 12:26:30+00:00,2009-04-21 10:39:50+00:00,jit,label_adhoc,True,True,jit,0.40625,0.6297440423654015,0.48598130841121495,0.6639452780229479,89.92307692307692,132.8125,55.333333333333336,139.8
mahout,1046,523,147,44,2008-11-01 18:18:51+00:00,2009-03-18 11:07:16+00:00,2009-03-19 12:26:30+00:00,2009-04-21 10:39:50+00:00,static,label_adhoc,True,True,static,0.4657534246575343,0.6669240953221536,0.5693430656934306,0.7292586054721977,72.9090909090909,138.44444444444446,158.2,104.29166666666667
