project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
manifoldcf,4606,2303,1350,129,2010-05-14 14:47:35+00:00,2010-09-08 13:10:06+00:00,2010-09-08 15:13:38+00:00,2010-10-24 15:14:31+00:00,jit,label_adhoc,True,True,jit,0.2272727272727273,0.8292700734561199,0.38028169014084506,0.8554844485077043,4641.765432098766,774.8823529411765,20148.923076923078,1496.7058823529412
manifoldcf,4606,2303,1350,129,2010-05-14 14:47:35+00:00,2010-09-08 13:10:06+00:00,2010-09-08 15:13:38+00:00,2010-10-24 15:14:31+00:00,static,label_adhoc,True,True,static,0.25,0.681478518687821,0.3419689119170985,0.8167120608981074,4248.9670329670325,357.14285714285717,5756.208333333333,3391.9864864864867
manifoldcf,4606,2303,1350,129,2010-05-14 14:47:35+00:00,2010-09-08 13:10:06+00:00,2010-09-08 15:13:38+00:00,2010-10-24 15:14:31+00:00,pmd,label_adhoc,True,True,pmd,0.030534351145038167,0.7905072091118603,0.20689655172413793,0.6743265464195696,4042.0729166666665,558.5,3965.5675675675675,3974.2622950819673
manifoldcf,4606,2303,1350,129,2010-05-14 14:47:35+00:00,2010-09-08 13:10:06+00:00,2010-09-08 15:13:38+00:00,2010-10-24 15:14:31+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.15172413793103448,0.7435638598429296,0.4037037037037037,0.851072002234793,4161.419354838709,428.8,15156.25,1788.4878048780488
manifoldcf,4802,2401,1350,26,2010-05-14 14:47:35+00:00,2010-09-08 13:10:06+00:00,2010-09-08 15:13:38+00:00,2010-10-24 15:14:31+00:00,jit,label_bug,True,True,jit,0.060606060606060615,0.7099988380199861,0.23999999999999996,0.9317046246804556,11062.971428571429,390.4,69888.33333333333,4851.108108108108
manifoldcf,4802,2401,1350,26,2010-05-14 14:47:35+00:00,2010-09-08 13:10:06+00:00,2010-09-08 15:13:38+00:00,2010-10-24 15:14:31+00:00,static,label_bug,True,True,static,0.11764705882352941,0.7286486172437833,0.116751269035533,0.8886968394143621,11428.264705882353,99.16666666666667,34550.75,6970.916666666667
manifoldcf,4802,2401,1350,26,2010-05-14 14:47:35+00:00,2010-09-08 13:10:06+00:00,2010-09-08 15:13:38+00:00,2010-10-24 15:14:31+00:00,pmd,label_bug,True,True,pmd,0.07407407407407407,0.7238699744364397,0.13249211356466875,0.8087961887055543,9978.307692307691,2.0,23715.875,6232.15625
manifoldcf,4802,2401,1350,26,2010-05-14 14:47:35+00:00,2010-09-08 13:10:06+00:00,2010-09-08 15:13:38+00:00,2010-10-24 15:14:31+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.13333333333333336,0.7456135254473623,0.14545454545454542,0.8789216825470602,11436.676470588236,51.5,75760.66666666667,4374.972972972973
manifoldcf,1558,779,155,36,2010-10-24 22:57:40+00:00,2011-06-29 21:52:14+00:00,2011-07-07 07:40:41+00:00,2011-08-15 19:04:25+00:00,jit,label_adhoc,True,True,jit,0.40740740740740744,0.7582866479925303,0.4086021505376344,0.6974789915966386,160.72727272727272,217.3846153846154,116.85714285714286,220.06666666666666
manifoldcf,1558,779,155,36,2010-10-24 22:57:40+00:00,2011-06-29 21:52:14+00:00,2011-07-07 07:40:41+00:00,2011-08-15 19:04:25+00:00,static,label_adhoc,True,True,static,0.4883720930232558,0.727357609710551,0.4035087719298245,0.6278011204481793,199.5,202.46153846153845,179.92857142857142,264.6666666666667
