project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
nutch,216,108,48,21,2005-06-01 22:20:01+00:00,2005-09-01 22:20:51+00:00,2005-09-02 15:55:47+00:00,2005-10-03 15:56:43+00:00,jit,label_adhoc,True,True,jit,0.6666666666666666,0.7627865961199294,0.5500000000000002,0.5396825396825397,152.625,960.6666666666666,259.55555555555554,883.5
nutch,216,108,48,21,2005-06-01 22:20:01+00:00,2005-09-01 22:20:51+00:00,2005-09-02 15:55:47+00:00,2005-10-03 15:56:43+00:00,static,label_adhoc,True,True,static,0.8205128205128205,0.9241622574955909,0.7272727272727272,0.8112874779541446,200.0,675.75,337.25,393.42857142857144
nutch,216,108,48,21,2005-06-01 22:20:01+00:00,2005-09-01 22:20:51+00:00,2005-09-02 15:55:47+00:00,2005-10-03 15:56:43+00:00,pmd,label_adhoc,True,True,pmd,0.2857142857142857,0.8033509700176367,0.5454545454545454,0.5326278659611993,383.3333333333333,326.5,374.8,371.5
nutch,216,108,48,21,2005-06-01 22:20:01+00:00,2005-09-01 22:20:51+00:00,2005-09-02 15:55:47+00:00,2005-10-03 15:56:43+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.8205128205128205,0.9188712522045855,0.6341463414634146,0.6790123456790124,200.0,675.75,382.8,364.8333333333333
nutch,392,196,737,260,2005-10-11 19:01:09+00:00,2006-01-11 23:24:40+00:00,2006-01-11 23:50:13+00:00,2006-02-13 21:26:15+00:00,jit,label_adhoc,True,True,jit,0.6514084507042253,0.8032172230285438,0.6354609929078014,0.7154894371875504,1028.36,435.5769230769231,2529.8888888888887,339.64285714285717
nutch,392,196,737,260,2005-10-11 19:01:09+00:00,2006-01-11 23:24:40+00:00,2006-01-11 23:50:13+00:00,2006-02-13 21:26:15+00:00,static,label_adhoc,True,True,static,0.6268656716417911,0.8431502983389776,0.6013245033112583,0.711611030478955,754.9722222222222,657.0,1699.8666666666666,320.44444444444446
nutch,392,196,737,260,2005-10-11 19:01:09+00:00,2006-01-11 23:24:40+00:00,2006-01-11 23:50:13+00:00,2006-02-13 21:26:15+00:00,pmd,label_adhoc,True,True,pmd,0.3181818181818182,0.6744678277697146,0.5172413793103449,0.620250766005483,688.6279069767442,927.875,815.3,598.8095238095239
nutch,392,196,737,260,2005-10-11 19:01:09+00:00,2006-01-11 23:24:40+00:00,2006-01-11 23:50:13+00:00,2006-02-13 21:26:15+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6638297872340425,0.8666061925495888,0.5688622754491018,0.6749395258829222,768.9428571428572,632.5625,1092.391304347826,425.32142857142856
nutch,708,354,737,31,2005-10-11 19:01:09+00:00,2006-01-11 23:24:40+00:00,2006-01-11 23:50:13+00:00,2006-02-13 21:26:15+00:00,jit,label_bug,True,True,jit,0.1515151515151515,0.7913963264187153,0.13056379821958458,0.7089463584026318,1174.7666666666667,358.2,1312.0,818.3333333333334
nutch,708,354,737,31,2005-10-11 19:01:09+00:00,2006-01-11 23:24:40+00:00,2006-01-11 23:50:13+00:00,2006-02-13 21:26:15+00:00,static,label_bug,True,True,static,0.0,0.7030750251302202,0.11416490486257927,0.7204148770903773,1051.4571428571428,inf,4975.8,405.1666666666667
nutch,708,354,737,31,2005-10-11 19:01:09+00:00,2006-01-11 23:24:40+00:00,2006-01-11 23:50:13+00:00,2006-02-13 21:26:15+00:00,pmd,label_bug,True,True,pmd,0.09999999999999999,0.6566069633555698,0.11737089201877936,0.6873800603125286,1117.8484848484848,72.5,2635.5,590.7407407407408
nutch,708,354,737,31,2005-10-11 19:01:09+00:00,2006-01-11 23:24:40+00:00,2006-01-11 23:50:13+00:00,2006-02-13 21:26:15+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.8065201498674952,0.124031007751938,0.711459380425843,1051.142857142857,inf,2051.4,660.8
nutch,480,240,245,41,2006-02-13 21:28:13+00:00,2006-05-15 12:14:36+00:00,2006-05-15 22:18:34+00:00,2006-06-18 08:40:10+00:00,jit,label_adhoc,True,True,jit,0.2898550724637681,0.7134744141559063,0.2893081761006289,0.6256575801052128,262.85714285714283,885.0,135.0,546.25
nutch,480,240,245,41,2006-02-13 21:28:13+00:00,2006-05-15 12:14:36+00:00,2006-05-15 22:18:34+00:00,2006-06-18 08:40:10+00:00,static,label_adhoc,True,True,static,0.36036036036036034,0.7152080344332854,0.3684210526315789,0.6429937828790052,226.06666666666666,531.5555555555555,234.4,416.5
nutch,480,240,245,41,2006-02-13 21:28:13+00:00,2006-05-15 12:14:36+00:00,2006-05-15 22:18:34+00:00,2006-06-18 08:40:10+00:00,pmd,label_adhoc,True,True,pmd,0.3214285714285714,0.6874103299856528,0.3563218390804598,0.6535150645624104,199.94736842105263,875.2,316.0,355.4
nutch,480,240,245,41,2006-02-13 21:28:13+00:00,2006-05-15 12:14:36+00:00,2006-05-15 22:18:34+00:00,2006-06-18 08:40:10+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.3564356435643565,0.741272118603539,0.3783783783783784,0.6782639885222382,173.1,1178.25,242.3,410.85714285714283
nutch,620,310,245,10,2006-02-13 21:28:13+00:00,2006-05-15 12:14:36+00:00,2006-05-15 22:18:34+00:00,2006-06-18 08:40:10+00:00,jit,label_bug,True,True,jit,0.0,0.7382978723404255,0.09174311926605505,0.47702127659574467,625.4615384615385,inf,584.5,666.8571428571429
nutch,620,310,245,10,2006-02-13 21:28:13+00:00,2006-05-15 12:14:36+00:00,2006-05-15 22:18:34+00:00,2006-06-18 08:40:10+00:00,static,label_bug,True,True,static,0.08695652173913043,0.7734042553191489,0.09655172413793103,0.6702127659574468,617.2307692307693,inf,774.25,564.2222222222222
nutch,620,310,245,10,2006-02-13 21:28:13+00:00,2006-05-15 12:14:36+00:00,2006-05-15 22:18:34+00:00,2006-06-18 08:40:10+00:00,pmd,label_bug,True,True,pmd,0.14285714285714285,0.76,0.1142857142857143,0.6476595744680851,656.1666666666666,301.0,886.8333333333334,407.7142857142857
nutch,620,310,245,10,2006-02-13 21:28:13+00:00,2006-05-15 12:14:36+00:00,2006-05-15 22:18:34+00:00,2006-06-18 08:40:10+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7893617021276595,0.1415929203539823,0.7506382978723405,625.3846153846154,inf,1215.3333333333333,452.9
nutch,286,143,132,20,2006-06-18 11:38:32+00:00,2006-09-19 16:01:34+00:00,2006-09-19 19:10:11+00:00,2006-10-24 14:28:46+00:00,jit,label_adhoc,True,True,jit,0.5263157894736842,0.8,0.36144578313253006,0.7772321428571428,239.0,215.22222222222223,205.0,238.28571428571428
nutch,286,143,132,20,2006-06-18 11:38:32+00:00,2006-09-19 16:01:34+00:00,2006-09-19 19:10:11+00:00,2006-10-24 14:28:46+00:00,static,label_adhoc,True,True,static,0.6363636363636365,0.8859375,0.3132530120481927,0.659375,322.42857142857144,177.6153846153846,150.0,292.3636363636364
nutch,286,143,132,20,2006-06-18 11:38:32+00:00,2006-09-19 16:01:34+00:00,2006-09-19 19:10:11+00:00,2006-10-24 14:28:46+00:00,pmd,label_adhoc,True,True,pmd,0.38888888888888884,0.8734375,0.3823529411764705,0.6571428571428571,256.14285714285717,163.33333333333334,330.1,126.5
