project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
opennlp,280,140,217,47,2011-03-18 12:38:05+00:00,2011-06-22 12:13:44+00:00,2011-06-24 11:35:08+00:00,2011-07-26 13:48:39+00:00,jit,label_adhoc,True,True,jit,0.43283582089552236,0.6866082603254068,0.3595505617977528,0.5665832290362954,304.42857142857144,586.75,131.9,1101.2
opennlp,280,140,217,47,2011-03-18 12:38:05+00:00,2011-06-22 12:13:44+00:00,2011-06-24 11:35:08+00:00,2011-07-26 13:48:39+00:00,static,label_adhoc,True,True,static,0.3559322033898305,0.6425531914893617,0.4774193548387097,0.7107634543178973,492.1666666666667,430.22222222222223,566.5,414.45454545454544
opennlp,280,140,217,47,2011-03-18 12:38:05+00:00,2011-06-22 12:13:44+00:00,2011-06-24 11:35:08+00:00,2011-07-26 13:48:39+00:00,pmd,label_adhoc,True,True,pmd,0.18947368421052632,0.4719023779724656,0.29347826086956524,0.49787234042553197,449.72727272727275,469.5,335.8,693.4
opennlp,280,140,217,47,2011-03-18 12:38:05+00:00,2011-06-22 12:13:44+00:00,2011-06-24 11:35:08+00:00,2011-07-26 13:48:39+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4247787610619469,0.6862953692115142,0.4050632911392405,0.6249061326658323,576.8,394.1,334.2857142857143,560.625
opennlp,380,190,217,3,2011-03-18 12:38:05+00:00,2011-06-22 12:13:44+00:00,2011-06-24 11:35:08+00:00,2011-07-26 13:48:39+00:00,jit,label_bug,True,True,jit,0.0,0.28348909657320875,0.05660377358490566,0.822429906542056,2120.0,inf,inf,1354.6666666666667
opennlp,380,190,217,3,2011-03-18 12:38:05+00:00,2011-06-22 12:13:44+00:00,2011-06-24 11:35:08+00:00,2011-07-26 13:48:39+00:00,static,label_bug,True,True,static,0.0,0.49065420560747663,0.06382978723404255,0.705607476635514,2238.3333333333335,inf,inf,1086.6666666666667
opennlp,380,190,217,3,2011-03-18 12:38:05+00:00,2011-06-22 12:13:44+00:00,2011-06-24 11:35:08+00:00,2011-07-26 13:48:39+00:00,pmd,label_bug,True,True,pmd,0.0,0.4353582554517133,0.0,0.1853582554517134,2275.0,,1370.6666666666667,inf
opennlp,380,190,217,3,2011-03-18 12:38:05+00:00,2011-06-22 12:13:44+00:00,2011-06-24 11:35:08+00:00,2011-07-26 13:48:39+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.4968847352024922,0.020618556701030927,0.5109034267912773,2275.0,,1689.0,3447.0
opennlp,854,427,218,33,2011-07-29 13:03:49+00:00,2011-10-31 23:53:22+00:00,2011-11-01 00:39:08+00:00,2011-12-01 11:21:50+00:00,jit,label_adhoc,True,True,jit,0.2941176470588235,0.5952497952497953,0.3149606299212599,0.5742833742833743,387.8,1727.0,152.16666666666666,1234.125
opennlp,854,427,218,33,2011-07-29 13:03:49+00:00,2011-10-31 23:53:22+00:00,2011-11-01 00:39:08+00:00,2011-12-01 11:21:50+00:00,static,label_adhoc,True,True,static,0.26415094339622636,0.6701064701064701,0.25,0.5336609336609337,1241.625,142.16666666666666,516.0,911.7777777777778
