project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
parquet-mr,1334,667,553,416,2012-12-02 22:02:44-08:00,2013-03-04 11:02:05-08:00,2013-03-04 11:37:30-08:00,2013-04-04 22:15:53-07:00,jit,label_adhoc,True,True,jit,0.6024844720496895,0.7075817658618753,0.6205882352941176,0.5976277372262774,105.97222222222223,184.9090909090909,93.05714285714286,195.88235294117646
parquet-mr,1334,667,553,416,2012-12-02 22:02:44-08:00,2013-03-04 11:02:05-08:00,2013-03-04 11:37:30-08:00,2013-04-04 22:15:53-07:00,static,label_adhoc,True,True,static,0.7374005305039787,0.6846487226277371,0.6647807637906649,0.5839416058394161,148.25,141.3111111111111,121.65714285714286,166.44117647058823
parquet-mr,1334,667,553,416,2012-12-02 22:02:44-08:00,2013-03-04 11:02:05-08:00,2013-03-04 11:37:30-08:00,2013-04-04 22:15:53-07:00,pmd,label_adhoc,True,True,pmd,0.6235955056179774,0.551963433464346,0.5335413416536662,0.5345925743964065,110.58333333333333,179.87878787878788,121.72727272727273,182.44
parquet-mr,1334,667,553,416,2012-12-02 22:02:44-08:00,2013-03-04 11:02:05-08:00,2013-03-04 11:37:30-08:00,2013-04-04 22:15:53-07:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.7789757412398922,0.8138247473329592,0.6492753623188405,0.6403179393599102,126.31818181818181,151.87234042553192,91.28571428571429,197.7058823529412
parquet-mr,2372,1186,553,12,2012-12-02 22:02:44-08:00,2013-03-04 11:02:05-08:00,2013-03-04 11:37:30-08:00,2013-04-04 22:15:53-07:00,jit,label_bug,True,True,jit,0.0,0.612985212569316,0.09053497942386832,0.8194701170671596,1983.4,,3385.0,1633.0
parquet-mr,2372,1186,553,12,2012-12-02 22:02:44-08:00,2013-03-04 11:02:05-08:00,2013-03-04 11:37:30-08:00,2013-04-04 22:15:53-07:00,static,label_bug,True,True,static,0.0,0.6366296980899568,0.045454545454545456,0.48536660505237217,1919.4,inf,1303.8,inf
parquet-mr,2372,1186,553,12,2012-12-02 22:02:44-08:00,2013-03-04 11:02:05-08:00,2013-03-04 11:37:30-08:00,2013-04-04 22:15:53-07:00,pmd,label_bug,True,True,pmd,0.0,0.6078250154035737,0.04819277108433735,0.48459642637091804,1947.8,inf,1275.4,inf
parquet-mr,2372,1186,553,12,2012-12-02 22:02:44-08:00,2013-03-04 11:02:05-08:00,2013-03-04 11:37:30-08:00,2013-04-04 22:15:53-07:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.6659735058533579,0.07608695652173915,0.6523413431916205,1982.0,inf,1460.5,4075.0
parquet-mr,740,370,393,220,2013-04-04 23:09:54-07:00,2013-07-06 15:05:15+01:00,2013-07-06 15:14:14+01:00,2013-08-06 13:16:02-07:00,jit,label_adhoc,True,True,jit,0.7692307692307693,0.7893983184445612,0.46851385390428213,0.45107724645296904,5919.1,270.0344827586207,1373.3076923076924,215.0625
parquet-mr,740,370,393,220,2013-04-04 23:09:54-07:00,2013-07-06 15:05:15+01:00,2013-07-06 15:14:14+01:00,2013-08-06 13:16:02-07:00,static,label_adhoc,True,True,static,0.7638603696098561,0.7597477666841829,0.5164835164835165,0.5864030478192328,3140.85,250.75,203.95238095238096,2549.5
