project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
santuario-java,1888,944,115,75,2002-01-07 13:08:23+00:00,2003-04-24 14:52:34+00:00,2003-04-29 21:37:00+00:00,2003-07-21 11:30:04+00:00,jit,label_adhoc,True,True,jit,0.07594936708860758,0.7128333333333333,0.4601769911504426,0.5073333333333333,38.523809523809526,116.0,30.125,62.44444444444444
santuario-java,1888,944,115,75,2002-01-07 13:08:23+00:00,2003-04-24 14:52:34+00:00,2003-04-29 21:37:00+00:00,2003-07-21 11:30:04+00:00,static,label_adhoc,True,True,static,0.19047619047619047,0.6158333333333332,0.5040650406504066,0.4723333333333333,34.59322033898305,106.25,32.628571428571426,54.65625
santuario-java,1888,944,115,75,2002-01-07 13:08:23+00:00,2003-04-24 14:52:34+00:00,2003-04-29 21:37:00+00:00,2003-07-21 11:30:04+00:00,pmd,label_adhoc,True,True,pmd,0.16666666666666666,0.7088333333333333,0.6451612903225806,0.7406666666666666,37.62903225806452,111.6,26.4375,58.42857142857143
santuario-java,1888,944,115,75,2002-01-07 13:08:23+00:00,2003-04-24 14:52:34+00:00,2003-04-29 21:37:00+00:00,2003-07-21 11:30:04+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.14814814814814814,0.6556666666666667,0.5344827586206896,0.6556666666666667,33.81967213114754,138.0,25.08108108108108,65.43333333333334
santuario-java,1434,717,42,24,2003-07-21 11:30:40+00:00,2005-04-03 16:05:42+00:00,2005-05-04 20:01:59+00:00,2005-06-30 18:40:38+00:00,jit,label_adhoc,True,True,jit,0.48780487804878053,0.6168981481481481,0.5499999999999999,0.5648148148148149,103.54545454545455,90.65,84.58333333333333,101.94736842105263
santuario-java,1434,717,42,24,2003-07-21 11:30:40+00:00,2005-04-03 16:05:42+00:00,2005-05-04 20:01:59+00:00,2005-06-30 18:40:38+00:00,static,label_adhoc,True,True,static,0.744186046511628,0.8356481481481481,0.5909090909090908,0.6504629629629629,149.25,76.43478260869566,108.27272727272727,88.05
santuario-java,1434,717,42,24,2003-07-21 11:30:40+00:00,2005-04-03 16:05:42+00:00,2005-05-04 20:01:59+00:00,2005-06-30 18:40:38+00:00,pmd,label_adhoc,True,True,pmd,0.5142857142857142,0.6631944444444444,0.6511627906976745,0.7314814814814815,107.5,65.22222222222223,92.70588235294117,98.28571428571429
santuario-java,1434,717,42,24,2003-07-21 11:30:40+00:00,2005-04-03 16:05:42+00:00,2005-05-04 20:01:59+00:00,2005-06-30 18:40:38+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.75,0.8460648148148148,0.6363636363636365,0.7291666666666667,140.22222222222223,76.81818181818181,127.55555555555556,82.0
santuario-java,1854,927,42,1,2003-07-21 11:30:40+00:00,2005-04-03 16:05:42+00:00,2005-05-04 20:01:59+00:00,2005-06-30 18:40:38+00:00,jit,label_bug,True,True,jit,0.0,0.853658536585366,0.08695652173913045,0.975609756097561,2854.0,inf,inf,1836.0
santuario-java,1854,927,42,1,2003-07-21 11:30:40+00:00,2005-04-03 16:05:42+00:00,2005-05-04 20:01:59+00:00,2005-06-30 18:40:38+00:00,static,label_bug,True,True,static,0.0,0.7317073170731707,0.0,0.24390243902439024,2952.0,,1584.0,inf
santuario-java,1854,927,42,1,2003-07-21 11:30:40+00:00,2005-04-03 16:05:42+00:00,2005-05-04 20:01:59+00:00,2005-06-30 18:40:38+00:00,pmd,label_bug,True,True,pmd,0.0,0.12195121951219512,0.0,0.19512195121951215,2952.0,,1996.0,inf
santuario-java,1854,927,42,1,2003-07-21 11:30:40+00:00,2005-04-03 16:05:42+00:00,2005-05-04 20:01:59+00:00,2005-06-30 18:40:38+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.8658536585365854,0.0,0.36585365853658536,2952.0,,1455.0,inf
