project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
systemml,5796,2898,342,199,2012-04-11 15:14:20-07:00,2013-06-25 00:09:01-07:00,2013-06-25 12:30:43-07:00,2013-09-06 10:11:04-07:00,jit,label_adhoc,True,True,jit,0.6457142857142857,0.7119513652176969,0.5155807365439093,0.551112204378536,65.85714285714286,159.61111111111111,67.47435897435898,182.12790697674419
systemml,5796,2898,342,199,2012-04-11 15:14:20-07:00,2013-06-25 00:09:01-07:00,2013-06-25 12:30:43-07:00,2013-09-06 10:11:04-07:00,static,label_adhoc,True,True,static,0.6574585635359116,0.6660224197912641,0.5597667638483964,0.6381558140352109,154.2549019607843,115.56637168141593,128.0909090909091,127.26530612244898
systemml,5796,2898,342,199,2012-04-11 15:14:20-07:00,2013-06-25 00:09:01-07:00,2013-06-25 12:30:43-07:00,2013-09-06 10:11:04-07:00,pmd,label_adhoc,True,True,pmd,0.6140845070422535,0.6442527321924307,0.5487804878048781,0.6510348947534876,140.36507936507937,119.63366336633663,129.55223880597015,126.24742268041237
systemml,5796,2898,342,199,2012-04-11 15:14:20-07:00,2013-06-25 00:09:01-07:00,2013-06-25 12:30:43-07:00,2013-09-06 10:11:04-07:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.6630136986301369,0.695400077309625,0.543859649122807,0.630741118178304,158.72340425531914,115.09401709401709,114.27536231884058,137.2736842105263
systemml,8908,4454,342,2,2012-04-11 15:14:20-07:00,2013-06-25 00:09:01-07:00,2013-06-25 12:30:43-07:00,2013-09-06 10:11:04-07:00,jit,label_bug,True,True,jit,0.0,0.9875,0.04166666666666667,0.9720588235294118,10463.0,,inf,4697.5
systemml,8908,4454,342,2,2012-04-11 15:14:20-07:00,2013-06-25 00:09:01-07:00,2013-06-25 12:30:43-07:00,2013-09-06 10:11:04-07:00,static,label_bug,True,True,static,1.0,1.0,0.041237113402061855,0.9558823529411765,inf,229.5,inf,4132.0
systemml,8908,4454,342,2,2012-04-11 15:14:20-07:00,2013-06-25 00:09:01-07:00,2013-06-25 12:30:43-07:00,2013-09-06 10:11:04-07:00,pmd,label_bug,True,True,pmd,0.6666666666666666,1.0,0.05,1.0,20822.0,104.0,inf,2671.5
systemml,8908,4454,342,2,2012-04-11 15:14:20-07:00,2013-06-25 00:09:01-07:00,2013-06-25 12:30:43-07:00,2013-09-06 10:11:04-07:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,1.0,1.0,0.0449438202247191,1.0,inf,229.5,inf,4498.5
systemml,5320,2660,400,223,2013-09-07 14:00:50-07:00,2014-03-03 14:08:43-08:00,2014-03-05 01:04:39-08:00,2014-05-02 12:47:56-07:00,jit,label_adhoc,True,True,jit,0.7370600414078675,0.7403536773833954,0.4495677233429395,0.571356185553951,319.2105263157895,139.13392857142858,135.38947368421051,270.0181818181818
systemml,5320,2660,400,223,2013-09-07 14:00:50-07:00,2014-03-03 14:08:43-08:00,2014-03-05 01:04:39-08:00,2014-05-02 12:47:56-07:00,static,label_adhoc,True,True,static,0.6666666666666666,0.6755972739479618,0.5701149425287356,0.5286666159965545,204.4181818181818,173.3684210526316,120.58695652173913,286.5344827586207
