project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
tika,838,419,60,13,2007-09-12 20:07:37+00:00,2007-12-21 08:28:20+00:00,2007-12-21 09:01:07+00:00,2008-02-17 12:14:54+00:00,jit,label_adhoc,True,True,jit,0.21052631578947367,0.6898527004909984,0.5294117647058824,0.823240589198036,355.42857142857144,650.0,428.0,339.77777777777777
tika,838,419,60,13,2007-09-12 20:07:37+00:00,2007-12-21 08:28:20+00:00,2007-12-21 09:01:07+00:00,2008-02-17 12:14:54+00:00,static,label_adhoc,True,True,static,0.5333333333333333,0.6841243862520457,0.4210526315789474,0.7299509001636661,964.0,227.83333333333334,638.0,243.6
tika,838,419,60,13,2007-09-12 20:07:37+00:00,2007-12-21 08:28:20+00:00,2007-12-21 09:01:07+00:00,2008-02-17 12:14:54+00:00,pmd,label_adhoc,True,True,pmd,0.1951219512195122,0.4288052373158756,0.2580645161290323,0.42225859247135844,262.90909090909093,683.5,382.3333333333333,364.1666666666667
tika,838,419,60,13,2007-09-12 20:07:37+00:00,2007-12-21 08:28:20+00:00,2007-12-21 09:01:07+00:00,2008-02-17 12:14:54+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4444444444444445,0.7160392798690671,0.4444444444444444,0.6890343698854338,424.5,318.57142857142856,768.25,232.0909090909091
tika,924,462,60,2,2007-09-12 20:07:37+00:00,2007-12-21 08:28:20+00:00,2007-12-21 09:01:07+00:00,2008-02-17 12:14:54+00:00,jit,label_bug,True,True,jit,0.0,0.3879310344827586,0.07692307692307693,0.3017241379310345,2787.5,inf,2666.0,2960.0
tika,924,462,60,2,2007-09-12 20:07:37+00:00,2007-12-21 08:28:20+00:00,2007-12-21 09:01:07+00:00,2008-02-17 12:14:54+00:00,static,label_bug,True,True,static,0.4,0.6724137931034482,0.14814814814814814,0.9827586206896552,4600.0,1026.0,inf,1197.5
tika,924,462,60,2,2007-09-12 20:07:37+00:00,2007-12-21 08:28:20+00:00,2007-12-21 09:01:07+00:00,2008-02-17 12:14:54+00:00,pmd,label_bug,True,True,pmd,0.0,0.16379310344827586,0.12903225806451613,0.7672413793103449,2542.5,inf,inf,1103.5
tika,924,462,60,2,2007-09-12 20:07:37+00:00,2007-12-21 08:28:20+00:00,2007-12-21 09:01:07+00:00,2008-02-17 12:14:54+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.0,0.7025862068965517,0.06896551724137931,0.646551724137931,2813.0,,2796.0,2830.0
tika,398,199,57,10,2008-02-18 23:08:30+00:00,2008-12-02 23:13:05+00:00,2008-12-02 23:34:44+00:00,2009-01-26 23:57:17+00:00,jit,label_adhoc,True,True,jit,0.25806451612903225,0.5829787234042554,0.21621621621621623,0.4617021276595745,276.8,785.5,382.0,475.6666666666667
tika,398,199,57,10,2008-02-18 23:08:30+00:00,2008-12-02 23:13:05+00:00,2008-12-02 23:34:44+00:00,2009-01-26 23:57:17+00:00,static,label_adhoc,True,True,static,0.1904761904761905,0.6127659574468085,0.2702702702702703,0.5617021276595745,379.3333333333333,679.0,452.5,381.6666666666667
tika,398,199,57,10,2008-02-18 23:08:30+00:00,2008-12-02 23:13:05+00:00,2008-12-02 23:34:44+00:00,2009-01-26 23:57:17+00:00,pmd,label_adhoc,True,True,pmd,0.3076923076923077,0.5521276595744681,0.2926829268292683,0.5148936170212766,346.0,612.5,311.75,569.3333333333334
tika,398,199,57,10,2008-02-18 23:08:30+00:00,2008-12-02 23:13:05+00:00,2008-12-02 23:34:44+00:00,2009-01-26 23:57:17+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.3,0.6255319148936169,0.2777777777777778,0.5638297872340425,436.4,386.5,425.75,417.3333333333333
tika,454,227,57,6,2008-02-18 23:08:30+00:00,2008-12-02 23:13:05+00:00,2008-12-02 23:34:44+00:00,2009-01-26 23:57:17+00:00,jit,label_bug,True,True,jit,0.0,0.7091503267973857,0.2,0.6143790849673203,311.0,inf,386.5,281.8
tika,454,227,57,6,2008-02-18 23:08:30+00:00,2008-12-02 23:13:05+00:00,2008-12-02 23:34:44+00:00,2009-01-26 23:57:17+00:00,static,label_bug,True,True,static,0.2222222222222222,0.7303921568627452,0.28571428571428575,0.7189542483660131,373.5,238.0,563.6666666666666,210.66666666666666
tika,454,227,57,6,2008-02-18 23:08:30+00:00,2008-12-02 23:13:05+00:00,2008-12-02 23:34:44+00:00,2009-01-26 23:57:17+00:00,pmd,label_bug,True,True,pmd,0.0,0.511437908496732,0.2631578947368421,0.7124183006535948,278.55555555555554,inf,725.0,215.0
