project,train_size,train_pos,test_size,test_pos,train_start,train_end,test_start,test_end,features,label,ignore_dates,use_smote,metric_set,rf_f1,rf_roc_auc,lr_f1,lr_roc_auc,rf_ub,rf_lb,lr_ub,lr_lb
wss4j,736,368,26,6,2004-05-14 14:48:34+00:00,2004-08-18 06:54:45+00:00,2004-08-28 04:47:24+00:00,2004-10-16 06:05:00+00:00,jit,label_adhoc,True,True,jit,0.4444444444444444,0.5666666666666667,0.3529411764705882,0.5583333333333332,146.5,347.5,168.5,325.5
wss4j,736,368,26,6,2004-05-14 14:48:34+00:00,2004-08-18 06:54:45+00:00,2004-08-28 04:47:24+00:00,2004-10-16 06:05:00+00:00,static,label_adhoc,True,True,static,0.37499999999999994,0.6666666666666667,0.3333333333333333,0.49166666666666664,231.0,263.0,152.5,341.5
wss4j,736,368,26,6,2004-05-14 14:48:34+00:00,2004-08-18 06:54:45+00:00,2004-08-28 04:47:24+00:00,2004-10-16 06:05:00+00:00,pmd,label_adhoc,True,True,pmd,0.2,0.6166666666666667,0.37499999999999994,0.6333333333333333,172.25,inf,185.0,309.0
wss4j,736,368,26,6,2004-05-14 14:48:34+00:00,2004-08-18 06:54:45+00:00,2004-08-28 04:47:24+00:00,2004-10-16 06:05:00+00:00,jit_static_pmd,label_adhoc,True,True,jit_static_pmd,0.4,0.6500000000000001,0.4,0.5583333333333333,242.5,251.5,180.0,314.0
wss4j,974,487,26,2,2004-05-14 14:48:34+00:00,2004-08-18 06:54:45+00:00,2004-08-28 04:47:24+00:00,2004-10-16 06:05:00+00:00,jit,label_bug,True,True,jit,0.0,0.9791666666666666,0.3076923076923077,0.875,494.0,,inf,187.0
wss4j,974,487,26,2,2004-05-14 14:48:34+00:00,2004-08-18 06:54:45+00:00,2004-08-28 04:47:24+00:00,2004-10-16 06:05:00+00:00,static,label_bug,True,True,static,0.6666666666666666,1.0,0.4,0.9375,953.0,35.0,inf,103.5
wss4j,974,487,26,2,2004-05-14 14:48:34+00:00,2004-08-18 06:54:45+00:00,2004-08-28 04:47:24+00:00,2004-10-16 06:05:00+00:00,pmd,label_bug,True,True,pmd,0.6666666666666666,0.9791666666666666,0.2666666666666667,0.7708333333333334,953.0,35.0,inf,357.5
wss4j,974,487,26,2,2004-05-14 14:48:34+00:00,2004-08-18 06:54:45+00:00,2004-08-28 04:47:24+00:00,2004-10-16 06:05:00+00:00,jit_static_pmd,label_bug,True,True,jit_static_pmd,0.6666666666666666,0.9791666666666666,0.4,0.9791666666666667,953.0,35.0,inf,245.0
wss4j,166,83,33,14,2004-10-16 06:06:54+00:00,2005-03-10 18:01:29+00:00,2005-03-10 18:52:09+00:00,2005-05-16 09:30:32+00:00,jit,label_adhoc,True,True,jit,0.3157894736842105,0.5357142857142857,0.5333333333333333,0.6578947368421053,308.25,358.0,216.33333333333334,403.2
wss4j,166,83,33,14,2004-10-16 06:06:54+00:00,2005-03-10 18:01:29+00:00,2005-03-10 18:52:09+00:00,2005-05-16 09:30:32+00:00,static,label_adhoc,True,True,static,0.25,0.5714285714285715,0.5405405405405405,0.49248120300751885,295.0,inf,111.0,466.4
